timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.0014000000000000165,21.44,5,41,105,0.3904761904761905
11385,0.09469999999999999,35.84,13,48,291,0.16494845360824742
22046,0.06870000000000001,39.54,12,35,315,0.1111111111111111
32824,0.06860000000000005,37.74,16,33,260,0.12692307692307692
43507,0.037200000000000004,42.35,14,27,315,0.08571428571428572
54668,0.05230000000000005,39.91,13,31,361,0.08587257617728532
65485,0.02590000000000003,42.51,15,24,325,0.07384615384615385
76638,0.05790000000000006,38.39,13,34,346,0.09826589595375723
87621,0.07040000000000006,45.08,11,39,409,0.09535452322738386
98415,0.0175,44.19,10,29,313,0.0926517571884984
109551,0.026100000000000043,41.83,11,30,400,0.075
120774,0.06750000000000003,47.2,15,25,417,0.05995203836930456
131754,0.06469999999999998,42.71,16,31,260,0.11923076923076924
143209,0.03590000000000002,36.54,11,37,332,0.11144578313253012
154731,0.12319999999999993,38.62,21,31,307,0.10097719869706841
166351,0.045100000000000015,37.23,17,27,297,0.09090909090909091
177823,0.06550000000000006,36.45,17,32,284,0.11267605633802817
189328,0.061,40.22,19,25,296,0.08445945945945946
200823,0.02710000000000001,39.54,15,27,321,0.08411214953271028
211772,0.02070000000000004,38.83,13,32,311,0.10289389067524116
223146,0.14259999999999995,36.82,24,28,317,0.08832807570977919
234098,0.16469999999999996,32.95,27,28,300,0.09333333333333334
245934,0.12599999999999992,34.63,27,22,258,0.08527131782945736
257330,0.14079999999999995,35.61,25,27,274,0.09854014598540146
269168,0.17199999999999996,37.64,27,24,369,0.06504065040650407
280762,0.11239999999999992,39.55,22,26,374,0.06951871657754011
292140,0.1578,38.14,24,28,369,0.07588075880758807
304075,-0.005999999999999998,36.54,16,24,274,0.08759124087591241
315574,0.07850000000000001,35.2,19,31,280,0.11071428571428571
327087,0.09159999999999995,39.5,20,25,398,0.06281407035175879
338618,0.0889,35.62,23,26,234,0.1111111111111111
350650,0.017400000000000013,34.72,20,20,253,0.07905138339920949
362333,0.10859999999999999,35.77,21,28,294,0.09523809523809523
374286,0.15599999999999994,37.66,27,21,295,0.0711864406779661
385739,0.11679999999999997,32.94,24,26,291,0.08934707903780069
397198,0.13859999999999992,35.66,26,24,321,0.07476635514018691
408649,0.15809999999999982,37.36,25,28,343,0.08163265306122448
419997,0.16839999999999988,35.19,27,25,330,0.07575757575757576
431883,0.08530000000000003,35.35,21,27,296,0.09121621621621621
443197,0.18549999999999997,37.31,28,26,329,0.0790273556231003
454527,0.19779999999999986,37.39,30,24,277,0.08664259927797834
466408,0.17479999999999993,32.04,29,24,214,0.11214953271028037
477977,0.1711999999999999,41.23,25,28,391,0.07161125319693094
489398,0.25319999999999987,37.3,35,24,344,0.06976744186046512
500670,0.20509999999999998,36.22,33,18,360,0.05
512718,0.23259999999999992,34.96,32,27,335,0.08059701492537313
524465,0.20029999999999995,37.66,31,23,325,0.07076923076923076
536198,0.1659,37.44,28,22,338,0.0650887573964497
547642,0.23269999999999988,36.61,32,26,305,0.08524590163934426
559214,0.223,40.61,35,19,322,0.059006211180124224
571351,0.0528,38.46,21,20,268,0.07462686567164178
