timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,-0.22290000000000007,14.54,1,14,26,0.5384615384615384
11385,-0.27860000000000007,19.57,3,7,39,0.1794871794871795
22046,-0.30189999999999995,20.16,2,4,46,0.08695652173913043
32824,-0.32689999999999986,18.33,0,4,33,0.12121212121212122
43507,-0.3545999999999999,19.44,0,2,34,0.058823529411764705
54668,-0.3239,16.87,2,3,29,0.10344827586206896
65485,-0.3607,19.37,0,1,42,0.023809523809523808
76638,-0.32549999999999996,18.83,1,2,37,0.05405405405405406
87621,-0.29579999999999995,18.87,2,1,42,0.023809523809523808
98415,-0.3471000000000001,17.41,0,2,40,0.05
109551,-0.2932000000000001,17.74,2,3,60,0.05
120774,-0.32940000000000014,19.57,1,1,55,0.01818181818181818
131754,-0.3507999999999999,19.16,0,6,38,0.15789473684210525
143209,-0.31079999999999997,19.34,2,1,54,0.018518518518518517
154731,-0.35969999999999996,20.63,1,3,48,0.0625
166351,-0.37760000000000005,18.47,0,0,30,0.0
177823,-0.3544,19.06,1,1,39,0.02564102564102564
189328,-0.35600000000000004,18.54,1,0,31,0.0
200823,-0.35739999999999994,18.55,1,1,41,0.024390243902439025
211772,-0.3448000000000001,18.81,1,3,29,0.10344827586206896
223146,-0.32939999999999986,19.25,2,1,33,0.030303030303030304
234098,-0.36659999999999987,19.82,1,2,22,0.09090909090909091
245934,-0.38859999999999995,19.95,0,0,28,0.0
257330,-0.3942,20.48,0,2,30,0.06666666666666667
269168,-0.36539999999999984,18.18,1,3,50,0.06
280762,-0.3911000000000001,18.36,1,0,26,0.0
292140,-0.3936000000000003,18.7,0,1,26,0.038461538461538464
304075,-0.3661999999999999,18.35,1,3,31,0.0967741935483871
315574,-0.3430999999999999,18.57,2,2,33,0.06060606060606061
327087,-0.3755000000000001,18.69,0,3,22,0.13636363636363635
338618,-0.3936000000000001,18.75,0,1,22,0.045454545454545456
350650,-0.3751,20.37,0,1,45,0.022222222222222223
362333,-0.3866000000000001,18.03,0,0,22,0.0
374286,-0.3559000000000001,19.02,1,3,22,0.13636363636363635
385739,-0.4011999999999998,17.04,0,1,21,0.047619047619047616
397198,-0.3898,18.48,0,3,28,0.10714285714285714
408649,-0.39339999999999975,19.6,0,1,27,0.037037037037037035
419997,-0.3319,19.47,3,1,40,0.025
431883,-0.36690000000000006,18.8,1,2,13,0.15384615384615385
443197,-0.3629,19.2,2,0,8,0.0
454527,-0.3449000000000001,19.74,1,2,40,0.05
466408,-0.37359999999999993,17.78,1,0,19,0.0
477977,-0.40320000000000006,17.46,3,1,32,0.03125
489398,-0.35309999999999986,20.3,1,1,25,0.04
500670,-0.39219999999999994,18.11,1,1,17,0.058823529411764705
512718,-0.36899999999999994,18.93,1,2,29,0.06896551724137931
524465,-0.3594999999999999,17.08,2,1,23,0.043478260869565216
536198,-0.3811,18.23,0,0,22,0.0
547642,-0.37759999999999994,18.76,0,5,33,0.15151515151515152
559214,-0.37769999999999987,20.04,1,1,42,0.023809523809523808
571351,-0.4244,18.65,0,0,21,0.0
