timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.22409999999999963,22.04,5,91,148,0.6148648648648649
7298,0.2658999999999996,21.81,9,90,169,0.5325443786982249
12356,0.22289999999999963,21.76,4,94,159,0.5911949685534591
16714,0.24889999999999962,23.96,10,81,175,0.46285714285714286
20725,0.23879999999999957,22.44,7,88,157,0.5605095541401274
24867,0.2137999999999996,21.31,3,94,194,0.4845360824742268
28539,0.24499999999999963,21.84,7,90,157,0.5732484076433121
32488,0.20859999999999965,21.28,2,96,164,0.5853658536585366
35832,0.2472999999999997,21.31,7,91,161,0.5652173913043478
39190,0.24959999999999957,20.95,7,91,172,0.5290697674418605
42723,0.22799999999999962,20.83,5,92,134,0.6865671641791045
46227,0.20109999999999964,23.03,3,91,176,0.5170454545454546
49805,0.20039999999999966,22.83,3,91,167,0.5449101796407185
53251,0.2355999999999996,21.05,5,94,153,0.6143790849673203
56781,0.21009999999999962,22.4,4,90,152,0.5921052631578947
60140,0.2611999999999996,22.69,12,80,198,0.40404040404040403
63704,0.20159999999999964,21.26,3,92,150,0.6133333333333333
67183,0.22939999999999958,21.65,5,93,157,0.5923566878980892
70660,0.2091999999999997,22.48,4,90,181,0.4972375690607735
74015,0.2098999999999997,21.92,5,88,169,0.5207100591715976
77549,0.20899999999999966,22.07,3,93,175,0.5314285714285715
80944,0.25659999999999955,22.95,8,90,176,0.5113636363636364
84594,0.2472999999999996,22.65,8,88,139,0.6330935251798561
88200,0.22059999999999963,22.7,4,93,174,0.5344827586206896
91944,0.2536999999999996,22.1,9,86,169,0.5088757396449705
95406,0.21209999999999965,22.65,4,91,166,0.5481927710843374
98900,0.21839999999999965,23.93,4,92,158,0.5822784810126582
102445,0.19829999999999967,21.9,1,96,165,0.5818181818181818
105626,0.2533999999999996,23.32,9,86,184,0.4673913043478261
109084,0.20929999999999965,23.97,4,90,148,0.6081081081081081
112396,0.24589999999999962,22.61,7,90,176,0.5113636363636364
115810,0.20019999999999968,21.87,4,88,159,0.5534591194968553
119285,0.2080999999999997,24.14,5,87,165,0.5272727272727272
122894,0.21449999999999964,21.62,3,94,167,0.562874251497006
126230,0.1948999999999996,21.47,3,90,159,0.5660377358490566
129751,0.2531999999999996,23.49,9,86,158,0.5443037974683544
133275,0.24039999999999964,22.71,7,90,176,0.5113636363636364
136678,0.23999999999999966,23.45,8,86,148,0.581081081081081
140066,0.21649999999999966,21.5,3,95,170,0.5588235294117647
143489,0.2525999999999996,22.54,8,89,170,0.5235294117647059
