timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
7298,-0.0161,15.93,0,50,72,0.6944444444444444
12356,0.0015999999999999973,15.85,2,50,72,0.6944444444444444
16714,0.015699999999999995,15.94,3,50,74,0.6756756756756757
20725,0.0039000000000000046,17.15,2,46,84,0.5476190476190477
24867,0.012599999999999995,15.47,3,48,79,0.6075949367088608
28539,0.049100000000000046,16.58,3,55,91,0.6043956043956044
32488,0.004600000000000002,15.73,1,52,75,0.6933333333333334
35832,0.019800000000000026,14.67,3,48,77,0.6233766233766234
39190,0.029200000000000056,16.17,2,55,81,0.6790123456790124
42723,-0.015299999999999998,15.81,0,49,72,0.6805555555555556
46227,-0.029599999999999974,15.81,1,43,79,0.5443037974683544
49805,-0.030300000000000014,16.33,1,45,69,0.6521739130434783
53251,0.07240000000000006,15.55,5,54,84,0.6428571428571429
56781,-0.024099999999999948,15.47,0,47,78,0.6025641025641025
60140,0.01740000000000003,15.78,1,54,75,0.72
63704,-0.04159999999999996,16.17,0,46,73,0.6301369863013698
67183,0.02100000000000002,15.9,1,56,75,0.7466666666666667
70660,0.013099999999999999,14.45,2,52,79,0.6582278481012658
74015,0.012,16.07,2,48,71,0.676056338028169
77549,-0.01819999999999996,15.15,3,44,58,0.7586206896551724
80944,-0.059500000000000025,15.68,1,37,60,0.6166666666666667
84594,0.025399999999999992,15.97,1,58,83,0.6987951807228916
88200,0.022700000000000005,17.78,1,52,84,0.6190476190476191
91944,0.005,15.45,2,49,68,0.7205882352941176
95406,-0.005700000000000007,16.0,1,47,70,0.6714285714285714
98900,-0.008999999999999998,16.32,0,52,81,0.6419753086419753
102445,-0.037899999999999975,14.71,2,39,58,0.6724137931034483
105626,-0.012400000000000008,14.71,1,49,63,0.7777777777777778
109084,0.03830000000000002,15.2,5,49,73,0.6712328767123288
112396,0.02830000000000005,15.87,2,53,80,0.6625
115810,-0.0024000000000000033,15.48,1,50,69,0.7246376811594203
119285,-0.024299999999999967,15.77,4,37,54,0.6851851851851852
122894,0.01730000000000002,14.56,2,54,70,0.7714285714285715
126230,-0.03029999999999999,14.94,0,48,69,0.6956521739130435
129751,-0.0004000000000000048,16.15,3,45,68,0.6617647058823529
133275,0.0023999999999999937,14.93,2,49,75,0.6533333333333333
136678,-0.04039999999999995,14.68,0,46,76,0.6052631578947368
140066,-0.006100000000000001,15.21,1,50,78,0.6410256410256411
143489,-0.021799999999999983,15.69,1,46,66,0.696969696969697
147040,0.007699999999999997,16.37,3,47,76,0.618421052631579
150532,-0.040299999999999996,15.51,1,41,64,0.640625
154063,-0.037499999999999985,16.06,2,38,57,0.6666666666666666
157607,0.054500000000000035,15.87,2,61,94,0.648936170212766
161197,0.01850000000000002,16.77,2,51,83,0.6144578313253012
164788,0.012700000000000003,16.04,2,48,85,0.5647058823529412
168171,-0.0096,15.02,3,43,66,0.6515151515151515
171617,0.018900000000000007,16.15,4,47,77,0.6103896103896104
175285,0.004600000000000004,16.49,1,50,82,0.6097560975609756
178989,0.014099999999999993,16.31,1,51,94,0.5425531914893617
182584,0.03690000000000003,16.38,3,53,78,0.6794871794871795
185993,0.006800000000000004,16.41,1,52,79,0.6582278481012658
189376,-0.02839999999999998,16.04,0,51,80,0.6375
192956,0.002699999999999996,16.06,2,47,76,0.618421052631579
196219,0.03250000000000009,15.53,1,58,93,0.6236559139784946
199761,0.0331,15.62,5,46,79,0.5822784810126582
203309,-0.00820000000000002,16.27,0,51,82,0.6219512195121951
206700,-0.032899999999999985,14.67,0,49,69,0.7101449275362319
209963,-0.03849999999999995,16.35,0,46,78,0.5897435897435898
213716,0.02320000000000003,15.71,4,47,77,0.6103896103896104
217322,0.02230000000000004,15.27,1,56,86,0.6511627906976745
220717,0.009099999999999999,15.01,2,52,89,0.5842696629213483
224002,-0.032599999999999955,15.65,1,45,71,0.6338028169014085
227331,-0.008399999999999998,16.32,1,44,74,0.5945945945945946
230824,-0.0020999999999999964,15.51,3,45,69,0.6521739130434783
