timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.09490000000000003,13.94,1,33,50,0.66
7298,-0.02399999999999999,15.45,1,45,73,0.6164383561643836
12356,-0.010400000000000005,15.38,4,40,74,0.5405405405405406
16714,-0.05149999999999997,14.31,2,37,59,0.6271186440677966
20725,-0.04869999999999997,15.28,1,37,55,0.6727272727272727
24867,-0.05200000000000001,14.59,0,39,68,0.5735294117647058
28539,-0.02049999999999998,15.8,2,44,74,0.5945945945945946
32488,-0.05519999999999997,14.7,1,41,65,0.6307692307692307
35832,-0.026400000000000007,14.47,3,39,62,0.6290322580645161
39190,-0.053399999999999996,14.64,1,38,52,0.7307692307692307
42723,-0.05769999999999997,14.82,3,34,59,0.576271186440678
46227,-0.06859999999999994,14.51,1,35,54,0.6481481481481481
49805,-0.09699999999999996,15.47,1,29,49,0.5918367346938775
53251,-0.023099999999999964,13.93,4,39,57,0.6842105263157895
56781,-0.029399999999999954,13.97,2,42,64,0.65625
60140,-0.022699999999999974,14.15,2,42,60,0.7
63704,-0.08080000000000002,14.68,0,38,61,0.6229508196721312
67183,-0.044199999999999996,13.83,2,41,64,0.640625
70660,-0.07599999999999998,13.95,2,36,61,0.5901639344262295
74015,-0.00040000000000000647,14.8,2,49,75,0.6533333333333333
77549,-0.05809999999999998,13.7,2,38,54,0.7037037037037037
80944,-0.07369999999999999,14.26,1,37,66,0.5606060606060606
84594,-0.023,15.2,2,43,60,0.7166666666666667
88200,-0.014999999999999987,15.4,2,45,67,0.6716417910447762
91944,-0.07949999999999996,14.01,1,33,58,0.5689655172413793
95406,-0.039700000000000006,14.64,1,40,58,0.6896551724137931
98900,-0.038799999999999994,14.53,1,45,58,0.7758620689655172
102445,-0.10050000000000002,13.85,0,35,51,0.6862745098039216
105626,-0.03829999999999998,13.79,2,41,61,0.6721311475409836
109084,-0.07719999999999994,13.43,2,36,54,0.6666666666666666
112396,-0.03099999999999998,14.33,3,35,54,0.6481481481481481
115810,-0.023599999999999923,14.01,1,44,62,0.7096774193548387
119285,-0.06649999999999995,13.9,3,33,49,0.673469387755102
122894,-0.040999999999999995,14.36,3,35,57,0.6140350877192983
126230,-0.08379999999999997,13.21,1,37,48,0.7708333333333334
129751,-0.03949999999999999,15.03,3,36,64,0.5625
133275,-0.046599999999999954,14.01,2,38,61,0.6229508196721312
136678,-0.0998,14.62,0,34,59,0.576271186440678
140066,-0.0433,13.9,2,39,62,0.6290322580645161
143489,-0.05579999999999995,13.54,2,39,53,0.7358490566037735
147040,-0.04119999999999997,14.89,2,38,63,0.6031746031746031
150532,-0.11390000000000003,13.6,1,26,36,0.7222222222222222
154063,-0.0721,14.73,3,31,59,0.5254237288135594
157607,0.0027000000000000114,14.54,4,44,84,0.5238095238095238
161197,-0.03369999999999995,15.29,2,40,71,0.5633802816901409
164788,-0.058799999999999936,14.91,2,31,59,0.5254237288135594
168171,-0.056599999999999956,13.79,2,37,53,0.6981132075471698
171617,-0.08079999999999998,14.45,1,34,58,0.5862068965517241
175285,-0.07519999999999996,14.46,1,36,58,0.6206896551724138
178989,-0.023499999999999986,16.34,2,42,74,0.5675675675675675
182584,-0.03140000000000001,14.47,4,34,45,0.7555555555555555
185993,0.002900000000000008,15.12,1,55,76,0.7236842105263158
189376,-0.055999999999999966,14.08,2,43,64,0.671875
192956,-0.06799999999999996,13.93,0,37,54,0.6851851851851852
196219,-0.022199999999999998,13.73,3,42,77,0.5454545454545454
199761,-0.07269999999999999,14.8,0,35,55,0.6363636363636364
203309,-0.02430000000000001,14.76,2,42,72,0.5833333333333334
206700,-0.04319999999999999,13.57,2,43,65,0.6615384615384615
209963,-0.037599999999999995,14.3,3,37,57,0.6491228070175439
213716,-0.046699999999999964,14.44,5,33,57,0.5789473684210527
217322,-0.05589999999999997,13.41,1,41,58,0.7068965517241379
220717,-0.0377,14.09,1,44,64,0.6875
224002,-0.07399999999999995,13.76,1,40,58,0.6896551724137931
227331,-0.018199999999999987,15.37,1,41,66,0.6212121212121212
230824,-0.03759999999999996,15.04,2,40,67,0.5970149253731343
234274,-0.026899999999999973,14.37,1,43,74,0.581081081081081
237822,-0.03139999999999994,14.61,1,44,62,0.7096774193548387
241248,-0.0373,14.19,1,43,65,0.6615384615384615
244686,-0.1016,14.66,0,33,52,0.6346153846153846
248184,-0.06899999999999992,13.34,1,39,57,0.6842105263157895
251499,-0.07319999999999997,13.54,0,40,57,0.7017543859649122
255031,-0.05769999999999996,13.86,2,33,51,0.6470588235294118
258685,-0.0197,14.18,5,38,56,0.6785714285714286
262207,-0.05089999999999999,14.58,1,40,75,0.5333333333333333
265813,0.009899999999999994,14.17,3,47,77,0.6103896103896104
269255,-0.09070000000000002,13.87,0,39,56,0.6964285714285714
272530,-0.05639999999999998,14.47,3,34,58,0.5862068965517241
276066,-0.06859999999999995,14.61,0,42,63,0.6666666666666666
279527,0.013500000000000017,14.33,4,46,78,0.5897435897435898
283004,-0.05149999999999997,14.42,1,40,53,0.7547169811320755
286644,-0.04359999999999996,14.64,0,43,51,0.8431372549019608
290463,-0.08069999999999998,14.61,0,39,63,0.6190476190476191
293989,-0.06349999999999995,13.86,1,38,66,0.5757575757575758
297461,-0.04129999999999999,14.46,3,39,50,0.78
300956,-0.09549999999999996,15.23,0,33,57,0.5789473684210527
304788,-0.06379999999999997,14.65,2,37,56,0.6607142857142857
308561,-0.06779999999999997,14.74,2,32,53,0.6037735849056604
312126,-0.04229999999999998,14.34,0,43,72,0.5972222222222222
315534,-0.05769999999999998,14.52,1,37,56,0.6607142857142857
319125,-0.06289999999999996,13.89,1,41,62,0.6612903225806451
322489,-0.0065000000000000144,13.86,1,49,69,0.7101449275362319
325762,-0.04029999999999998,14.39,0,47,79,0.5949367088607594
329126,0.020100000000000035,14.95,3,48,77,0.6233766233766234
332485,-0.015300000000000003,14.93,3,39,67,0.582089552238806
335922,-0.06009999999999996,14.47,0,40,58,0.6896551724137931
339382,-0.04759999999999995,14.33,0,44,62,0.7096774193548387
342892,-0.056299999999999996,13.03,1,39,68,0.5735294117647058
