timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.18799999999999964,21.32,1,95,95,1.0
11730,0.19599999999999965,20.95,1,96,96,1.0
23484,0.23959999999999962,21.76,6,92,92,1.0
35156,0.1940999999999996,21.49,2,94,94,1.0
46135,0.20319999999999966,20.72,1,98,98,1.0
57341,0.21659999999999965,19.07,4,93,93,1.0
68744,0.21599999999999964,20.24,2,98,98,1.0
80269,0.20859999999999965,19.78,3,93,93,1.0
92172,0.21029999999999965,19.61,2,97,97,1.0
103358,0.18989999999999962,20.36,1,95,95,1.0
114970,0.2157999999999996,20.18,4,93,93,1.0
127187,0.19219999999999968,21.4,2,93,93,1.0
138678,0.1946999999999996,19.9,1,96,96,1.0
150341,0.19189999999999963,20.43,0,98,98,1.0
161881,0.20649999999999963,20.77,2,96,96,1.0
172999,0.20789999999999964,20.24,3,94,94,1.0
184290,0.21599999999999964,22.1,2,98,98,1.0
195664,0.18759999999999968,19.71,0,98,98,1.0
207262,0.18939999999999968,18.81,1,95,95,1.0
218718,0.19149999999999964,19.36,0,98,98,1.0
230167,0.23999999999999957,19.74,5,95,95,1.0
241818,0.18959999999999963,20.82,0,98,98,1.0
253247,0.21599999999999955,21.62,2,98,98,1.0
264441,0.2215999999999996,20.5,4,94,94,1.0
276158,0.18989999999999962,18.89,0,97,97,1.0
287675,0.1987999999999996,19.92,1,97,97,1.0
299536,0.19059999999999971,20.71,1,95,95,1.0
311206,0.2041999999999996,20.85,2,95,95,1.0
322532,0.20459999999999964,18.87,2,96,96,1.0
334201,0.22399999999999956,21.64,4,94,94,1.0
346304,0.2110999999999996,19.73,3,94,94,1.0
358116,0.22419999999999962,18.79,4,94,94,1.0
370173,0.19519999999999968,20.5,1,97,97,1.0
381769,0.20299999999999963,20.64,2,95,95,1.0
393435,0.1731999999999997,21.47,0,95,95,1.0
404277,0.1940999999999997,21.22,1,96,96,1.0
415630,0.20119999999999966,19.49,1,97,97,1.0
427207,0.1990999999999996,18.93,1,97,97,1.0
439016,0.19729999999999961,19.84,1,97,97,1.0
450462,0.21929999999999963,21.0,4,93,93,1.0
461706,0.20009999999999967,20.76,1,97,97,1.0
473227,0.20929999999999965,21.16,3,94,94,1.0
484542,0.22139999999999962,19.55,4,93,93,1.0
495666,0.21259999999999962,18.66,3,95,95,1.0
507333,0.1773999999999997,20.37,0,95,95,1.0
518874,0.23199999999999965,19.71,4,96,96,1.0
530791,0.20079999999999962,20.57,1,98,98,1.0
542310,0.21139999999999962,20.63,2,97,97,1.0
554276,0.20169999999999966,19.42,1,98,98,1.0
565565,0.1965999999999996,20.66,1,96,96,1.0
577026,0.18709999999999963,20.58,1,94,94,1.0
588697,0.19539999999999963,20.72,2,93,93,1.0
600129,0.18939999999999968,20.94,1,95,95,1.0
611910,0.19219999999999962,19.89,0,98,98,1.0
623368,0.20759999999999967,19.13,2,96,96,1.0
634801,0.18649999999999964,19.32,1,94,94,1.0
646825,0.21009999999999965,19.88,2,97,97,1.0
658717,0.19839999999999963,20.47,1,97,97,1.0
670367,0.21029999999999965,22.8,3,94,94,1.0
682229,0.19089999999999965,21.35,0,98,98,1.0
693737,0.19989999999999963,20.78,1,97,97,1.0
705340,0.2107999999999996,19.75,2,97,97,1.0
716935,0.23979999999999962,20.1,6,92,92,1.0
728409,0.19929999999999962,19.43,1,97,97,1.0
740266,0.18499999999999972,21.48,1,94,94,1.0
752014,0.1753999999999997,21.09,1,92,92,1.0
763657,0.21919999999999962,18.51,3,96,96,1.0
774885,0.19059999999999966,19.06,0,98,98,1.0
786212,0.20389999999999958,20.36,1,98,98,1.0
797947,0.2051999999999996,20.27,3,93,93,1.0
809545,0.20229999999999962,19.92,3,93,93,1.0
821116,0.20129999999999965,20.62,2,94,94,1.0
832649,0.21079999999999965,21.1,3,94,94,1.0
844116,0.20399999999999965,19.88,2,95,95,1.0
856223,0.18599999999999967,21.09,0,97,97,1.0
867504,0.19239999999999965,20.5,1,96,96,1.0
879000,0.1867999999999996,20.62,1,94,94,1.0
890783,0.18709999999999966,20.21,0,97,97,1.0
902149,0.20399999999999963,20.45,1,98,98,1.0
913704,0.2239999999999996,20.55,3,97,97,1.0
925526,0.2239999999999996,19.67,3,97,97,1.0
937222,0.21979999999999966,21.59,3,96,96,1.0
948503,0.20369999999999966,19.79,1,98,98,1.0
960470,0.2151999999999996,20.16,3,95,95,1.0
971763,0.17639999999999972,22.76,1,92,92,1.0
983133,0.22069999999999965,21.69,3,96,96,1.0
994628,0.2110999999999997,20.92,3,94,94,1.0
1006244,0.20799999999999963,20.39,1,99,99,1.0
1017985,0.20089999999999963,20.83,2,94,94,1.0
1029472,0.21009999999999962,19.92,2,97,97,1.0
1041177,0.2205999999999996,19.58,3,96,96,1.0
1052663,0.22419999999999962,19.43,4,95,95,1.0
1064539,0.18379999999999966,20.68,0,96,96,1.0
1075935,0.21599999999999964,19.99,2,98,98,1.0
1087124,0.1902999999999996,19.24,1,96,96,1.0
1098979,0.19749999999999965,19.8,1,96,96,1.0
1110936,0.19649999999999962,20.87,1,96,96,1.0
1122273,0.1897999999999997,20.68,1,95,95,1.0
1134157,0.19219999999999962,20.38,0,98,98,1.0
1145769,0.2030999999999996,18.34,1,98,98,1.0
1157286,0.20409999999999964,19.69,2,95,95,1.0
1169013,0.21469999999999964,19.95,3,95,95,1.0
1181035,0.18909999999999966,20.19,1,94,94,1.0
1192318,0.20569999999999966,20.19,2,96,96,1.0
1203621,0.2205999999999996,19.22,3,96,96,1.0
1215155,0.2191999999999996,21.16,4,93,93,1.0
1227248,0.22879999999999964,19.1,4,95,95,1.0
1239001,0.20979999999999968,20.27,3,94,94,1.0
1250515,0.21039999999999967,21.31,3,93,93,1.0
1262210,0.20929999999999965,19.52,2,97,97,1.0
1273747,0.2088999999999997,21.11,2,96,96,1.0
1285134,0.21449999999999964,19.67,3,95,95,1.0
1296610,0.19369999999999965,20.0,0,99,99,1.0
1308008,0.19549999999999962,20.79,1,96,96,1.0
