timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.014800000000000013,14.52,1,51,51,1.0
11730,-0.019600000000000006,15.23,0,50,50,1.0
23484,-0.006000000000000008,14.99,2,50,50,1.0
35156,0.001700000000000001,14.9,2,52,52,1.0
46135,-0.02339999999999995,15.81,0,49,49,1.0
57341,-0.0016999999999999954,14.39,1,52,52,1.0
68744,0.04350000000000004,15.68,3,57,57,1.0
80269,0.0005999999999999844,14.59,1,53,53,1.0
92172,-0.008300000000000009,13.21,1,52,52,1.0
103358,0.002200000000000003,14.97,1,53,53,1.0
114970,-0.05549999999999995,14.83,0,44,44,1.0
127187,-0.03669999999999998,14.7,1,45,45,1.0
138678,-0.06549999999999999,15.04,0,40,40,1.0
150341,0.0323,14.7,2,56,56,1.0
161881,-0.017399999999999943,14.15,0,52,52,1.0
172999,-0.025600000000000005,14.51,0,48,48,1.0
184290,-0.042599999999999964,14.91,0,48,48,1.0
195664,-0.015899999999999984,14.86,1,49,49,1.0
207262,-0.017300000000000003,13.92,0,52,52,1.0
218718,-0.007899999999999996,14.51,2,47,47,1.0
230167,-0.04549999999999996,13.9,1,45,45,1.0
241818,-0.04790000000000001,14.92,0,45,45,1.0
253247,-0.0017000000000000032,15.4,1,53,53,1.0
264441,0.0154,16.12,0,56,56,1.0
276158,-0.04149999999999999,14.21,1,44,44,1.0
287675,-0.014799999999999995,15.07,1,49,49,1.0
299536,-0.025400000000000006,15.1,0,50,50,1.0
311206,-0.0702,13.82,0,40,40,1.0
322532,-0.017499999999999967,14.03,1,48,48,1.0
334201,-0.021599999999999984,14.2,1,51,51,1.0
346304,0.004999999999999986,14.61,2,51,51,1.0
358116,-0.00910000000000001,14.18,1,50,50,1.0
370173,-0.02729999999999996,14.42,3,41,41,1.0
381769,0.005000000000000002,14.18,0,56,56,1.0
393435,-0.030799999999999984,14.12,0,51,51,1.0
404277,-0.0016000000000000053,15.0,3,47,47,1.0
415630,-0.0146,13.45,0,54,54,1.0
427207,-0.046699999999999936,13.85,0,45,45,1.0
439016,-0.002500000000000002,14.2,0,56,56,1.0
450462,-0.04409999999999993,14.13,1,47,47,1.0
461706,-0.03009999999999995,15.29,1,46,46,1.0
473227,-0.06099999999999997,14.78,0,40,40,1.0
484542,-0.048099999999999976,14.88,1,42,42,1.0
495666,0.052000000000000025,15.19,1,64,64,1.0
507333,-0.01590000000000001,15.16,0,51,51,1.0
518874,-0.022399999999999986,14.36,0,48,48,1.0
530791,-0.053599999999999995,14.12,1,44,44,1.0
542310,-0.01939999999999995,14.94,2,47,47,1.0
554276,-0.011300000000000008,14.96,0,52,52,1.0
565565,0.016599999999999986,15.3,0,58,58,1.0
577026,0.0146,15.11,2,52,52,1.0
588697,-0.0215,15.2,0,53,53,1.0
600129,-0.05979999999999997,14.34,0,44,44,1.0
611910,-0.040599999999999976,14.17,0,45,45,1.0
623368,-0.0028999999999999916,14.23,0,58,58,1.0
634801,0.007999999999999998,14.66,3,50,50,1.0
646825,-0.024399999999999974,14.41,0,48,48,1.0
658717,-0.0417,13.89,0,49,49,1.0
670367,-0.04879999999999996,14.63,1,44,44,1.0
682229,-0.01959999999999995,14.54,3,45,45,1.0
693737,-0.0197,13.53,1,51,51,1.0
705340,0.0078000000000000005,13.96,1,57,57,1.0
716935,-0.04899999999999999,14.25,1,45,45,1.0
728409,0.005399999999999996,15.36,1,51,51,1.0
740266,-0.021799999999999965,14.94,3,44,44,1.0
752014,0.025200000000000052,15.53,2,55,55,1.0
763657,-0.03479999999999996,13.96,1,46,46,1.0
774885,-0.01629999999999999,14.67,0,50,50,1.0
786212,-0.06970000000000001,14.19,0,42,42,1.0
797947,-0.056299999999999954,14.02,0,47,47,1.0
809545,-0.02570000000000001,14.38,0,50,50,1.0
821116,-0.0036000000000000116,15.18,1,50,50,1.0
832649,-0.00290000000000001,14.78,0,55,55,1.0
844116,-0.028299999999999992,14.5,0,49,49,1.0
856223,0.0069000000000000025,14.84,0,57,57,1.0
867504,-0.04199999999999994,14.09,1,46,46,1.0
879000,-0.06909999999999995,14.21,0,41,41,1.0
890783,-0.018399999999999934,15.14,1,52,52,1.0
902149,0.028900000000000016,15.3,1,56,56,1.0
913704,-0.030899999999999997,14.78,0,47,47,1.0
