timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.07719999999999998,13.68,0,43,43,1.0
11730,-0.033699999999999994,15.05,0,49,49,1.0
23484,-0.0236,15.04,2,46,46,1.0
35156,-0.027099999999999996,13.97,1,45,45,1.0
46135,-0.036799999999999986,15.04,0,46,46,1.0
57341,-0.04849999999999998,13.25,0,45,45,1.0
68744,0.00029999999999998637,14.9,2,49,49,1.0
80269,-0.035799999999999936,13.82,0,48,48,1.0
92172,-0.03639999999999999,13.49,2,44,44,1.0
103358,-0.02599999999999999,14.88,1,45,45,1.0
114970,-0.046599999999999954,13.62,1,42,42,1.0
127187,-0.036899999999999954,13.55,1,46,46,1.0
138678,-0.07859999999999996,14.65,2,33,33,1.0
150341,-0.04729999999999995,13.97,2,41,41,1.0
161881,0.0031000000000000003,13.05,1,55,55,1.0
172999,-0.018099999999999984,14.31,2,44,44,1.0
184290,-0.06849999999999996,14.78,0,41,41,1.0
195664,-0.02649999999999997,13.37,1,51,51,1.0
207262,-0.07419999999999996,13.45,1,39,39,1.0
218718,-0.005300000000000004,13.54,0,56,56,1.0
230167,-0.02089999999999998,14.02,2,47,47,1.0
241818,-0.057499999999999975,14.54,3,35,35,1.0
253247,-0.04339999999999997,14.88,0,46,46,1.0
264441,-0.059199999999999975,15.28,0,45,45,1.0
276158,-0.05399999999999999,12.97,0,42,42,1.0
287675,-0.07279999999999999,14.34,0,36,36,1.0
299536,-0.052399999999999974,14.51,1,42,42,1.0
311206,-0.05379999999999998,13.19,1,42,42,1.0
322532,-0.03399999999999995,14.07,1,44,44,1.0
334201,-0.05849999999999996,13.77,2,39,39,1.0
346304,-0.04949999999999998,13.65,2,36,36,1.0
358116,0.0010000000000000293,13.37,1,51,51,1.0
370173,-0.08809999999999998,14.06,2,29,29,1.0
381769,-0.0098,14.26,0,51,51,1.0
393435,-0.06749999999999998,13.77,0,43,43,1.0
404277,-0.014700000000000005,14.79,2,47,47,1.0
415630,-0.03889999999999999,13.65,0,48,48,1.0
427207,-0.044999999999999964,13.96,1,41,41,1.0
439016,-0.03769999999999998,13.48,1,45,45,1.0
450462,-0.03729999999999999,13.68,2,45,45,1.0
461706,-0.032799999999999975,14.49,2,43,43,1.0
473227,-0.12179999999999999,13.32,0,29,29,1.0
484542,-0.09419999999999992,14.47,1,34,34,1.0
495666,0.0004999999999999976,14.22,0,55,55,1.0
507333,-0.03049999999999995,14.47,0,48,48,1.0
518874,-0.050099999999999964,14.13,0,42,42,1.0
530791,-0.045699999999999956,13.75,1,45,45,1.0
542310,-0.043399999999999946,14.13,1,45,45,1.0
554276,-0.03829999999999996,14.24,0,47,47,1.0
565565,-0.009400000000000013,15.56,1,50,50,1.0
577026,-0.027999999999999994,14.42,1,45,45,1.0
588697,-0.03439999999999998,14.32,0,50,50,1.0
600129,-0.020900000000000016,13.82,1,54,54,1.0
611910,-0.051199999999999975,13.24,1,40,40,1.0
623368,-0.03159999999999999,14.49,1,46,46,1.0
634801,-0.05659999999999996,14.41,1,39,39,1.0
646825,-0.01979999999999999,13.61,2,45,45,1.0
658717,-0.05169999999999996,13.49,0,46,46,1.0
670367,-0.03609999999999997,14.2,3,38,38,1.0
682229,-0.03239999999999995,14.61,3,43,43,1.0
693737,-0.055999999999999966,13.42,0,43,43,1.0
705340,-0.034799999999999984,13.49,0,49,49,1.0
716935,-0.04259999999999997,13.32,0,47,47,1.0
728409,-0.019899999999999994,14.59,0,45,45,1.0
740266,-0.005899999999999999,14.53,2,48,48,1.0
752014,-0.006700000000000011,14.22,2,48,48,1.0
763657,-0.03859999999999994,13.53,1,45,45,1.0
774885,-0.03659999999999999,14.49,0,46,46,1.0
786212,-0.05249999999999999,14.55,1,42,42,1.0
797947,-0.06869999999999994,13.43,0,43,43,1.0
809545,-0.03559999999999995,13.43,2,45,45,1.0
821116,-0.013600000000000003,13.75,2,46,46,1.0
832649,-0.017200000000000007,14.36,3,45,45,1.0
844116,-0.08499999999999995,13.83,0,39,39,1.0
856223,-0.0101,13.97,3,45,45,1.0
867504,-0.04579999999999994,13.91,0,49,49,1.0
879000,-0.10370000000000001,13.15,0,34,34,1.0
890783,-0.03659999999999999,14.59,1,48,48,1.0
902149,-0.011499999999999995,14.11,1,49,49,1.0
913704,-0.053899999999999997,14.68,0,44,44,1.0
925526,-0.02379999999999999,14.2,0,51,51,1.0
937222,-0.0691,14.67,0,43,43,1.0
948503,-0.028900000000000002,12.9,0,50,50,1.0
960470,-0.03539999999999997,14.72,1,46,46,1.0
971763,-0.049599999999999984,15.63,1,40,40,1.0
983133,-0.06739999999999999,14.85,1,41,41,1.0
994628,-0.0999,14.6,0,32,32,1.0
1006244,-0.019000000000000003,14.54,0,52,52,1.0
1017985,-0.05229999999999996,13.66,1,41,41,1.0
1029472,-0.05759999999999998,13.37,2,41,41,1.0
1041177,0.016899999999999988,13.82,1,56,56,1.0
1052663,-0.0064000000000000055,13.71,0,54,54,1.0
1064539,-0.006199999999999999,14.13,1,49,49,1.0
1075935,-0.005700000000000003,14.57,1,52,52,1.0
1087124,-0.07879999999999998,14.73,1,33,33,1.0
1098979,-0.036099999999999924,13.73,0,47,47,1.0
1110936,-0.05579999999999999,12.81,0,43,43,1.0
1122273,-0.023399999999999997,13.87,1,47,47,1.0
1134157,-0.00020000000000000738,14.2,1,52,52,1.0
1145769,-0.01380000000000001,14.29,2,47,47,1.0
1157286,-0.009800000000000007,14.68,0,52,52,1.0
1169013,-0.040199999999999986,13.43,2,40,40,1.0
1181035,-0.06239999999999997,13.65,1,39,39,1.0
1192318,-0.044099999999999945,14.05,0,47,47,1.0
1203621,-0.031700000000000006,13.82,3,42,42,1.0
1215155,-0.03479999999999998,14.56,1,46,46,1.0
1227248,-0.03539999999999997,13.69,1,43,43,1.0
1239001,-0.03629999999999998,14.67,0,46,46,1.0
1250515,-0.043399999999999946,15.04,1,42,42,1.0
1262210,-0.07159999999999996,13.75,0,43,43,1.0
1273747,-0.028200000000000003,14.5,2,43,43,1.0
1285134,-0.042099999999999985,13.93,2,43,43,1.0
1296610,-0.029799999999999986,14.84,0,47,47,1.0
1308008,-0.02699999999999996,14.14,1,45,45,1.0
1319196,-0.05339999999999995,13.85,0,48,48,1.0
1330861,-0.006000000000000003,15.07,0,50,50,1.0
1341988,-0.07379999999999999,13.43,0,40,40,1.0
1353476,-0.033599999999999984,14.09,1,43,43,1.0
1365159,-0.027999999999999983,14.48,0,49,49,1.0
1376786,-0.06299999999999996,13.64,0,43,43,1.0
1388447,0.0006999999999999951,13.46,1,51,51,1.0
1399833,-0.06029999999999998,13.93,0,45,45,1.0
1411370,-0.04779999999999996,13.48,1,41,41,1.0
1422929,-0.007999999999999967,14.79,3,45,45,1.0
1434254,-0.044099999999999966,14.66,0,46,46,1.0
1446357,-0.06179999999999999,13.83,1,38,38,1.0
1457425,-0.017900000000000006,14.54,0,53,53,1.0
1469450,-0.0674,13.42,1,35,35,1.0
1481446,0.009900000000000004,14.26,3,50,50,1.0
1492446,-0.0989,14.44,0,36,36,1.0
1503349,-0.05369999999999999,13.12,0,45,45,1.0
1514767,-0.043299999999999964,13.67,1,46,46,1.0
1526350,-0.03639999999999997,14.12,0,46,46,1.0
1537687,-0.03989999999999998,14.75,1,44,44,1.0
1549784,-0.055199999999999985,13.35,1,43,43,1.0
1560960,-0.015500000000000007,13.0,3,45,45,1.0
1572318,-0.015299999999999963,13.36,2,49,49,1.0
1583736,-0.02080000000000001,14.13,1,49,49,1.0
1595750,-0.012799999999999995,13.84,3,46,46,1.0
1607358,-0.07729999999999997,13.96,0,37,37,1.0
1618973,-0.006100000000000006,15.07,0,52,52,1.0
1630423,-0.08189999999999992,14.44,1,34,34,1.0
1641579,-0.08980000000000005,14.37,0,38,38,1.0
1653113,0.009599999999999987,14.67,1,54,54,1.0
1664810,-0.02199999999999999,13.8,1,49,49,1.0
1676249,-0.05209999999999994,13.98,0,45,45,1.0
1688245,-0.03689999999999997,13.32,1,50,50,1.0
1699768,0.004799999999999999,14.71,2,49,49,1.0
1711076,-0.028899999999999978,13.98,1,44,44,1.0
1722865,-0.03189999999999996,13.63,1,47,47,1.0
1734458,-0.061499999999999985,14.22,1,38,38,1.0
1745959,-0.03259999999999997,14.25,2,44,44,1.0
1757086,-0.07949999999999996,14.15,1,36,36,1.0
1768980,-0.06139999999999997,13.0,1,45,45,1.0
1779791,0.0016999999999999988,13.83,3,48,48,1.0
1791658,-0.08049999999999997,14.12,0,38,38,1.0
1803519,-0.06769999999999995,13.42,1,38,38,1.0
1815379,-0.06689999999999995,14.87,1,38,38,1.0
1826983,-0.007600000000000003,14.29,2,50,50,1.0
1838352,-0.02149999999999999,14.23,2,47,47,1.0
1849559,-0.04389999999999998,14.16,1,41,41,1.0
1861294,-0.05870000000000001,14.04,0,42,42,1.0
1872767,-0.06169999999999996,13.66,0,42,42,1.0
1884218,-0.07169999999999993,13.89,0,43,43,1.0
1895503,-0.08139999999999999,14.29,0,39,39,1.0
1906764,-0.0823,12.19,1,36,36,1.0
1918176,-0.06349999999999995,14.01,1,46,46,1.0
1929383,-0.08460000000000001,13.52,1,35,35,1.0
1940664,-0.060399999999999954,13.54,2,38,38,1.0
