timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.2151999999999996,22.69,4,92,159,0.5786163522012578
7271,0.19509999999999966,22.79,2,93,162,0.5740740740740741
12292,0.22509999999999966,21.94,4,95,160,0.59375
16899,0.26019999999999954,22.02,11,82,146,0.5616438356164384
21282,0.2042999999999996,23.62,3,91,165,0.5515151515151515
25306,0.21709999999999963,20.33,4,93,153,0.6078431372549019
28910,0.23129999999999956,21.56,5,93,178,0.5224719101123596
32696,0.21139999999999964,22.71,4,91,153,0.5947712418300654
36322,0.2439999999999996,20.31,7,90,157,0.5732484076433121
39586,0.20409999999999964,21.36,1,98,167,0.5868263473053892
43020,0.20559999999999956,21.96,2,95,152,0.625
46504,0.2399999999999996,22.37,5,95,156,0.6089743589743589
50083,0.1891999999999997,21.66,1,95,167,0.5688622754491018
53758,0.22059999999999963,22.27,3,96,169,0.5680473372781065
57202,0.20199999999999968,23.18,4,88,165,0.5333333333333333
60634,0.23129999999999964,22.27,5,93,164,0.5670731707317073
64040,0.20659999999999965,23.38,2,95,170,0.5588235294117647
67695,0.22489999999999963,22.34,4,94,156,0.6025641025641025
71188,0.21939999999999962,20.78,4,93,163,0.5705521472392638
74492,0.24129999999999963,20.64,7,89,144,0.6180555555555556
77939,0.1956999999999997,22.75,2,94,165,0.5696969696969697
81206,0.24049999999999958,23.68,6,92,190,0.4842105263157895
84594,0.22159999999999969,22.68,5,91,165,0.5515151515151515
88121,0.22029999999999966,23.02,4,92,166,0.5542168674698795
92052,0.22419999999999965,23.19,5,91,162,0.5617283950617284
95495,0.23239999999999963,23.12,6,91,180,0.5055555555555555
99103,0.21919999999999967,22.27,4,93,147,0.6326530612244898
102520,0.22829999999999961,21.31,6,89,135,0.6592592592592592
105948,0.2421999999999996,22.77,7,90,163,0.5521472392638037
109314,0.2271999999999996,23.11,4,95,166,0.572289156626506
112714,0.22769999999999968,22.78,5,91,188,0.48404255319148937
116185,0.22759999999999966,21.33,6,89,140,0.6357142857142857
119453,0.19679999999999964,22.64,2,94,142,0.6619718309859155
122859,0.2439999999999996,23.34,7,90,168,0.5357142857142857
126266,0.18529999999999966,23.35,3,89,169,0.5266272189349113
129527,0.2358999999999996,24.37,8,86,173,0.49710982658959535
133077,0.21489999999999962,22.18,4,91,172,0.5290697674418605
136389,0.21829999999999966,20.16,4,93,158,0.5886075949367089
139801,0.23519999999999963,22.18,7,87,173,0.5028901734104047
143167,0.2061999999999996,23.92,2,96,156,0.6153846153846154
146629,0.24579999999999966,22.28,7,90,146,0.6164383561643836
150000,0.22469999999999962,23.1,5,91,201,0.4527363184079602
153500,0.2719999999999996,22.73,10,88,166,0.5301204819277109
157027,0.20979999999999968,21.0,4,91,146,0.6232876712328768
160646,0.22569999999999962,22.86,6,88,166,0.5301204819277109
164301,0.22179999999999964,20.55,4,93,173,0.5375722543352601
167850,0.23149999999999957,21.07,7,88,136,0.6470588235294118
171306,0.24799999999999955,20.55,6,94,164,0.573170731707317
174877,0.21569999999999964,21.86,3,95,184,0.5163043478260869
178593,0.22399999999999956,21.8,3,97,165,0.5878787878787879
182082,0.21239999999999962,21.77,4,92,136,0.6764705882352942
185582,0.2294999999999996,21.9,5,92,171,0.5380116959064327
189040,0.23619999999999963,24.56,7,88,184,0.4782608695652174
192493,0.19289999999999963,23.23,2,92,161,0.5714285714285714
195786,0.22629999999999964,22.91,5,92,171,0.5380116959064327
199123,0.2094999999999996,23.86,4,90,169,0.5325443786982249
202606,0.21729999999999958,22.08,3,95,163,0.5828220858895705
206055,0.23749999999999968,23.45,6,91,171,0.5321637426900585
209309,0.21579999999999955,21.86,3,95,127,0.7480314960629921
212933,0.2438999999999996,21.77,6,93,168,0.5535714285714286
216431,0.25319999999999965,21.63,7,92,148,0.6216216216216216
219901,0.21829999999999966,23.08,4,93,151,0.6158940397350994
223341,0.22819999999999957,21.38,6,90,179,0.5027932960893855
226733,0.2130999999999997,21.34,3,94,149,0.6308724832214765
230240,0.18439999999999965,22.65,1,94,142,0.6619718309859155
233655,0.22839999999999958,21.01,4,95,148,0.6418918918918919
237265,0.18349999999999972,21.51,2,91,135,0.674074074074074
240699,0.1976999999999996,22.72,2,93,156,0.5961538461538461
244002,0.20469999999999966,22.34,2,95,169,0.5621301775147929
247764,0.24399999999999963,21.24,8,87,154,0.564935064935065
251075,0.24199999999999963,22.72,7,89,199,0.4472361809045226
254431,0.19879999999999964,20.82,4,89,153,0.5816993464052288
257828,0.2465999999999996,23.62,8,88,163,0.5398773006134969
261253,0.19549999999999962,21.2,2,92,171,0.5380116959064327
264866,0.23779999999999962,20.33,6,92,152,0.6052631578947368
268432,0.22129999999999955,21.75,4,94,144,0.6527777777777778
271902,0.25149999999999956,22.08,7,92,161,0.5714285714285714
275483,0.20119999999999966,22.67,1,97,190,0.5105263157894737
278923,0.23969999999999964,22.94,6,92,176,0.5227272727272727
282628,0.24399999999999963,23.01,7,90,177,0.5084745762711864
286100,0.28309999999999963,22.29,12,85,164,0.5182926829268293
289689,0.2523999999999997,24.55,10,83,162,0.5123456790123457
293321,0.21409999999999962,23.64,6,86,172,0.5
296738,0.2200999999999996,22.32,4,93,181,0.5138121546961326
300285,0.2175999999999996,22.97,3,95,163,0.5828220858895705
304063,0.1993999999999997,23.15,3,92,157,0.5859872611464968
307548,0.21739999999999968,23.06,5,89,153,0.5816993464052288
311044,0.23089999999999963,21.77,5,93,151,0.6158940397350994
314397,0.24759999999999963,20.71,7,91,135,0.674074074074074
317965,0.23639999999999964,22.16,8,85,160,0.53125
321548,0.19689999999999963,21.96,3,90,157,0.5732484076433121
324992,0.2102999999999996,21.83,2,97,152,0.6381578947368421
328549,0.22189999999999965,20.86,5,91,155,0.5870967741935483
331931,0.21959999999999955,21.65,4,93,166,0.5602409638554217
335435,0.20629999999999968,21.98,2,96,174,0.5517241379310345
338933,0.20139999999999966,23.09,3,91,152,0.5986842105263158
342495,0.24169999999999964,22.14,7,89,164,0.5426829268292683
345877,0.21269999999999964,22.64,3,94,173,0.5433526011560693
349225,0.2197999999999996,22.08,5,89,144,0.6180555555555556
352635,0.24259999999999962,22.66,7,91,170,0.5352941176470588
356043,0.20079999999999962,21.39,1,97,157,0.6178343949044586
359785,0.2293999999999997,22.07,7,87,154,0.564935064935065
363133,0.23019999999999963,22.47,5,92,149,0.6174496644295302
366469,0.2445999999999996,23.46,6,93,164,0.5670731707317073
369856,0.21569999999999961,21.79,5,89,176,0.5056818181818182
373556,0.23619999999999963,21.02,5,94,157,0.5987261146496815
377128,0.2486999999999995,21.18,7,91,169,0.5384615384615384
380661,0.20729999999999968,23.87,5,88,206,0.42718446601941745
384375,0.23899999999999963,23.35,6,92,164,0.5609756097560976
387717,0.22159999999999969,23.08,5,90,183,0.4918032786885246
391040,0.20169999999999963,21.38,1,97,145,0.6689655172413793
394394,0.25139999999999957,24.0,9,85,173,0.4913294797687861
397732,0.2216999999999995,21.05,4,93,169,0.5502958579881657
401375,0.2351999999999996,23.92,7,87,169,0.514792899408284
404857,0.23299999999999954,20.89,6,91,168,0.5416666666666666
408393,0.22649999999999956,21.62,5,92,140,0.6571428571428571
412153,0.22619999999999962,22.42,5,92,155,0.5935483870967742
415655,0.2537999999999996,22.52,7,92,190,0.4842105263157895
419115,0.2151999999999996,21.72,4,92,173,0.5317919075144508
422630,0.20769999999999963,22.52,5,88,153,0.5751633986928104
426110,0.23759999999999962,22.5,8,85,169,0.5029585798816568
429672,0.23249999999999957,21.4,6,90,151,0.5960264900662252
433218,0.22539999999999957,21.33,5,92,171,0.5380116959064327
436706,0.21549999999999955,21.08,3,95,154,0.6168831168831169
440355,0.19359999999999963,22.27,2,92,141,0.6524822695035462
444005,0.22929999999999964,21.07,5,92,166,0.5542168674698795
447466,0.24889999999999954,21.46,7,91,149,0.610738255033557
451165,0.22399999999999964,22.63,3,97,150,0.6466666666666666
454569,0.19629999999999964,23.92,3,91,164,0.5548780487804879
457843,0.22399999999999956,21.32,3,97,157,0.6178343949044586
461317,0.1972999999999996,21.23,1,97,167,0.5808383233532934
464736,0.21549999999999966,23.24,5,89,158,0.5632911392405063
468067,0.21589999999999968,22.1,3,94,175,0.5371428571428571
471414,0.2008999999999997,21.51,2,95,167,0.5688622754491018
474792,0.27589999999999965,22.06,11,86,152,0.5657894736842105
477983,0.18469999999999967,23.11,0,96,158,0.6075949367088608
481099,0.18589999999999962,20.9,1,94,178,0.5280898876404494
484320,0.23349999999999965,21.04,7,87,147,0.5918367346938775
487822,0.21639999999999973,23.3,6,86,156,0.5512820512820513
491114,0.21219999999999964,23.47,4,91,165,0.5515151515151515
