timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.0014000000000000024,15.9,3,43,72,0.5972222222222222
7271,-0.012399999999999998,16.11,0,51,72,0.7083333333333334
12292,0.005699999999999994,15.95,2,51,70,0.7285714285714285
16899,0.020500000000000008,16.02,3,52,83,0.6265060240963856
21282,-0.0025999999999999908,16.99,2,45,79,0.569620253164557
25306,0.02890000000000002,15.61,3,52,81,0.6419753086419753
28910,0.03340000000000002,16.96,3,51,88,0.5795454545454546
32696,0.0050000000000000044,15.75,1,52,74,0.7027027027027027
36322,0.006699999999999991,14.49,2,48,79,0.6075949367088608
39586,0.021600000000000046,16.37,2,53,75,0.7066666666666667
43020,-0.0276,15.6,0,47,64,0.734375
46504,-0.036799999999999965,15.6,1,41,70,0.5857142857142857
50083,-0.032900000000000006,16.42,1,44,72,0.6111111111111112
53758,0.05230000000000007,15.66,4,52,81,0.6419753086419753
57202,-0.018199999999999966,15.39,0,48,72,0.6666666666666666
60634,0.005099999999999994,15.65,0,54,75,0.72
64040,-0.0338,16.21,0,48,69,0.6956521739130435
67695,0.010300000000000007,15.9,1,53,70,0.7571428571428571
71188,0.0206,14.76,3,52,78,0.6666666666666666
74492,0.0085,16.19,3,45,66,0.6818181818181818
77939,-0.02609999999999997,15.1,3,42,63,0.6666666666666666
81206,-0.047400000000000005,15.6,1,39,68,0.5735294117647058
84594,0.012899999999999998,16.26,1,55,74,0.7432432432432432
88121,0.0184,17.58,0,54,95,0.5684210526315789
92052,-0.017700000000000014,14.95,2,45,60,0.75
95495,-0.007999999999999998,16.25,1,46,67,0.6865671641791045
99103,0.0013999999999999946,15.8,0,55,79,0.6962025316455697
102520,-0.02380000000000001,15.22,4,37,60,0.6166666666666667
105948,-0.011600000000000004,14.79,1,49,65,0.7538461538461538
109314,0.029700000000000025,15.06,4,51,73,0.6986301369863014
112714,0.041500000000000065,15.51,3,53,76,0.6973684210526315
116185,-0.010400000000000013,15.78,1,47,75,0.6266666666666667
119453,-0.02669999999999998,15.18,3,41,55,0.7454545454545455
122859,0.0186,14.88,2,54,67,0.8059701492537313
126266,-0.025699999999999997,15.07,0,49,73,0.6712328767123288
129527,0.0049,16.14,3,47,69,0.6811594202898551
133077,0.007099999999999993,14.99,2,50,74,0.6756756756756757
136389,-0.043299999999999964,14.91,0,46,75,0.6133333333333333
139801,0.004099999999999993,15.08,1,53,79,0.6708860759493671
143167,-0.007899999999999983,15.54,1,51,71,0.7183098591549296
146629,0.0032000000000000045,16.4,2,48,74,0.6486486486486487
150000,-0.0369,15.75,1,42,61,0.6885245901639344
153500,-0.03989999999999999,16.06,2,37,58,0.6379310344827587
157027,0.06470000000000004,15.79,2,63,88,0.7159090909090909
160646,0.021199999999999993,16.59,2,51,81,0.6296296296296297
164301,0.017399999999999985,16.03,2,51,86,0.5930232558139535
167850,-0.018900000000000014,15.32,3,42,61,0.6885245901639344
171306,-0.00039999999999998565,16.24,4,43,68,0.6323529411764706
