timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.10590000000000002,13.46,0,35,51,0.6862745098039216
7298,-0.043,15.13,0,44,72,0.6111111111111112
12548,-0.0181,15.28,2,44,69,0.6376811594202898
17014,-0.06099999999999998,14.75,2,32,60,0.5333333333333333
21040,-0.03779999999999997,15.22,2,39,58,0.6724137931034483
24758,-0.055599999999999976,13.83,1,37,56,0.6607142857142857
28402,-0.02339999999999996,15.36,3,41,62,0.6612903225806451
32261,-0.044499999999999956,15.08,1,45,65,0.6923076923076923
35758,-1.1102230246251566e-18,14.29,3,47,68,0.6911764705882353
39053,-0.030199999999999994,14.94,1,43,62,0.6935483870967742
42585,-0.0633,14.16,2,35,52,0.6730769230769231
46048,-0.06659999999999995,15.07,1,37,59,0.6271186440677966
49642,-0.10749999999999997,15.31,1,27,48,0.5625
53323,-0.03879999999999997,14.13,4,35,56,0.625
56902,-0.03339999999999996,13.59,0,48,65,0.7384615384615385
60238,-0.040099999999999955,14.11,2,39,61,0.639344262295082
63623,-0.05739999999999998,14.7,0,42,57,0.7368421052631579
67367,-0.05669999999999998,13.91,2,38,50,0.76
71003,-0.0981,14.23,2,33,60,0.55
74362,-0.020699999999999975,14.52,1,47,67,0.7014925373134329
77846,-0.034599999999999964,14.1,2,44,53,0.8301886792452831
81191,-0.0677,14.48,1,37,63,0.5873015873015873
84672,-0.0472,14.8,2,39,54,0.7222222222222222
88212,-0.03929999999999995,14.88,0,46,73,0.6301369863013698
91900,-0.06369999999999998,13.71,0,39,54,0.7222222222222222
95202,-0.059899999999999974,14.96,1,37,54,0.6851851851851852
98683,-0.030599999999999947,14.91,4,41,61,0.6721311475409836
101994,-0.08379999999999997,13.91,2,30,53,0.5660377358490566
105384,-0.024900000000000002,14.53,1,44,72,0.6111111111111112
108783,-0.03699999999999999,14.37,3,38,59,0.6440677966101694
112100,-0.030099999999999988,14.19,2,40,61,0.6557377049180327
115587,-0.04259999999999993,14.27,1,39,54,0.7222222222222222
119113,-0.03839999999999999,13.92,3,38,56,0.6785714285714286
122469,-0.03189999999999999,14.62,1,43,67,0.6417910447761194
125793,-0.09409999999999999,13.61,0,37,52,0.7115384615384616
129209,-0.04449999999999998,14.61,1,44,73,0.6027397260273972
132783,-0.03270000000000001,14.29,4,35,60,0.5833333333333334
135980,-0.04999999999999995,14.74,1,40,60,0.6666666666666666
139270,-0.07429999999999999,14.14,1,35,54,0.6481481481481481
142485,-0.07539999999999998,14.22,1,37,52,0.7115384615384616
146024,-0.042999999999999955,14.83,2,41,64,0.640625
149345,-0.1268,14.06,1,23,38,0.6052631578947368
152759,-0.08739999999999998,14.49,3,29,49,0.5918367346938775
156328,0.000499999999999986,14.76,3,45,69,0.6521739130434783
160070,-0.05539999999999993,15.39,0,39,78,0.5
163709,-0.044699999999999955,15.27,1,38,71,0.5352112676056338
167089,-0.058399999999999945,13.87,2,39,60,0.65
170528,-0.07919999999999998,14.23,0,37,57,0.6491228070175439
