timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.9521,22.04,5,91,148,0.6148648648648649
7298,0.9859,21.81,9,90,169,0.5325443786982249
12356,0.9749,21.76,4,94,159,0.5911949685534591
16714,0.8969,23.96,10,81,175,0.46285714285714286
20725,0.9428,22.44,7,88,157,0.5605095541401274
24867,0.9658,21.31,3,94,194,0.4845360824742268
28539,0.9649999999999999,21.84,7,90,157,0.5732484076433121
32488,0.9765999999999999,21.28,2,96,164,0.5853658536585366
35832,0.9753000000000001,21.31,7,91,161,0.5652173913043478
39190,0.9776,20.95,7,91,172,0.5290697674418605
42723,0.964,20.83,5,92,134,0.6865671641791045
46227,0.9290999999999999,23.03,3,91,176,0.5170454545454546
49805,0.9284,22.83,3,91,167,0.5449101796407185
53251,0.9875999999999999,21.05,5,94,153,0.6143790849673203
56781,0.9300999999999999,22.4,4,90,152,0.5921052631578947
60140,0.9011999999999999,22.69,12,80,198,0.40404040404040403
63704,0.9376000000000001,21.26,3,92,150,0.6133333333333333
67183,0.9733999999999999,21.65,5,93,157,0.5923566878980892
70660,0.9292,22.48,4,90,181,0.4972375690607735
74015,0.9139,21.92,5,88,169,0.5207100591715976
77549,0.953,22.07,3,93,175,0.5314285714285715
80944,0.9765999999999999,22.95,8,90,176,0.5113636363636364
84594,0.9513000000000001,22.65,8,88,139,0.6330935251798561
88200,0.9646000000000001,22.7,4,93,174,0.5344827586206896
91944,0.9416999999999999,22.1,9,86,169,0.5088757396449705
95406,0.9400999999999999,22.65,4,91,166,0.5481927710843374
98900,0.9544,23.93,4,92,158,0.5822784810126582
102445,0.9662999999999999,21.9,1,96,165,0.5818181818181818
105626,0.9414,23.32,9,86,184,0.4673913043478261
109084,0.9292999999999999,23.97,4,90,148,0.6081081081081081
112396,0.9659,22.61,7,90,176,0.5113636363636364
115810,0.9042,21.87,4,88,159,0.5534591194968553
119285,0.9041,24.14,5,87,165,0.5272727272727272
122894,0.9665,21.62,3,94,167,0.562874251497006
126230,0.9149,21.47,3,90,159,0.5660377358490566
129751,0.9411999999999999,23.49,9,86,158,0.5443037974683544
133275,0.9603999999999999,22.71,7,90,176,0.5113636363636364
136678,0.9279999999999999,23.45,8,86,148,0.581081081081081
140066,0.9765,21.5,3,95,170,0.5588235294117647
143489,0.9645999999999999,22.54,8,89,170,0.5235294117647059
147040,0.9647000000000001,21.47,6,91,160,0.56875
150532,0.9,21.66,6,86,137,0.6277372262773723
154063,0.9285000000000001,23.83,7,87,172,0.5058139534883721
157607,0.9625999999999999,22.02,1,96,157,0.6114649681528662
161197,0.9778,21.59,6,92,181,0.5082872928176796
164788,0.9768000000000001,21.17,2,96,170,0.5647058823529412
168171,0.8874,22.96,3,88,163,0.5398773006134969
171617,0.9558999999999999,23.18,7,89,168,0.5297619047619048
175285,0.9547,22.07,5,91,169,0.5384615384615384
178966,0.9282,21.39,1,93,155,0.6
182549,0.9643,21.73,3,94,150,0.6266666666666667
186082,0.9081999999999999,24.13,7,85,175,0.4857142857142857
189863,0.8928000000000001,24.1,5,86,185,0.4648648648648649
193519,0.9512999999999999,21.71,5,91,162,0.5617283950617284
196900,0.9621,21.25,7,90,178,0.5056179775280899
200405,0.9361999999999999,22.79,4,91,186,0.489247311827957
203794,0.9512999999999999,22.52,4,92,180,0.5111111111111111
207163,0.9418,22.73,4,91,157,0.5796178343949044
210391,0.9623999999999999,22.4,5,92,154,0.5974025974025974
213886,0.8865000000000001,23.09,8,83,149,0.5570469798657718
217444,0.9638,21.04,6,91,160,0.56875
220772,0.9364999999999999,22.95,3,92,167,0.5508982035928144
224200,0.9525,21.0,4,92,168,0.5476190476190477
227548,0.8707999999999998,23.51,7,82,192,0.4270833333333333
231032,0.9056000000000001,24.18,6,86,188,0.4574468085106383
234551,0.9549000000000001,21.92,7,89,186,0.478494623655914
238324,0.9531000000000001,21.92,4,92,174,0.5287356321839081
241632,0.9772,21.3,6,92,180,0.5111111111111111
244997,0.9521,22.1,4,92,176,0.5227272727272727
248606,0.9303999999999999,22.45,7,87,160,0.54375
251910,0.9769999999999999,22.46,4,94,161,0.5838509316770186
255394,0.9051,23.99,3,89,182,0.489010989010989
258983,0.9436000000000001,21.9,2,93,173,0.5375722543352601
262631,0.9415,22.51,4,91,147,0.6190476190476191
266115,0.9291999999999999,20.98,6,88,165,0.5333333333333333
269556,0.9446000000000001,21.2,4,92,160,0.575
272907,0.8815,22.64,5,85,165,0.5151515151515151
276297,0.9426000000000001,22.85,5,90,165,0.5454545454545454
279652,0.9172,22.58,7,86,164,0.524390243902439
283184,0.9284,22.91,3,91,169,0.5384615384615384
286791,0.9525,21.73,2,94,163,0.5766871165644172
290363,0.9411999999999999,24.14,11,84,185,0.4540540540540541
293879,0.9508,21.6,4,92,157,0.5859872611464968
297350,0.9383999999999999,21.16,6,89,151,0.5894039735099338
300835,0.9427,22.61,2,93,164,0.5670731707317073
304498,0.9882,22.83,6,93,176,0.5284090909090909
307941,0.9390999999999998,24.01,7,88,165,0.5333333333333333
311451,0.9390999999999999,20.78,9,86,161,0.5341614906832298
315011,0.9771000000000001,22.27,6,92,190,0.4842105263157895
318649,0.9534,22.46,7,89,178,0.5
322088,0.9756000000000001,21.76,4,94,173,0.5433526011560693
325637,0.9655,23.08,8,89,189,0.4708994708994709
329129,0.9133000000000001,21.86,13,80,174,0.45977011494252873
332595,0.9490999999999999,22.56,7,89,193,0.46113989637305697
336080,0.9189999999999999,22.24,1,93,162,0.5740740740740741
339559,0.9553000000000001,21.26,4,92,145,0.6344827586206897
342866,0.9535000000000001,22.76,6,90,177,0.5084745762711864
346173,0.9255,22.74,3,91,161,0.5652173913043478
349459,0.9410000000000001,22.66,7,88,182,0.4835164835164835
353079,0.9397000000000001,23.25,6,89,162,0.5493827160493827
356385,0.9758999999999999,20.43,3,95,172,0.5523255813953488
359977,0.9627999999999999,21.89,10,87,153,0.5686274509803921
363443,0.9130999999999999,21.95,4,89,159,0.559748427672956
366766,0.9763,20.98,4,94,147,0.6394557823129252
370136,0.9510999999999998,22.46,7,89,187,0.47593582887700536
373796,0.9273,23.38,10,84,172,0.4883720930232558
377207,1.0,21.2,3,97,164,0.5914634146341463
380624,0.9497999999999999,21.53,6,90,158,0.569620253164557
384152,0.9299000000000001,24.91,2,92,178,0.5168539325842697
387561,0.9425999999999999,22.48,5,90,172,0.5232558139534884
391011,0.9311000000000001,22.53,5,89,173,0.5144508670520231
394549,0.9789000000000001,22.57,4,94,172,0.5465116279069767
398071,1.0,21.36,6,94,186,0.5053763440860215
401915,0.9247000000000001,22.05,10,84,156,0.5384615384615384
405256,0.9283999999999999,22.97,4,90,158,0.569620253164557
408804,0.9562,24.34,6,90,186,0.4838709677419355
412549,0.9658000000000001,23.08,4,93,206,0.45145631067961167
416178,0.9764,21.82,7,91,165,0.5515151515151515
419769,0.9667,21.72,2,95,175,0.5428571428571428
423361,0.9418000000000001,22.5,2,93,180,0.5166666666666667
426965,0.9404,22.32,7,88,152,0.5789473684210527
430556,0.9753000000000001,22.12,3,95,170,0.5588235294117647
434292,0.9011,23.14,7,85,168,0.5059523809523809
437839,0.9636999999999999,21.79,6,91,149,0.610738255033557
441571,0.9763000000000001,21.97,4,94,148,0.6351351351351351
445121,0.9319,23.68,2,92,189,0.48677248677248675
448487,0.9498000000000001,21.94,2,94,159,0.5911949685534591
451823,0.9423999999999998,23.32,4,91,196,0.4642857142857143
455337,0.9533,22.8,2,94,152,0.618421052631579
458628,0.9279000000000001,23.9,1,93,156,0.5961538461538461
462257,0.9483,22.05,4,92,166,0.5542168674698795
465580,0.9494,20.73,3,93,175,0.5314285714285715
468972,0.9518,20.82,6,90,184,0.4891304347826087
472591,0.9158,20.6,6,87,143,0.6083916083916084
475965,0.9667999999999999,22.48,4,93,181,0.5138121546961326
479308,0.9270999999999998,21.95,3,91,153,0.5947712418300654
482543,0.9258,23.12,8,86,157,0.5477707006369427
485776,0.9775,20.42,5,93,153,0.6078431372549019
489264,0.9523999999999999,22.18,4,92,181,0.5082872928176796
492532,0.9059999999999999,22.56,2,90,187,0.48128342245989303
495963,0.9279,22.11,7,87,157,0.554140127388535
499492,0.9506999999999999,24.36,6,90,167,0.5389221556886228
502960,0.9777000000000001,23.17,7,91,167,0.5449101796407185
506530,0.9410000000000001,20.9,2,93,175,0.5314285714285715
