timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.3313999999999999,15.88,2,43,71,0.6056338028169014
7298,0.3839000000000001,15.93,0,50,72,0.6944444444444444
12356,0.4016,15.85,2,50,72,0.6944444444444444
16714,0.41569999999999996,15.94,3,50,74,0.6756756756756757
20725,0.3718999999999999,17.15,2,46,84,0.5476190476190477
24867,0.3966000000000001,15.47,3,48,79,0.6075949367088608
28539,0.4891,16.58,3,55,91,0.6043956043956044
32488,0.42060000000000003,15.73,1,52,75,0.6933333333333334
35832,0.4037999999999999,14.67,3,48,77,0.6233766233766234
39190,0.46919999999999995,16.17,2,55,81,0.6790123456790124
42723,0.3767000000000001,15.81,0,49,72,0.6805555555555556
46227,0.3144,15.81,1,43,79,0.5443037974683544
49805,0.3297,16.33,1,45,69,0.6521739130434783
53251,0.5044000000000001,15.55,5,54,84,0.6428571428571429
56781,0.3519,15.47,0,47,78,0.6025641025641025
60140,0.4494,15.78,1,54,75,0.72
63704,0.3264,16.17,0,46,73,0.6301369863013698
67183,0.4690000000000001,15.9,1,56,75,0.7466666666666667
70660,0.42909999999999987,14.45,2,52,79,0.6582278481012658
74015,0.3960000000000001,16.07,2,48,71,0.676056338028169
77549,0.33380000000000004,15.15,3,44,58,0.7586206896551724
80944,0.2365000000000001,15.68,1,37,60,0.6166666666666667
84594,0.4894,15.97,1,58,83,0.6987951807228916
88200,0.4387,17.78,1,52,84,0.6190476190476191
91944,0.397,15.45,2,49,68,0.7205882352941176
95406,0.3703,16.0,1,47,70,0.6714285714285714
98900,0.40700000000000003,16.32,0,52,81,0.6419753086419753
102445,0.2741,14.71,2,39,58,0.6724137931034483
105626,0.3796,14.71,1,49,63,0.7777777777777778
109084,0.43029999999999996,15.2,5,49,73,0.6712328767123288
112396,0.4523000000000001,15.87,2,53,80,0.6625
115810,0.39760000000000006,15.48,1,50,69,0.7246376811594203
119285,0.2717,15.77,4,37,54,0.6851851851851852
122894,0.4493000000000001,14.56,2,54,70,0.7714285714285715
126230,0.3537000000000001,14.94,0,48,69,0.6956521739130435
129751,0.35960000000000003,16.15,3,45,68,0.6617647058823529
133275,0.3944000000000002,14.93,2,49,75,0.6533333333333333
136678,0.3276,14.68,0,46,76,0.6052631578947368
140066,0.3938999999999999,15.21,1,50,78,0.6410256410256411
143489,0.3461999999999999,15.69,1,46,66,0.696969696969697
147040,0.38369999999999993,16.37,3,47,76,0.618421052631579
150532,0.28769999999999996,15.51,1,41,64,0.640625
154063,0.2664999999999999,16.06,2,38,57,0.6666666666666666
157607,0.5425,15.87,2,61,94,0.648936170212766
161197,0.4264999999999998,16.77,2,51,83,0.6144578313253012
164788,0.39669999999999994,16.04,2,48,85,0.5647058823529412
168171,0.3343999999999999,15.02,3,43,66,0.6515151515151515
171617,0.39490000000000003,16.15,4,47,77,0.6103896103896104
175285,0.4052000000000001,16.49,1,50,82,0.6097560975609756
178966,0.42210000000000003,16.31,1,51,94,0.5425531914893617
182549,0.46090000000000003,16.4,3,53,78,0.6794871794871795
186082,0.42279999999999995,16.41,1,52,79,0.6582278481012658
189863,0.3796000000000001,16.04,0,51,80,0.6375
193519,0.3787,16.06,2,47,76,0.618421052631579
196900,0.49650000000000005,15.53,1,58,93,0.6236559139784946
200405,0.4010999999999999,15.62,5,46,79,0.5822784810126582
203794,0.387,16.19,0,50,81,0.6172839506172839
207163,0.33449999999999996,14.75,0,47,67,0.7014925373134329
210391,0.3405,16.25,0,47,78,0.6025641025641025
213886,0.39930000000000004,15.63,4,47,76,0.618421052631579
217444,0.46940000000000004,15.31,1,56,86,0.6511627906976745
220772,0.4251,15.01,2,52,89,0.5842696629213483
224200,0.32739999999999986,15.65,1,45,71,0.6338028169014085
227548,0.3176,16.16,1,42,72,0.5833333333333334
231032,0.3597000000000001,15.53,3,45,69,0.6521739130434783
234551,0.4841,16.2,2,56,83,0.6746987951807228
238324,0.37549999999999994,15.25,2,48,85,0.5647058823529412
241632,0.28600000000000003,15.38,0,41,70,0.5857142857142857
244997,0.2596,16.04,1,39,58,0.6724137931034483
248606,0.31980000000000003,15.22,2,43,77,0.5584415584415584
251910,0.3962999999999999,16.23,3,47,76,0.618421052631579
255394,0.37390000000000007,15.8,2,47,66,0.7121212121212122
258983,0.414,15.28,2,50,75,0.6666666666666666
262631,0.3618,15.92,1,47,73,0.6438356164383562
266115,0.4303,15.56,1,52,69,0.7536231884057971
269556,0.42529999999999996,14.94,3,51,70,0.7285714285714285
272907,0.29080000000000006,15.5,0,42,70,0.6
276297,0.43800000000000006,15.99,2,54,86,0.627906976744186
279652,0.4473000000000001,15.73,4,50,105,0.47619047619047616
283184,0.413,15.55,2,51,85,0.6
286791,0.46549999999999997,16.17,2,54,72,0.75
290363,0.2458,16.22,0,39,74,0.527027027027027
293879,0.40169999999999995,15.25,1,51,75,0.68
297350,0.39239999999999986,16.26,2,49,71,0.6901408450704225
300835,0.4034000000000001,16.89,2,49,76,0.6447368421052632
304498,0.3782999999999999,15.39,1,49,71,0.6901408450704225
307941,0.31170000000000003,15.6,1,43,78,0.5512820512820513
311451,0.41240000000000016,15.75,0,52,75,0.6933333333333334
315011,0.3281,15.7,2,43,64,0.671875
318649,0.4359,16.98,3,51,78,0.6538461538461539
322088,0.4859000000000001,15.45,3,55,90,0.6111111111111112
325637,0.5087000000000002,15.47,2,58,84,0.6904761904761905
329129,0.43699999999999994,15.08,4,50,81,0.6172839506172839
332595,0.5014,16.46,2,58,87,0.6666666666666666
336080,0.42360000000000014,15.6,2,52,72,0.7222222222222222
339559,0.42149999999999993,15.67,2,49,80,0.6125
342866,0.3463999999999999,15.04,1,46,72,0.6388888888888888
346173,0.3836,16.18,3,46,77,0.5974025974025974
349459,0.4267999999999999,16.1,3,49,89,0.550561797752809
353079,0.45309999999999984,15.54,5,51,95,0.5368421052631579
356385,0.48,16.73,1,57,80,0.7125
359977,0.26930000000000004,14.98,0,40,74,0.5405405405405406
363443,0.29529999999999995,14.68,3,39,77,0.5064935064935064
366766,0.4025999999999999,16.19,3,49,74,0.6621621621621622
370136,0.3767000000000001,17.07,2,47,80,0.5875
373796,0.37849999999999995,15.43,2,48,88,0.5454545454545454
377207,0.37170000000000003,15.88,0,48,95,0.5052631578947369
380624,0.3096,15.94,1,42,79,0.5316455696202531
384152,0.27990000000000004,15.95,1,41,60,0.6833333333333333
387561,0.30060000000000003,16.22,1,42,83,0.5060240963855421
391011,0.45639999999999986,15.68,4,51,76,0.6710526315789473
394549,0.38980000000000004,15.31,4,47,71,0.6619718309859155
398071,0.4815,16.63,2,56,74,0.7567567567567568
401915,0.36029999999999995,15.37,3,44,73,0.6027397260273972
405256,0.3974000000000001,16.49,0,52,74,0.7027027027027027
408804,0.4677000000000001,17.31,3,52,91,0.5714285714285714
412549,0.30759999999999993,15.83,1,42,83,0.5060240963855421
416178,0.39390000000000003,16.05,0,50,72,0.6944444444444444
419769,0.5257999999999999,15.72,2,59,77,0.7662337662337663
423361,0.3670000000000001,16.08,2,46,70,0.6571428571428571
426965,0.3934,15.8,4,47,69,0.6811594202898551
430556,0.35590000000000005,15.75,2,46,78,0.5897435897435898
434292,0.4181,15.69,1,51,79,0.6455696202531646
437839,0.32239999999999996,15.97,2,43,67,0.6417910447761194
441571,0.3248,15.91,2,43,61,0.7049180327868853
445121,0.37529999999999986,16.16,2,47,97,0.4845360824742268
448487,0.4315999999999999,15.76,2,52,83,0.6265060240963856
451823,0.2962,15.27,2,41,68,0.6029411764705882
455337,0.35750000000000015,15.34,2,45,64,0.703125
458628,0.3246,16.62,2,43,82,0.524390243902439
462257,0.42420000000000013,15.9,1,53,87,0.6091954022988506
465580,0.45339999999999997,15.57,2,54,82,0.6585365853658537
468972,0.40269999999999995,16.06,4,47,74,0.6351351351351351
472591,0.3423,15.35,1,45,68,0.6617647058823529
475965,0.4121,14.89,0,52,79,0.6582278481012658
479308,0.4139000000000001,14.58,3,50,80,0.625
482543,0.4681,15.02,1,57,89,0.6404494382022472
485776,0.4528000000000002,16.21,1,55,83,0.6626506024096386
489264,0.43400000000000005,15.19,4,51,79,0.6455696202531646
492532,0.3760000000000001,14.96,1,49,68,0.7205882352941176
495963,0.3744999999999999,15.95,4,45,66,0.6818181818181818
499492,0.3631,15.78,2,46,74,0.6216216216216216
