timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,3.139099999999999,13.94,1,33,50,0.66
7298,4.385999999999999,15.45,1,45,73,0.6164383561643836
12356,3.909600000000001,15.38,4,40,74,0.5405405405405406
16714,3.574499999999999,14.31,2,37,59,0.6271186440677966
20725,3.5773,15.28,1,37,55,0.6727272727272727
24867,3.770000000000002,14.59,0,39,68,0.5735294117647058
28539,4.291500000000002,15.8,2,44,74,0.5945945945945946
32488,3.962800000000001,14.7,1,41,65,0.6307692307692307
35832,3.7956,14.47,3,39,62,0.6290322580645161
39190,3.6706000000000008,14.64,1,38,52,0.7307692307692307
42723,3.2743,14.82,3,34,59,0.576271186440678
46227,3.3613999999999993,14.51,1,35,54,0.6481481481481481
49805,2.7450000000000006,15.47,1,29,49,0.5918367346938775
53251,3.798900000000001,13.93,4,39,57,0.6842105263157895
56781,4.0866,13.97,2,42,64,0.65625
60140,4.0933,14.15,2,42,60,0.7
63704,3.643200000000001,14.68,0,38,61,0.6229508196721312
67183,3.9737999999999998,13.83,2,41,64,0.640625
70660,3.4520000000000004,13.95,2,36,61,0.5901639344262295
74015,4.8016000000000005,14.8,2,49,75,0.6533333333333333
77549,3.6659,13.7,2,38,54,0.7037037037037037
80944,3.552299999999999,14.26,1,37,66,0.5606060606060606
84594,4.191000000000001,15.2,2,43,60,0.7166666666666667
88200,4.395,15.4,2,45,67,0.6716417910447762
91944,3.154500000000001,14.01,1,33,58,0.5689655172413793
95406,3.8802999999999988,14.64,1,40,58,0.6896551724137931
98900,4.371199999999999,14.53,1,45,58,0.7758620689655172
102445,3.3295,13.85,0,35,51,0.6862745098039216
105626,3.9797000000000007,13.79,2,41,61,0.6721311475409836
109084,3.4508000000000005,13.43,2,36,54,0.6666666666666666
112396,3.3989999999999996,14.33,3,35,54,0.6481481481481481
115810,4.2884,14.01,1,44,62,0.7096774193548387
119285,3.1674999999999995,13.9,3,33,49,0.673469387755102
122894,3.3889999999999993,14.36,3,35,57,0.6140350877192983
126230,3.5422000000000007,13.21,1,37,48,0.7708333333333334
129751,3.4885,15.03,3,36,64,0.5625
133275,3.6773999999999982,14.01,2,38,61,0.6229508196721312
136678,3.2322,14.62,0,34,59,0.576271186440678
140066,3.778699999999999,13.9,2,39,62,0.6290322580645161
143489,3.7662000000000004,13.54,2,39,53,0.7358490566037735
147040,3.682799999999999,14.89,2,38,63,0.6031746031746031
150532,2.4341000000000004,13.6,1,26,36,0.7222222222222222
154063,3.0670000000000006,14.73,3,32,59,0.5423728813559322
157607,4.5950999999999995,14.48,2,47,80,0.5875
161197,3.7846,15.33,2,39,71,0.5492957746478874
165005,4.191200000000002,15.29,1,43,69,0.6231884057971014
168382,3.361500000000001,14.03,2,35,61,0.5737704918032787
171847,3.5433000000000003,14.05,0,37,53,0.6981132075471698
175504,3.464600000000002,14.64,1,36,57,0.631578947368421
179065,4.0829,15.86,2,42,76,0.5526315789473685
182660,3.589699999999999,13.97,3,37,54,0.6851851851851852
185984,5.2866,15.5,0,54,84,0.6428571428571429
189682,4.166599999999999,14.74,2,43,69,0.6231884057971014
193340,2.9446000000000003,13.83,0,31,56,0.5535714285714286
196773,4.0773,14.07,2,42,69,0.6086956521739131
200135,3.1668000000000003,14.64,1,33,57,0.5789473684210527
203790,3.7763,14.08,1,39,66,0.5909090909090909
207066,3.4377000000000013,13.49,2,36,61,0.5901639344262295
210285,3.6692,15.18,1,38,60,0.6333333333333333
213734,3.290099999999999,14.14,5,34,54,0.6296296296296297
217247,3.860700000000001,13.39,1,40,58,0.6896551724137931
220753,4.4693,13.43,1,46,67,0.6865671641791045
224219,4.464500000000002,13.64,1,46,67,0.6865671641791045
227652,3.676199999999999,14.65,0,38,64,0.59375
231230,4.0853,14.76,2,42,69,0.6086956521739131
234650,4.187100000000001,14.37,1,43,74,0.581081081081081
238303,4.271400000000002,13.93,1,44,63,0.6984126984126984
241703,4.381999999999999,14.63,1,45,66,0.6818181818181818
245112,3.6427000000000014,14.68,0,38,48,0.7916666666666666
248591,3.3632,14.36,1,35,48,0.7291666666666666
252004,3.571700000000001,14.04,2,37,56,0.6607142857142857
255640,2.9559,14.12,1,31,44,0.7045454545454546
259196,3.770499999999999,13.84,2,39,55,0.7090909090909091
262787,3.375199999999999,14.74,1,35,63,0.5555555555555556
266390,3.9063000000000003,14.05,3,40,59,0.6779661016949152
269852,3.432399999999999,13.53,0,36,57,0.631578947368421
273300,3.569000000000001,14.41,2,37,53,0.6981132075471698
276737,4.4858,14.69,2,46,66,0.696969696969697
280320,3.813400000000001,14.25,4,39,70,0.5571428571428572
283822,3.4757,14.88,2,36,66,0.5454545454545454
287354,4.013199999999999,14.86,4,41,49,0.8367346938775511
290932,3.222400000000001,14.79,0,34,56,0.6071428571428571
294503,3.765599999999998,14.1,1,39,58,0.6724137931034483
297839,4.0745000000000005,14.94,2,42,61,0.6885245901639344
301396,3.6631999999999993,15.69,1,38,53,0.7169811320754716
