timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,0.22409999999999963,22.04,5,91,148,0.6148648648648649
7272,0.2658999999999996,22.17,9,90,162,0.5555555555555556
12239,0.2569999999999996,23.07,9,87,172,0.5058139534883721
16805,0.21719999999999964,23.04,6,86,174,0.4942528735632184
20807,0.1977999999999997,24.24,3,90,158,0.569620253164557
24874,0.25309999999999966,21.03,8,89,146,0.6095890410958904
28556,0.1947999999999996,20.54,1,95,157,0.6050955414012739
32365,0.19029999999999966,20.82,2,92,164,0.5609756097560976
35770,0.22849999999999965,21.65,5,92,168,0.5476190476190477
39138,0.21519999999999967,22.75,5,88,169,0.5207100591715976
42596,0.20859999999999967,21.78,3,93,175,0.5314285714285715
46219,0.22029999999999966,21.56,6,88,169,0.5207100591715976
49767,0.19489999999999966,23.5,2,93,197,0.4720812182741117
53401,0.20659999999999965,21.2,3,93,175,0.5314285714285715
56808,0.22639999999999966,22.09,6,89,153,0.5816993464052288
60210,0.2374999999999996,21.55,6,91,168,0.5416666666666666
63883,0.23399999999999962,21.69,6,90,148,0.6081081081081081
67501,0.2060999999999997,21.69,4,89,181,0.49171270718232046
70880,0.20309999999999967,22.87,5,85,181,0.4696132596685083
74047,0.20849999999999969,21.12,4,91,165,0.5515151515151515
77355,0.21139999999999964,22.16,4,91,187,0.48663101604278075
80701,0.21079999999999963,22.83,5,88,178,0.4943820224719101
84205,0.2544999999999996,24.13,8,89,189,0.4708994708994709
87786,0.2344999999999997,24.53,8,84,168,0.5
91608,0.2644999999999997,22.21,11,83,175,0.4742857142857143
95113,0.21599999999999966,23.32,4,91,223,0.4080717488789238
98780,0.23239999999999975,24.57,7,86,177,0.4858757062146893
102308,0.23979999999999965,24.65,9,83,173,0.4797687861271676
105675,0.23169999999999966,21.71,6,90,188,0.4787234042553192
109124,0.24959999999999966,23.25,8,89,190,0.46842105263157896
112641,0.2703999999999996,24.29,10,87,213,0.4084507042253521
116182,0.25349999999999967,22.94,10,82,182,0.45054945054945056
119651,0.24749999999999958,23.68,7,91,169,0.5384615384615384
123109,0.2239999999999997,23.55,6,87,199,0.4371859296482412
126773,0.22519999999999968,21.3,5,92,179,0.5139664804469274
130258,0.23119999999999963,23.41,8,84,149,0.5637583892617449
133877,0.24569999999999972,21.66,8,87,164,0.5304878048780488
137214,0.24579999999999966,23.94,8,87,214,0.40654205607476634
140567,0.2500999999999996,21.92,9,86,196,0.4387755102040816
144048,0.25189999999999974,24.04,9,85,187,0.45454545454545453
147641,0.20559999999999964,22.97,4,89,173,0.5144508670520231
151009,0.19489999999999974,23.9,3,90,181,0.4972375690607735
154691,0.24679999999999958,22.55,8,88,193,0.45595854922279794
158158,0.19629999999999975,22.39,3,90,189,0.47619047619047616
161795,0.1980999999999997,22.81,4,87,195,0.4461538461538462
165432,0.25009999999999966,23.61,9,85,166,0.5120481927710844
169076,0.21059999999999962,23.97,3,93,184,0.5054347826086957
172384,0.22419999999999962,22.65,5,91,164,0.5548780487804879
176034,0.26699999999999957,23.34,10,86,199,0.4321608040201005
179672,0.20259999999999959,22.82,3,91,211,0.4312796208530806
183423,0.24329999999999966,21.59,7,89,172,0.5174418604651163
186987,0.2529999999999996,22.84,7,92,192,0.4791666666666667
190505,0.18939999999999965,22.88,4,86,174,0.4942528735632184
194144,0.19959999999999967,21.65,5,85,182,0.46703296703296704
197571,0.20429999999999968,22.13,5,86,172,0.5
201092,0.21169999999999967,24.25,4,90,220,0.4090909090909091
204561,0.23309999999999959,21.9,5,93,172,0.5406976744186046
208002,0.23429999999999968,24.82,8,84,181,0.46408839779005523
211633,0.2424999999999997,25.82,8,86,225,0.38222222222222224
215472,0.26829999999999965,23.65,13,79,208,0.3798076923076923
218871,0.2147999999999997,23.93,6,87,183,0.47540983606557374
222192,0.19829999999999967,24.37,3,91,204,0.44607843137254904
225730,0.2326999999999996,24.37,7,87,217,0.4009216589861751
229231,0.2453999999999997,22.91,9,85,184,0.46195652173913043
232895,0.23529999999999962,23.04,7,87,189,0.4603174603174603
236635,0.22919999999999963,23.71,7,86,249,0.3453815261044177
240377,0.2608999999999996,21.99,10,85,180,0.4722222222222222
243873,0.23199999999999965,22.16,7,86,200,0.43
247381,0.1990999999999997,22.68,3,91,184,0.4945652173913043
250936,0.2811999999999996,23.72,13,81,209,0.3875598086124402
254380,0.2684999999999997,22.42,10,87,190,0.45789473684210524
257941,0.18609999999999968,23.94,3,88,199,0.44221105527638194
261569,0.21419999999999956,23.45,7,83,163,0.50920245398773
265175,0.22489999999999963,23.26,5,91,193,0.47150259067357514
268949,0.23129999999999967,22.69,5,93,183,0.5081967213114754
272316,0.2673999999999996,22.5,10,87,196,0.44387755102040816
275651,0.26439999999999964,24.22,10,86,192,0.4479166666666667
279143,0.23509999999999956,24.29,6,91,192,0.4739583333333333
282811,0.2486999999999996,21.92,9,84,210,0.4
286438,0.22139999999999968,23.39,5,90,232,0.3879310344827586
290096,0.2673999999999996,23.55,10,86,210,0.4095238095238095
293917,0.2247999999999996,25.97,8,82,208,0.3942307692307692
297520,0.2289999999999996,23.71,6,88,219,0.4018264840182648
300775,0.22599999999999962,24.94,8,82,202,0.40594059405940597
304315,0.2411999999999996,23.15,7,89,206,0.4320388349514563
308146,0.27969999999999956,23.79,11,87,216,0.4027777777777778
311937,0.24099999999999966,24.56,11,78,181,0.430939226519337
315460,0.23839999999999958,22.75,7,89,185,0.4810810810810811
319132,0.25159999999999966,22.71,10,83,213,0.38967136150234744
322758,0.21979999999999955,24.0,5,90,197,0.45685279187817257
326404,0.22509999999999966,23.66,6,88,220,0.4
329890,0.20339999999999972,24.21,5,86,216,0.39814814814814814
333427,0.24689999999999965,24.55,10,81,210,0.38571428571428573
336886,0.22039999999999962,23.02,5,90,219,0.410958904109589
340459,0.20399999999999965,25.01,5,86,230,0.3739130434782609
344234,0.23049999999999962,22.44,5,93,185,0.5027027027027027
347693,0.21719999999999967,24.6,6,86,229,0.37554585152838427
351288,0.20519999999999963,24.56,4,89,182,0.489010989010989
354834,0.24699999999999964,25.42,10,81,246,0.32926829268292684
358447,0.22589999999999966,21.7,5,91,173,0.5260115606936416
361988,0.24749999999999972,24.31,9,86,232,0.3706896551724138
365775,0.21719999999999964,22.45,5,90,198,0.45454545454545453
369339,0.22599999999999962,23.13,6,88,200,0.44
372864,0.23329999999999973,24.92,8,84,210,0.4
376453,0.23089999999999972,23.34,7,85,206,0.41262135922330095
380323,0.2475999999999997,23.36,10,82,205,0.4
383843,0.20359999999999967,24.4,6,84,218,0.3853211009174312
387606,0.25529999999999964,22.55,9,86,222,0.38738738738738737
391229,0.26629999999999965,23.63,10,86,216,0.39814814814814814
394805,0.21549999999999966,24.28,6,86,212,0.4056603773584906
398522,0.27789999999999954,23.99,11,86,201,0.42786069651741293
402173,0.28269999999999956,23.66,13,81,200,0.405
405679,0.26059999999999955,21.64,9,88,196,0.4489795918367347
409488,0.1990999999999997,23.87,5,85,203,0.4187192118226601
413120,0.27939999999999965,23.39,12,84,216,0.3888888888888889
416701,0.2186999999999997,23.5,5,89,191,0.46596858638743455
420527,0.2766999999999996,25.68,13,80,242,0.3305785123966942
424199,0.2393999999999996,23.16,7,89,221,0.40271493212669685
427762,0.22419999999999965,23.09,8,82,226,0.36283185840707965
431338,0.2098999999999997,25.48,5,86,260,0.33076923076923076
434929,0.27139999999999964,22.91,11,85,202,0.4207920792079208
438633,0.19809999999999967,25.43,2,93,261,0.3563218390804598
442170,0.24549999999999955,24.07,8,87,225,0.38666666666666666
445869,0.2549999999999996,24.46,9,87,189,0.4603174603174603
449746,0.2392999999999996,25.39,7,89,203,0.43842364532019706
453666,0.21429999999999969,23.25,7,83,201,0.4129353233830846
457108,0.2396999999999997,25.29,9,82,227,0.36123348017621143
460906,0.23409999999999967,23.61,7,87,243,0.35802469135802467
464273,0.23569999999999966,25.59,8,85,230,0.3695652173913043
467834,0.23449999999999974,24.28,8,83,206,0.4029126213592233
471564,0.18739999999999962,23.17,3,89,182,0.489010989010989
475121,0.21809999999999963,23.8,6,86,212,0.4056603773584906
478663,0.2282999999999997,24.1,8,84,240,0.35
482416,0.18209999999999973,25.53,3,86,232,0.3706896551724138
485889,0.26139999999999974,25.04,13,76,222,0.34234234234234234
489458,0.2246999999999996,23.67,6,87,213,0.4084507042253521
492918,0.21689999999999965,23.49,5,88,188,0.46808510638297873
496410,0.23909999999999973,23.84,9,83,183,0.453551912568306
499873,0.22169999999999968,24.12,6,87,215,0.4046511627906977
503218,0.1977999999999997,25.13,3,89,196,0.45408163265306123
506679,0.26549999999999957,23.74,11,83,212,0.3915094339622642
510403,0.22389999999999963,24.54,7,84,232,0.3620689655172414
514171,0.2118999999999997,24.59,5,87,223,0.3901345291479821
517937,0.21999999999999964,24.72,8,80,222,0.36036036036036034
521571,0.27019999999999955,25.44,11,84,261,0.3218390804597701
525321,0.2227999999999997,26.84,8,81,251,0.32270916334661354
529087,0.21819999999999967,23.82,6,85,224,0.3794642857142857
532897,0.23599999999999963,24.12,8,85,218,0.38990825688073394
536777,0.2243999999999996,24.26,6,88,241,0.3651452282157676
540353,0.21809999999999966,23.87,4,92,231,0.39826839826839827
544055,0.24609999999999954,25.07,9,84,235,0.3574468085106383
547939,0.22799999999999962,23.59,6,89,224,0.39732142857142855
551649,0.21359999999999968,25.87,6,84,214,0.3925233644859813
555201,0.2309999999999998,24.82,9,80,239,0.33472803347280333
558746,0.2445999999999996,23.92,10,82,224,0.36607142857142855
562283,0.28409999999999963,24.96,14,79,237,0.3333333333333333
565969,0.2239999999999997,24.05,7,84,239,0.3514644351464435
569500,0.23509999999999967,24.51,7,87,285,0.30526315789473685
573283,0.2278999999999996,22.69,6,89,215,0.413953488372093
576978,0.24399999999999966,24.53,10,81,223,0.3632286995515695
580631,0.24409999999999965,24.26,9,84,210,0.4
584389,0.28259999999999963,25.57,13,81,245,0.3306122448979592
588037,0.25699999999999973,24.19,10,84,220,0.38181818181818183
591521,0.21909999999999966,25.54,7,83,242,0.34297520661157027
595100,0.22239999999999965,24.81,7,85,266,0.31954887218045114
598981,0.21809999999999982,24.82,9,78,248,0.31451612903225806
602432,0.22549999999999962,24.22,6,90,223,0.40358744394618834
606056,0.24659999999999968,23.95,10,81,214,0.37850467289719625
609976,0.19989999999999966,25.7,4,87,240,0.3625
613790,0.1995999999999997,22.99,3,91,204,0.44607843137254904
617303,0.2529999999999996,24.81,9,86,247,0.3481781376518219
620950,0.24989999999999968,23.55,10,82,199,0.4120603015075377
624717,0.2315999999999996,26.05,8,83,185,0.4486486486486487
628442,0.20939999999999967,25.58,7,81,216,0.375
632312,0.2277999999999996,24.56,6,88,233,0.3776824034334764
636021,0.27769999999999967,25.3,13,80,276,0.2898550724637681
639908,0.2594999999999997,26.93,13,75,260,0.28846153846153844
643580,0.22449999999999964,25.35,7,85,237,0.35864978902953587
647462,0.2552999999999996,23.3,10,85,228,0.37280701754385964
651243,0.24909999999999957,23.29,10,83,222,0.3738738738738739
654986,0.22559999999999966,25.1,9,79,234,0.33760683760683763
658729,0.24029999999999963,23.62,9,84,233,0.3605150214592275
662253,0.24849999999999967,24.17,9,84,225,0.37333333333333335
666011,0.25259999999999955,24.0,7,92,256,0.359375
669771,0.2542999999999997,25.59,11,80,232,0.3448275862068966
673038,0.2747999999999997,24.86,14,75,253,0.2964426877470356
676696,0.2407999999999996,23.53,8,86,191,0.450261780104712
680431,0.2287999999999996,24.95,8,83,242,0.34297520661157027
684266,0.20629999999999962,24.82,6,83,255,0.3254901960784314
687966,0.19969999999999963,26.13,7,77,264,0.2916666666666667
691827,0.2543999999999997,24.84,11,80,204,0.39215686274509803
695568,0.2032999999999997,25.69,4,89,269,0.3308550185873606
699477,0.24969999999999964,24.67,11,79,244,0.3237704918032787
703236,0.22139999999999968,25.83,7,83,248,0.3346774193548387
706977,0.2290999999999996,25.81,9,80,243,0.3292181069958848
710786,0.25589999999999963,24.46,9,86,237,0.3628691983122363
714525,0.2259999999999996,24.59,7,86,227,0.3788546255506608
718345,0.20529999999999965,24.9,6,84,273,0.3076923076923077
722054,0.2108999999999998,25.67,9,76,203,0.37438423645320196
