timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
7272,-0.02140000000000001,15.93,0,49,72,0.6805555555555556
12239,0.010300000000000014,15.67,2,52,75,0.6933333333333334
16805,0.0036999999999999967,16.16,2,48,75,0.64
20807,0.0031000000000000016,17.19,2,47,90,0.5222222222222223
24874,-0.0003999999999999976,15.63,2,48,76,0.631578947368421
28556,0.03660000000000003,16.76,3,52,86,0.6046511627906976
32365,0.013500000000000003,15.83,1,55,74,0.7432432432432432
35770,0.022000000000000033,14.69,3,48,77,0.6233766233766234
39138,0.027200000000000044,15.95,2,54,89,0.6067415730337079
42596,-0.017100000000000008,16.0,0,49,83,0.5903614457831325
46219,-0.03849999999999998,16.15,1,41,85,0.4823529411764706
49767,-0.023400000000000004,16.56,1,47,78,0.6025641025641025
53401,0.08250000000000003,15.93,7,51,84,0.6071428571428571
56808,-0.006300000000000003,15.6,0,51,89,0.5730337078651685
60210,0.022500000000000044,16.41,2,51,79,0.6455696202531646
63883,-0.02929999999999998,16.5,0,48,76,0.631578947368421
67501,0.032800000000000024,15.84,1,59,77,0.7662337662337663
70880,0.0023000000000000017,14.5,1,52,81,0.6419753086419753
74047,0.004299999999999998,16.65,2,48,76,0.631578947368421
77355,-0.03689999999999996,15.45,2,42,70,0.6
80701,-0.04410000000000001,15.81,1,40,71,0.5633802816901409
84205,0.013000000000000001,16.14,1,55,82,0.6707317073170732
87786,0.0253,17.92,2,48,87,0.5517241379310345
91608,0.009399999999999997,15.39,1,51,80,0.6375
95113,-0.010700000000000001,16.73,1,45,77,0.5844155844155844
98780,-0.016299999999999995,16.4,0,51,81,0.6296296296296297
102308,-0.03179999999999998,15.4,3,37,67,0.5522388059701493
105675,0.016300000000000002,15.37,2,51,74,0.6891891891891891
109124,0.019500000000000003,15.83,3,49,92,0.532608695652174
112641,0.026700000000000022,16.22,4,46,83,0.5542168674698795
116182,-0.010300000000000002,16.08,2,41,79,0.5189873417721519
119651,-0.0034999999999999827,16.46,4,40,74,0.5405405405405406
123109,0.031500000000000056,15.17,3,54,83,0.6506024096385542
126773,-0.05249999999999995,15.94,0,42,89,0.47191011235955055
130258,0.01279999999999998,16.43,3,50,72,0.6944444444444444
133877,0.014999999999999998,15.95,2,50,87,0.5747126436781609
137214,-0.03059999999999996,15.01,0,44,80,0.55
140567,-0.0144,15.51,1,49,80,0.6125
144048,-0.02649999999999994,16.17,1,43,71,0.6056338028169014
147641,-0.008,16.2,3,41,71,0.5774647887323944
151009,-0.02229999999999999,15.83,3,40,65,0.6153846153846154
154691,-0.011500000000000005,16.01,2,43,67,0.6417910447761194
158158,0.026000000000000027,16.32,2,52,100,0.52
161795,0.03090000000000005,17.56,2,54,110,0.4909090909090909
165432,0.012699999999999998,16.49,2,46,91,0.5054945054945055
169076,-0.010600000000000007,15.35,3,42,70,0.6
172384,0.029900000000000003,16.84,6,42,93,0.45161290322580644
176034,0.021100000000000008,17.28,1,54,93,0.5806451612903226
179672,0.03220000000000001,17.12,1,55,103,0.5339805825242718
183423,0.04160000000000002,16.73,4,51,94,0.5425531914893617
186987,0.028400000000000022,16.82,1,56,93,0.6021505376344086
190505,-0.0311,16.05,1,48,86,0.5581395348837209
194144,0.022099999999999998,15.78,3,51,88,0.5795454545454546
197571,0.007599999999999998,16.09,1,48,89,0.5393258426966292
201092,0.0333,16.16,5,46,91,0.5054945054945055
204561,0.002299999999999993,16.14,0,53,89,0.5955056179775281
208002,-0.029299999999999996,15.27,0,48,74,0.6486486486486487
211633,-0.05279999999999998,16.55,1,40,84,0.47619047619047616
215472,0.03130000000000002,16.56,4,46,88,0.5227272727272727
218871,0.002999999999999993,15.48,0,55,92,0.5978260869565217
222192,0.004199999999999987,16.29,3,47,113,0.415929203539823
225730,-0.06009999999999998,16.63,2,37,83,0.4457831325301205
229231,0.028100000000000045,16.32,4,43,89,0.48314606741573035
232895,0.02009999999999999,16.52,5,43,94,0.4574468085106383
236635,0.03280000000000003,17.03,2,54,96,0.5625
240377,-0.010700000000000003,16.16,2,45,99,0.45454545454545453
243873,-0.0010999999999999938,16.71,3,44,93,0.4731182795698925
247381,-0.07259999999999998,16.53,0,38,73,0.5205479452054794
250936,0.008900000000000007,16.63,2,49,97,0.5051546391752577
254380,0.031500000000000056,16.1,4,48,86,0.5581395348837209
257941,-0.012400000000000001,16.03,2,43,73,0.589041095890411
261569,0.018600000000000002,16.21,2,50,88,0.5681818181818182
265175,-0.0031999999999999997,16.74,1,50,92,0.5434782608695652
268949,0.02770000000000001,16.32,3,50,91,0.5494505494505495
272316,0.028200000000000024,15.83,4,51,87,0.5862068965517241
275651,-0.053499999999999964,16.38,0,38,74,0.5135135135135135
279143,0.03670000000000001,16.83,2,59,111,0.5315315315315315
282811,0.06410000000000003,16.37,5,49,106,0.46226415094339623
286438,-0.013800000000000008,15.9,2,45,91,0.4945054945054945
290096,0.03360000000000006,17.18,2,52,90,0.5777777777777777
293917,-0.03829999999999996,17.27,0,41,99,0.41414141414141414
297520,0.009200000000000024,16.25,2,50,88,0.5681818181818182
300775,0.029900000000000048,17.02,4,48,86,0.5581395348837209
304315,0.029700000000000008,17.77,2,53,106,0.5
308146,0.0012000000000000027,16.91,1,52,105,0.49523809523809526
311937,0.013499999999999991,16.15,2,51,89,0.5730337078651685
315460,-0.022999999999999986,17.33,0,46,92,0.5
319132,-0.02279999999999998,16.54,2,38,75,0.5066666666666667
322758,0.02400000000000001,17.58,3,49,106,0.46226415094339623
326404,0.06810000000000004,15.98,4,55,112,0.49107142857142855
329890,0.036699999999999997,16.22,3,51,83,0.6144578313253012
333427,0.027900000000000046,16.56,3,49,106,0.46226415094339623
336886,0.045200000000000067,17.44,3,55,95,0.5789473684210527
340459,-0.0045000000000000005,16.08,3,43,79,0.5443037974683544
344234,0.05990000000000002,17.37,3,52,120,0.43333333333333335
347693,-0.010500000000000002,15.83,2,45,81,0.5555555555555556
351288,0.029200000000000014,16.99,5,43,91,0.4725274725274725
354834,0.03380000000000003,16.71,4,44,104,0.4230769230769231
358447,0.02489999999999999,16.59,5,47,92,0.5108695652173914
361988,0.024700000000000027,17.45,2,51,96,0.53125
365775,-0.02160000000000001,15.65,1,46,92,0.5
369339,-0.002299999999999999,16.26,3,41,91,0.45054945054945056
372864,0.03290000000000001,16.74,5,46,93,0.4946236559139785
376453,0.03970000000000003,17.49,4,49,102,0.4803921568627451
380323,-0.007399999999999985,16.33,2,45,125,0.36
383843,0.028900000000000006,17.73,4,44,108,0.4074074074074074
387606,-0.05609999999999995,16.54,0,39,86,0.45348837209302323
391229,-0.007400000000000002,17.84,1,46,85,0.5411764705882353
394805,0.010599999999999993,16.47,4,41,97,0.422680412371134
