timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
120,-0.09490000000000003,13.94,1,33,50,0.66
7272,-0.030399999999999993,15.45,1,44,73,0.6027397260273972
12239,-0.04799999999999997,15.28,2,38,60,0.6333333333333333
16805,-0.06059999999999999,14.43,2,35,57,0.6140350877192983
20807,-0.041799999999999976,15.22,1,39,58,0.6724137931034483
24874,-0.0796,14.53,0,33,63,0.5238095238095238
28556,-0.030999999999999958,15.8,2,41,77,0.5324675324675324
32365,-0.04469999999999994,15.04,1,41,75,0.5466666666666666
35770,-0.020700000000000007,14.51,3,42,69,0.6086956521739131
39138,-0.051299999999999964,14.32,1,37,52,0.7115384615384616
42596,-0.06509999999999996,14.1,1,36,60,0.6
46219,-0.05529999999999994,14.17,2,37,67,0.5522388059701493
49767,-0.0782,15.73,1,34,64,0.53125
53401,-0.044999999999999964,14.87,4,31,56,0.5535714285714286
56808,-0.039299999999999995,14.21,2,38,69,0.5507246376811594
60210,-0.05429999999999999,14.71,2,35,55,0.6363636363636364
63883,-0.057899999999999945,15.56,0,42,62,0.6774193548387096
67501,-0.02399999999999999,14.19,1,47,67,0.7014925373134329
70880,-0.09230000000000002,14.25,1,33,65,0.5076923076923077
74047,-0.04149999999999996,14.54,2,39,66,0.5909090909090909
77355,-0.09420000000000002,13.88,1,33,54,0.6111111111111112
80701,-0.10559999999999999,14.14,0,33,60,0.55
84205,-0.059800000000000006,14.62,1,39,65,0.6
87786,-0.050399999999999966,15.42,0,41,69,0.5942028985507246
91608,-0.09570000000000002,13.77,2,25,42,0.5952380952380952
95113,-0.07649999999999997,14.64,0,37,55,0.6727272727272727
98780,-0.056199999999999944,15.01,3,37,63,0.5873015873015873
102308,-0.07509999999999994,14.11,1,35,62,0.5645161290322581
105675,-0.050799999999999956,14.07,4,31,48,0.6458333333333334
109124,-0.08109999999999998,14.55,1,38,55,0.6909090909090909
112641,-0.02789999999999999,14.05,5,30,59,0.5084745762711864
116182,-0.03959999999999993,14.29,1,39,69,0.5652173913043478
119651,-0.04779999999999996,13.94,3,38,68,0.5588235294117647
123109,-0.05499999999999998,14.58,2,35,67,0.5223880597014925
126773,-0.06059999999999999,14.21,1,40,63,0.6349206349206349
130258,-0.036599999999999966,15.19,2,41,60,0.6833333333333333
133877,-0.047699999999999985,14.31,2,39,60,0.65
137214,-0.04169999999999994,14.96,3,37,69,0.5362318840579711
140567,-0.0579,14.32,1,36,72,0.5
144048,-0.06449999999999996,14.0,1,38,55,0.6909090909090909
147641,-0.02909999999999997,14.77,4,37,69,0.5362318840579711
151009,-0.11110000000000002,13.7,2,25,41,0.6097560975609756
154691,-0.08849999999999998,14.27,3,29,54,0.5370370370370371
158158,-0.04619999999999996,14.44,2,37,68,0.5441176470588235
161795,-0.09539999999999997,14.91,0,30,73,0.410958904109589
165432,-0.043299999999999964,14.97,1,39,74,0.527027027027027
169076,-0.07339999999999998,14.55,2,32,64,0.5
172384,-0.06549999999999997,15.19,0,39,69,0.5652173913043478
176034,-0.05519999999999997,15.3,2,33,77,0.42857142857142855
179672,-0.04039999999999996,15.96,3,36,77,0.4675324675324675
183423,-0.039899999999999984,14.88,2,39,64,0.609375
186987,-0.03309999999999998,14.74,0,49,71,0.6901408450704225
190505,-0.08189999999999997,15.04,1,38,74,0.5135135135135135
194144,-0.05969999999999997,14.38,2,31,64,0.484375
197571,-0.030699999999999998,14.71,2,39,92,0.42391304347826086
201092,-0.08259999999999997,14.95,1,31,61,0.5081967213114754
204561,-0.06789999999999999,14.13,1,36,70,0.5142857142857142
208002,-0.07770000000000002,13.71,2,35,68,0.5147058823529411
211633,-0.051299999999999985,15.4,2,35,59,0.5932203389830508
215472,-0.058599999999999985,14.69,4,31,63,0.49206349206349204
218871,-0.07439999999999998,14.02,2,34,65,0.5230769230769231
222192,-0.04439999999999997,14.07,1,42,77,0.5454545454545454
225730,-0.04569999999999994,14.26,2,40,78,0.5128205128205128
229231,-0.04879999999999999,15.09,2,31,68,0.45588235294117646
232895,-0.05479999999999997,14.83,4,30,73,0.410958904109589
236635,-0.029299999999999975,14.9,1,41,73,0.5616438356164384
240377,-0.04289999999999994,14.41,2,40,73,0.547945205479452
243873,-0.08449999999999998,14.69,1,32,52,0.6153846153846154
247381,-0.09480000000000002,14.69,0,34,63,0.5396825396825397
250936,-0.07709999999999996,14.23,1,35,56,0.625
254380,-0.10130000000000003,14.05,1,31,52,0.5961538461538461
257941,-0.06749999999999998,14.53,2,30,64,0.46875
261569,-0.05309999999999997,14.64,4,32,56,0.5714285714285714
265175,-0.06999999999999998,14.35,1,36,73,0.4931506849315068
268949,-0.029199999999999983,14.77,3,35,64,0.546875
272316,-0.08890000000000002,14.06,1,35,60,0.5833333333333334
275651,-0.11049999999999999,14.36,0,28,55,0.509090909090909
279143,-0.07629999999999995,15.41,0,42,77,0.5454545454545454
282811,-0.010699999999999994,15.54,3,39,79,0.4936708860759494
286438,-0.06319999999999996,14.92,2,30,61,0.4918032786885246
290096,-0.03839999999999997,15.17,0,44,70,0.6285714285714286
293917,-0.08659999999999998,15.33,1,33,68,0.4852941176470588
297520,-0.03449999999999999,13.97,3,37,72,0.5138888888888888
300775,-0.05050000000000001,14.53,2,38,55,0.6909090909090909
304315,-0.061099999999999995,16.28,1,33,66,0.5
308146,-0.08789999999999998,14.74,1,36,58,0.6206896551724138
311937,-0.05429999999999998,14.95,4,29,63,0.4603174603174603
315460,-0.05789999999999999,14.67,1,38,70,0.5428571428571428
319132,-0.057999999999999954,14.85,0,38,66,0.5757575757575758
322758,-0.0483,14.59,2,37,77,0.4805194805194805
326404,-0.007400000000000002,14.38,4,38,85,0.4470588235294118
329890,-0.03949999999999996,15.19,1,39,83,0.46987951807228917
333427,-0.005899999999999985,14.34,4,37,81,0.4567901234567901
336886,-0.03609999999999999,15.09,4,34,68,0.5
340459,-0.09790000000000003,14.54,1,25,63,0.3968253968253968
344234,-0.061099999999999925,14.96,0,41,74,0.5540540540540541
347693,-0.0851,13.88,2,32,61,0.5245901639344263
351288,-0.042399999999999986,14.88,3,30,79,0.379746835443038
354834,-0.027200000000000005,15.5,1,37,81,0.4567901234567901
358447,-0.02879999999999995,15.13,2,41,81,0.5061728395061729
361988,-0.08339999999999996,15.56,0,32,69,0.463768115942029
365775,-0.04239999999999999,14.94,3,31,66,0.4696969696969697
369339,-0.07349999999999995,14.42,3,27,68,0.39705882352941174
372864,-0.029999999999999978,14.17,4,41,70,0.5857142857142857
376453,-0.0271,14.89,4,35,61,0.5737704918032787
380323,-0.07329999999999998,14.57,2,32,79,0.4050632911392405
383843,-0.08249999999999996,14.66,2,26,75,0.3466666666666667
387606,-0.04949999999999998,15.39,1,36,72,0.5
391229,-0.11160000000000007,15.16,0,27,49,0.5510204081632653
394805,-0.08059999999999996,14.95,1,35,92,0.3804347826086957
398522,-0.019299999999999987,15.82,3,39,93,0.41935483870967744
402173,-0.07809999999999996,13.87,4,28,47,0.5957446808510638
405679,-0.06599999999999998,15.4,1,31,71,0.43661971830985913
409488,-0.06179999999999999,14.67,4,26,58,0.4482758620689655
413120,-0.06579999999999994,14.46,0,42,68,0.6176470588235294
416701,-0.0321,15.58,2,38,68,0.5588235294117647
420527,-0.09969999999999996,14.91,0,33,82,0.4024390243902439
424199,-0.09990000000000006,14.15,0,26,67,0.3880597014925373
427762,-0.038099999999999995,15.33,2,38,65,0.5846153846153846
431338,-0.0435,14.55,4,34,78,0.4358974358974359
434929,-0.05099999999999999,14.53,3,32,72,0.4444444444444444
438633,-0.07079999999999996,14.79,1,38,76,0.5
442170,-0.02669999999999996,14.46,3,37,71,0.5211267605633803
445869,-0.09700000000000011,15.52,2,25,53,0.4716981132075472
449746,-0.059899999999999974,15.75,1,38,86,0.4418604651162791
453666,-0.10810000000000007,14.58,2,23,65,0.35384615384615387
457108,-0.04169999999999997,15.6,1,39,82,0.47560975609756095
460906,-0.11620000000000001,14.93,0,23,50,0.46
464273,-0.05259999999999999,15.11,3,30,73,0.410958904109589
467834,-0.1139,14.76,3,23,47,0.48936170212765956
471564,-0.10610000000000001,14.68,0,27,62,0.43548387096774194
475121,-0.010199999999999987,14.54,3,44,80,0.55
478663,-0.08839999999999996,15.53,1,28,76,0.3684210526315789
482416,-0.0599,15.09,1,36,60,0.6
485889,-0.037099999999999994,14.27,3,34,72,0.4722222222222222
489458,-0.0034000000000000002,13.47,4,43,79,0.5443037974683544
492918,-0.055799999999999954,13.92,2,37,70,0.5285714285714286
496410,-0.05839999999999999,14.87,2,34,79,0.43037974683544306
499873,-0.03209999999999997,13.92,4,35,64,0.546875
503218,-0.0889,14.64,2,27,83,0.3253012048192771
506679,-0.0292,16.17,4,31,74,0.4189189189189189
510403,-0.08249999999999996,14.87,2,26,57,0.45614035087719296
514171,-0.08620000000000003,15.12,1,32,64,0.5
517937,-0.006300000000000005,15.43,3,43,90,0.4777777777777778
521571,-0.06269999999999996,14.66,2,31,74,0.4189189189189189
525321,-0.06179999999999995,14.73,4,27,54,0.5
529087,-0.04209999999999997,14.99,2,39,77,0.5064935064935064
532897,-0.03779999999999999,14.8,1,41,102,0.4019607843137255
536777,-0.018299999999999993,13.91,3,40,68,0.5882352941176471
540353,-0.08299999999999999,14.64,1,30,77,0.38961038961038963
544055,-0.051400000000000015,14.99,2,31,62,0.5
547939,-0.09550000000000003,15.8,1,26,68,0.38235294117647056
551649,-0.06509999999999998,14.9,1,35,80,0.4375
555201,-0.09640000000000003,13.99,4,24,82,0.2926829268292683
558746,-0.0051000000000000064,14.83,4,40,89,0.449438202247191
562283,-0.12070000000000004,14.56,1,23,62,0.3709677419354839
565969,-0.08029999999999998,14.07,2,29,67,0.43283582089552236
569500,-0.07269999999999999,15.48,3,29,73,0.3972602739726027
573283,-0.06099999999999997,15.68,2,35,70,0.5
576978,-0.06859999999999997,15.09,3,26,78,0.3333333333333333
580631,-0.07289999999999998,15.08,1,29,77,0.37662337662337664
584389,-0.08349999999999999,14.52,1,31,67,0.4626865671641791
588037,-0.052699999999999976,14.66,3,35,73,0.4794520547945205
591521,-0.08920000000000008,14.61,1,30,87,0.3448275862068966
595100,-0.07299999999999993,15.12,1,34,84,0.40476190476190477
598981,-0.09160000000000006,13.68,2,26,64,0.40625
602432,-0.08159999999999998,14.99,4,25,79,0.31645569620253167
606056,-0.06879999999999997,14.67,1,33,75,0.44
609976,-0.11920000000000013,13.87,2,26,50,0.52
613790,-0.06799999999999999,14.2,1,31,70,0.44285714285714284
617303,-0.027499999999999972,14.42,5,32,75,0.4266666666666667
620950,-0.07499999999999997,14.68,2,30,75,0.4
624717,-0.041299999999999976,15.92,2,35,81,0.43209876543209874
628442,-0.05149999999999994,14.38,3,31,75,0.41333333333333333
632312,-0.09800000000000005,14.58,2,27,82,0.32926829268292684
636021,-0.07859999999999999,14.32,2,30,58,0.5172413793103449
639908,-0.08059999999999999,14.83,3,31,61,0.5081967213114754
643580,-0.062399999999999976,15.81,3,29,81,0.35802469135802467
647462,-0.04779999999999997,16.56,0,40,85,0.47058823529411764
651243,-0.025899999999999986,14.63,4,34,87,0.39080459770114945
654986,-0.06339999999999994,14.53,3,27,64,0.421875
658729,-0.003499999999999985,13.56,4,41,68,0.6029411764705882
662253,-0.11730000000000002,14.39,1,24,57,0.42105263157894735
666011,-0.045299999999999965,15.11,2,38,77,0.4935064935064935
669771,-0.06839999999999997,13.88,3,29,84,0.34523809523809523
673038,-0.08179999999999994,15.17,1,28,75,0.37333333333333335
676696,-0.07400000000000001,14.58,3,30,77,0.38961038961038963
680431,-0.07289999999999999,15.69,2,28,55,0.509090909090909
684266,-0.13779999999999998,14.65,0,19,62,0.3064516129032258
687966,-0.11990000000000008,14.76,1,25,60,0.4166666666666667
691827,-0.07479999999999998,15.18,2,31,70,0.44285714285714284
695568,-0.09450000000000003,15.56,0,28,87,0.3218390804597701
699477,-0.051599999999999986,14.62,2,33,75,0.44
703236,-0.1125000000000001,14.52,0,26,62,0.41935483870967744
706977,-0.10170000000000011,14.71,2,22,77,0.2857142857142857
710786,-0.0775,15.16,2,29,64,0.453125
714525,-0.051999999999999984,15.33,5,23,59,0.3898305084745763
718345,-0.04889999999999997,14.42,5,26,66,0.3939393939393939
722054,-0.09669999999999998,14.98,0,26,83,0.3132530120481928
725823,-0.07939999999999994,14.82,4,26,53,0.49056603773584906
