timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2254999999999996,22.44,4,94,148,0.6351351351351351
3433,0.2401999999999996,22.73,6,92,179,0.5139664804469274
6694,0.2043999999999996,23.34,3,92,168,0.5476190476190477
9902,0.2456999999999996,22.72,8,88,158,0.5569620253164557
13196,0.19449999999999976,23.41,3,88,142,0.6197183098591549
16374,0.21169999999999967,20.76,2,97,161,0.6024844720496895
19306,0.19769999999999965,21.07,1,96,165,0.5818181818181818
22682,0.20349999999999968,23.32,5,86,168,0.5119047619047619
25730,0.21519999999999972,20.65,4,93,166,0.5602409638554217
28868,0.21879999999999955,21.12,5,90,161,0.5590062111801242
31933,0.21109999999999965,21.88,5,87,165,0.5272727272727272
34841,0.22549999999999953,23.76,6,89,170,0.5235294117647059
37957,0.1948999999999997,23.51,2,92,161,0.5714285714285714
41105,0.23599999999999965,23.33,8,85,163,0.5214723926380368
43989,0.19989999999999963,21.21,2,94,169,0.5562130177514792
46801,0.23039999999999963,21.71,5,93,156,0.5961538461538461
49777,0.21509999999999962,22.78,4,92,170,0.5411764705882353
52793,0.2349999999999996,21.39,6,91,171,0.5321637426900585
55725,0.20459999999999975,22.18,4,90,170,0.5294117647058824
58691,0.20889999999999964,21.18,3,94,156,0.6025641025641025
61669,0.21919999999999962,21.15,4,93,152,0.6118421052631579
64683,0.22499999999999962,20.89,5,91,151,0.6026490066225165
67718,0.20029999999999973,22.88,4,88,155,0.567741935483871
70734,0.2030999999999997,25.36,4,88,161,0.546583850931677
73886,0.2088999999999996,21.41,3,93,172,0.5406976744186046
76606,0.19359999999999966,21.5,2,92,169,0.5443786982248521
79578,0.2132999999999997,22.92,4,91,150,0.6066666666666667
82548,0.21889999999999954,22.8,5,90,163,0.5521472392638037
85594,0.25029999999999963,21.63,9,86,161,0.5341614906832298
88558,0.26769999999999955,22.91,10,87,159,0.5471698113207547
91584,0.21969999999999965,24.23,5,90,178,0.5056179775280899
94532,0.24779999999999963,22.81,8,88,182,0.4835164835164835
97532,0.22079999999999958,23.52,5,91,179,0.5083798882681564
100512,0.19779999999999962,23.26,1,96,176,0.5454545454545454
103424,0.1880999999999997,23.28,3,88,180,0.4888888888888889
106208,0.2444999999999996,23.57,7,90,158,0.569620253164557
109398,0.1993999999999997,21.06,2,94,128,0.734375
112214,0.2652999999999997,22.12,9,89,156,0.5705128205128205
115200,0.22489999999999974,21.27,5,91,138,0.6594202898550725
117926,0.18529999999999971,24.44,5,82,167,0.49101796407185627
120912,0.2512999999999997,22.37,8,89,160,0.55625
123924,0.2544999999999996,22.49,9,87,150,0.58
126931,0.2479999999999996,21.57,6,94,157,0.5987261146496815
129951,0.18969999999999967,20.41,3,90,150,0.6
132980,0.20959999999999968,21.47,3,93,174,0.5344827586206896
135930,0.20489999999999964,23.6,5,86,180,0.4777777777777778
138994,0.21599999999999964,22.49,6,86,157,0.5477707006369427
141898,0.2235999999999997,22.71,8,84,137,0.6131386861313869
144914,0.1886999999999997,21.76,1,95,162,0.5864197530864198
148116,0.22149999999999959,22.92,4,93,164,0.5670731707317073
151258,0.20079999999999962,21.76,2,94,154,0.6103896103896104
154294,0.2481999999999996,23.54,7,91,169,0.5384615384615384
157290,0.19539999999999963,24.16,4,86,165,0.5212121212121212
160320,0.2187999999999996,21.78,4,93,162,0.5740740740740741
163085,0.18979999999999975,20.61,2,91,142,0.6408450704225352
166091,0.2531999999999996,23.15,8,89,165,0.5393939393939394
169181,0.22889999999999971,22.15,6,90,165,0.5454545454545454
172177,0.21899999999999964,22.73,4,92,144,0.6388888888888888
175089,0.21099999999999958,23.48,3,94,175,0.5371428571428571
178105,0.26319999999999966,22.92,11,83,163,0.50920245398773
181067,0.24009999999999956,22.36,7,89,151,0.5894039735099338
183931,0.2222999999999996,23.17,4,93,166,0.5602409638554217
186829,0.20969999999999964,21.91,2,96,188,0.5106382978723404
189657,0.21279999999999968,21.84,4,91,191,0.47643979057591623
192799,0.18279999999999968,23.12,1,93,196,0.4744897959183674
195939,0.22719999999999962,23.2,6,88,201,0.43781094527363185
198955,0.25239999999999957,20.85,7,92,159,0.5786163522012578
201749,0.24029999999999965,21.86,6,92,154,0.5974025974025974
204754,0.2305999999999997,22.67,6,89,175,0.5085714285714286
207746,0.23649999999999963,21.35,6,91,168,0.5416666666666666
210794,0.2556999999999995,21.48,8,90,151,0.5960264900662252
213708,0.2449999999999996,24.23,8,87,179,0.4860335195530726
216640,0.26009999999999966,22.48,8,91,177,0.5141242937853108
219532,0.24109999999999965,23.42,8,86,188,0.4574468085106383
222534,0.2167999999999996,20.74,3,95,178,0.5337078651685393
225482,0.23789999999999967,23.02,8,86,158,0.5443037974683544
228346,0.23219999999999966,22.37,7,87,174,0.5
231324,0.22639999999999957,22.74,4,94,150,0.6266666666666667
234438,0.2232999999999997,22.34,7,86,148,0.581081081081081
237498,0.2816999999999996,21.63,12,84,158,0.5316455696202531
240430,0.22539999999999963,21.79,5,92,159,0.5786163522012578
243440,0.2209999999999996,24.5,6,87,168,0.5178571428571429
246514,0.21799999999999956,23.73,4,92,170,0.5411764705882353
249490,0.1929999999999997,20.21,2,93,161,0.577639751552795
252592,0.20269999999999963,23.58,5,86,174,0.4942528735632184
255856,0.1867999999999997,23.26,3,90,173,0.5202312138728323
258950,0.22469999999999968,23.2,6,87,166,0.5240963855421686
261922,0.2242999999999996,22.03,4,94,155,0.6064516129032258
264802,0.23269999999999963,20.63,6,90,152,0.5921052631578947
267776,0.24859999999999963,21.25,7,91,158,0.5759493670886076
270738,0.2100999999999996,22.67,3,93,175,0.5314285714285715
273580,0.2551999999999996,21.35,8,90,179,0.5027932960893855
276582,0.22759999999999955,20.44,5,92,183,0.5027322404371585
279612,0.22539999999999957,22.81,5,91,147,0.6190476190476191
282788,0.23009999999999964,21.63,6,90,170,0.5294117647058824
285770,0.2687999999999996,21.82,9,90,167,0.5389221556886228
288728,0.22769999999999954,21.94,5,92,170,0.5411764705882353
291590,0.24049999999999955,23.1,7,89,159,0.559748427672956
294766,0.2149999999999996,21.68,4,92,184,0.5
297952,0.2587999999999997,22.34,10,84,173,0.48554913294797686
300922,0.2257999999999997,22.45,6,88,187,0.47058823529411764
304017,0.2217999999999996,20.33,5,90,166,0.5421686746987951
306972,0.20539999999999967,22.13,3,92,159,0.5786163522012578
309950,0.20909999999999965,22.18,4,90,164,0.5487804878048781
312958,0.22089999999999965,21.95,4,93,183,0.5081967213114754
