timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
3433,-0.0161,15.99,0,50,75,0.6666666666666666
6694,0.001700000000000004,15.81,2,51,74,0.6891891891891891
9902,0.0046,15.92,2,50,74,0.6756756756756757
13196,0.007199999999999997,17.23,2,47,86,0.5465116279069767
16374,0.012599999999999995,15.47,3,48,79,0.6075949367088608
19306,0.049100000000000046,16.76,3,55,91,0.6043956043956044
22682,0.004600000000000002,15.67,1,52,72,0.7222222222222222
25730,0.019800000000000026,14.67,3,48,77,0.6233766233766234
28868,0.026700000000000054,16.41,2,54,82,0.6585365853658537
31933,-0.0118,15.77,0,50,71,0.704225352112676
34841,-0.03409999999999998,15.77,1,42,75,0.56
37957,-0.03090000000000001,16.21,1,45,69,0.6521739130434783
41105,0.07060000000000007,15.45,5,54,84,0.6428571428571429
43989,-0.024099999999999948,15.47,0,47,78,0.6025641025641025
46801,0.01730000000000003,15.76,1,54,75,0.72
49777,-0.04159999999999996,16.15,0,46,72,0.6388888888888888
52793,0.02090000000000002,15.8,1,56,73,0.7671232876712328
55725,0.008300000000000002,14.57,2,51,77,0.6623376623376623
58691,0.008499999999999999,16.11,2,47,70,0.6714285714285714
61669,-0.015199999999999974,15.09,3,45,59,0.7627118644067796
64683,-0.0714,15.66,1,35,59,0.5932203389830508
67718,0.02889999999999999,16.07,1,59,85,0.6941176470588235
70734,0.019100000000000002,17.82,1,51,84,0.6071428571428571
73886,0.011000000000000015,15.43,2,50,70,0.7142857142857143
76606,-0.010800000000000002,16.08,1,46,69,0.6666666666666666
79578,-0.0181,16.46,0,50,80,0.625
82548,-0.03419999999999999,14.67,2,40,58,0.6896551724137931
85594,-0.019500000000000014,14.89,1,47,61,0.7704918032786885
88558,0.028800000000000027,15.31,4,50,75,0.6666666666666666
91584,0.03050000000000007,15.84,3,51,79,0.6455696202531646
94532,-0.00910000000000001,15.8,1,48,68,0.7058823529411765
97532,-0.03139999999999999,15.61,3,38,52,0.7307692307692307
100512,0.028900000000000047,14.51,3,54,67,0.8059701492537313
103424,-0.03139999999999999,14.86,0,48,69,0.6956521739130435
106208,0.0004999999999999971,16.0,3,45,62,0.7258064516129032
109398,0.005699999999999996,15.07,2,50,76,0.6578947368421053
112214,-0.033499999999999995,14.69,0,47,79,0.5949367088607594
115200,-0.006100000000000003,15.18,1,50,78,0.6410256410256411
117926,-0.017499999999999995,15.58,1,47,66,0.7121212121212122
120912,0.0002000000000000024,16.38,3,45,72,0.625
123924,-0.04039999999999999,15.57,1,41,61,0.6721311475409836
126931,-0.03759999999999999,16.11,2,38,60,0.6333333333333333
129951,0.06050000000000003,15.67,2,62,92,0.6739130434782609
132980,0.02350000000000003,16.68,2,52,84,0.6190476190476191
135930,0.009899999999999987,16.11,2,48,86,0.5581395348837209
138994,-0.013000000000000013,15.09,4,40,61,0.6557377049180327
141898,0.010999999999999992,16.15,4,45,75,0.6
144914,0.006699999999999997,16.05,1,51,79,0.6455696202531646
148116,0.01759999999999999,16.52,1,51,101,0.504950495049505
151258,0.027700000000000016,16.37,3,51,76,0.6710526315789473
154294,-0.008200000000000006,16.38,0,51,84,0.6071428571428571
157290,-0.018900000000000004,16.15,0,53,82,0.6463414634146342
160320,0.011899999999999999,15.97,2,49,76,0.6447368421052632
163085,0.027100000000000075,15.52,1,57,93,0.6129032258064516
166091,0.01719999999999999,15.68,5,43,74,0.581081081081081
169181,-0.011600000000000015,16.26,0,50,83,0.6024096385542169
172177,-0.03609999999999999,14.37,0,49,67,0.7313432835820896
175089,-0.0146,16.17,2,46,75,0.6133333333333333
178105,0.02320000000000002,15.76,4,47,77,0.6103896103896104
181067,-0.0038000000000000074,15.36,0,52,82,0.6341463414634146
183931,-0.0037000000000000028,14.88,1,53,89,0.5955056179775281
186829,-0.02129999999999999,15.59,2,45,73,0.6164383561643836
189657,-0.0127,16.08,2,39,70,0.5571428571428572
192799,-0.0049999999999999906,15.18,3,44,65,0.676923076923077
195939,0.026100000000000057,16.12,2,55,80,0.6875
198955,0.0030999999999999977,15.05,2,49,85,0.5764705882352941
201749,-0.04439999999999996,15.27,0,41,67,0.6119402985074627
204754,-0.03959999999999998,16.36,1,42,63,0.6666666666666666
207746,-0.022299999999999976,15.16,2,44,76,0.5789473684210527
210794,0.020600000000000028,16.17,3,47,76,0.618421052631579
213708,0.006299999999999995,15.34,2,50,66,0.7575757575757576
216640,0.011499999999999995,15.48,2,50,75,0.6666666666666666
219532,-0.015500000000000003,15.94,1,47,74,0.6351351351351351
222534,0.007599999999999991,15.63,1,50,66,0.7575757575757576
225482,0.012199999999999997,14.93,3,49,67,0.7313432835820896
228346,-0.060999999999999985,15.78,0,38,69,0.5507246376811594
231324,0.0016000000000000042,15.92,2,53,86,0.6162790697674418
234438,0.043800000000000006,15.55,4,49,99,0.494949494949495
237498,0.013400000000000033,15.31,3,50,84,0.5952380952380952
240430,0.025100000000000025,16.03,2,52,71,0.7323943661971831
243440,-0.0599,16.11,0,40,76,0.5263157894736842
246514,-0.007700000000000002,15.21,1,51,74,0.6891891891891891
249490,0.0027000000000000045,16.36,2,50,72,0.6944444444444444
252592,-0.010900000000000005,16.62,1,47,77,0.6103896103896104
255856,-0.015799999999999956,15.43,1,49,71,0.6901408450704225
258950,-0.016999999999999998,15.58,1,46,84,0.5476190476190477
261922,-0.0027999999999999956,15.5,0,52,75,0.6933333333333334
264802,-0.021699999999999976,15.49,1,45,67,0.6716417910447762
267776,0.03940000000000002,17.13,3,54,82,0.6585365853658537
