timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07559999999999997,13.96,2,36,56,0.6428571428571429
3433,-0.0521,15.19,0,41,70,0.5857142857142857
6694,-0.031199999999999995,15.3,3,39,58,0.6724137931034483
9902,-0.035,14.21,1,43,61,0.7049180327868853
13196,-0.039199999999999936,15.32,1,37,65,0.5692307692307692
16374,-0.0867,13.83,0,32,50,0.64
19306,0.0037000000000000015,15.04,2,49,73,0.6712328767123288
22682,-0.03409999999999995,15.1,0,47,68,0.6911764705882353
25730,-0.014899999999999998,14.51,3,42,71,0.5915492957746479
28868,-0.05489999999999997,14.7,1,38,52,0.7307692307692307
31933,-0.05549999999999998,14.28,2,34,50,0.68
34841,-0.06119999999999996,14.63,1,36,58,0.6206896551724138
37957,-0.10649999999999998,14.71,1,29,47,0.6170212765957447
41105,-0.06119999999999996,14.69,4,29,47,0.6170212765957447
43989,-0.01969999999999998,13.75,2,43,64,0.671875
46801,-0.050699999999999946,14.13,3,34,56,0.6071428571428571
49777,-0.08680000000000007,15.0,0,37,54,0.6851851851851852
52793,-0.036000000000000004,13.67,2,43,55,0.7818181818181819
55725,-0.07929999999999997,14.37,2,32,58,0.5517241379310345
58691,-0.02119999999999998,14.84,4,37,61,0.6065573770491803
61669,-0.08209999999999998,14.0,1,33,48,0.6875
64683,-0.06989999999999999,14.24,2,34,51,0.6666666666666666
67718,-0.044199999999999975,15.26,1,42,57,0.7368421052631579
70734,-0.05749999999999997,15.4,1,38,54,0.7037037037037037
73886,-0.06949999999999998,13.95,2,32,52,0.6153846153846154
76606,-0.0425,14.58,1,38,60,0.6333333333333333
79578,-0.02189999999999996,14.49,4,43,60,0.7166666666666667
82548,-0.0581,14.13,3,34,61,0.5573770491803278
85594,-0.03969999999999995,13.91,3,34,64,0.53125
88558,-0.023599999999999965,14.35,4,40,56,0.7142857142857143
91584,-0.05029999999999997,14.53,2,38,61,0.6229508196721312
94532,-0.05049999999999995,14.45,0,41,70,0.5857142857142857
97532,-0.06949999999999995,14.02,3,30,49,0.6122448979591837
100512,-0.0408,14.26,3,37,60,0.6166666666666667
103424,-0.05359999999999996,13.55,2,38,60,0.6333333333333333
106208,-0.035399999999999966,15.25,1,43,64,0.671875
109398,-0.056899999999999985,14.47,1,36,53,0.6792452830188679
112214,-0.03459999999999994,15.1,2,40,68,0.5882352941176471
115200,-0.0072,13.74,4,41,62,0.6612903225806451
117926,-0.040699999999999986,14.18,1,44,60,0.7333333333333333
120912,-0.04509999999999996,15.15,2,38,62,0.6129032258064516
123924,-0.11970000000000003,13.96,1,25,40,0.625
126931,-0.11800000000000002,14.53,1,27,52,0.5192307692307693
129951,-0.02609999999999995,14.16,2,42,75,0.56
132980,-0.05889999999999993,14.07,0,42,68,0.6176470588235294
135930,-0.04019999999999997,14.27,1,39,74,0.527027027027027
138994,-0.04599999999999995,14.29,2,41,62,0.6612903225806451
141898,-0.07409999999999997,14.23,1,37,62,0.5967741935483871
144914,-0.024299999999999992,15.12,0,48,69,0.6956521739130435
148116,-0.02859999999999997,15.78,2,42,72,0.5833333333333334
151258,-0.05929999999999998,15.04,1,38,55,0.6909090909090909
154294,-0.0319,15.04,0,48,72,0.6666666666666666
157290,-0.05919999999999999,14.6,2,38,57,0.6666666666666666
160320,-0.05739999999999996,14.04,1,36,58,0.6206896551724138
163085,-0.022699999999999994,14.65,2,42,69,0.6086956521739131
166091,-0.09470000000000005,14.35,0,33,55,0.6
169181,-0.03379999999999997,13.83,2,40,55,0.7272727272727273
172177,-0.07449999999999998,14.05,0,42,69,0.6086956521739131
175089,-0.07429999999999999,15.64,1,32,52,0.6153846153846154
178105,-0.05479999999999992,14.25,4,35,57,0.6140350877192983
181067,-0.059699999999999954,13.62,1,39,56,0.6964285714285714
183931,-0.056299999999999954,14.25,0,44,66,0.6666666666666666
186829,-0.08350000000000007,13.38,1,39,54,0.7222222222222222
189657,-0.03499999999999999,14.65,3,32,54,0.5925925925925926
192799,-0.043899999999999946,14.67,1,40,65,0.6153846153846154
195939,-0.013600000000000001,14.4,2,45,77,0.5844155844155844
198955,-0.028999999999999967,14.27,2,42,75,0.56
201749,-0.045799999999999966,15.01,1,39,66,0.5909090909090909
204754,-0.07929999999999998,14.77,1,37,55,0.6727272727272727
207746,-0.09979999999999997,14.09,1,30,52,0.5769230769230769
210794,-0.08899999999999998,13.97,0,35,54,0.6481481481481481
213708,-0.05809999999999996,14.57,2,33,52,0.6346153846153846
