timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.19819999999999965,20.86,2,94,94,1.0
3495,0.21599999999999958,19.75,2,98,98,1.0
6993,0.19999999999999962,19.64,0,100,100,1.0
10321,0.19949999999999965,21.35,2,94,94,1.0
13691,0.19549999999999965,20.84,0,99,99,1.0
17026,0.20869999999999966,18.9,2,96,96,1.0
20126,0.20799999999999963,19.26,1,99,99,1.0
23588,0.20349999999999963,20.62,1,98,98,1.0
26926,0.19999999999999962,20.97,0,100,100,1.0
30338,0.21949999999999967,20.16,3,96,96,1.0
33594,0.19219999999999962,19.24,0,98,98,1.0
36880,0.2168999999999996,21.05,3,95,95,1.0
40069,0.21149999999999966,20.71,4,92,92,1.0
43405,0.19249999999999964,19.89,0,98,98,1.0
46856,0.18479999999999966,19.35,0,97,97,1.0
50164,0.20799999999999963,19.19,1,99,99,1.0
53578,0.20159999999999964,20.38,1,98,98,1.0
56798,0.23069999999999957,19.53,5,94,94,1.0
60044,0.1885999999999996,18.89,1,95,95,1.0
63346,0.21249999999999963,18.34,3,95,95,1.0
66646,0.19269999999999965,19.98,0,98,98,1.0
69886,0.1942999999999996,19.82,0,99,99,1.0
73332,0.2013999999999996,20.48,1,98,98,1.0
76594,0.20019999999999963,20.24,1,97,97,1.0
79880,0.19559999999999964,20.01,1,96,96,1.0
83248,0.18239999999999962,21.84,0,96,96,1.0
86408,0.19469999999999968,20.13,1,96,96,1.0
89590,0.20799999999999955,19.23,2,96,96,1.0
92734,0.20639999999999964,20.17,2,96,96,1.0
96226,0.2199999999999996,21.59,3,96,96,1.0
99539,0.2319999999999996,19.95,4,96,96,1.0
102689,0.20479999999999965,19.97,1,98,98,1.0
106061,0.18709999999999968,21.18,0,98,98,1.0
109287,0.21609999999999957,20.36,3,95,95,1.0
112753,0.1912999999999996,19.87,1,96,96,1.0
115707,0.19969999999999963,20.83,2,94,94,1.0
118927,0.19229999999999964,21.45,2,92,92,1.0
121989,0.21239999999999967,19.36,2,97,97,1.0
125311,0.19629999999999975,20.48,3,91,91,1.0
128563,0.2319999999999996,19.84,4,96,96,1.0
131791,0.19329999999999958,19.87,1,97,97,1.0
135019,0.19689999999999963,20.3,0,99,99,1.0
138343,0.24949999999999967,20.51,7,91,91,1.0
141569,0.2067999999999996,18.36,2,96,96,1.0
144959,0.20319999999999966,19.17,1,98,98,1.0
148495,0.20079999999999967,19.35,2,94,94,1.0
151887,0.2081999999999996,20.85,3,94,94,1.0
154911,0.19629999999999959,20.57,0,99,99,1.0
158295,0.19589999999999963,20.64,0,99,99,1.0
161665,0.1996999999999996,20.92,1,97,97,1.0
165225,0.19849999999999965,21.15,3,91,91,1.0
168469,0.18949999999999967,19.74,1,95,95,1.0
171581,0.22369999999999962,21.0,4,94,94,1.0
174977,0.19579999999999964,20.03,2,94,94,1.0
178325,0.21599999999999958,17.89,2,98,98,1.0
181609,0.19999999999999965,20.27,2,94,94,1.0
184767,0.2444999999999996,20.1,6,93,93,1.0
188177,0.21599999999999964,19.47,2,98,98,1.0
191421,0.2106999999999996,21.12,2,97,97,1.0
194560,0.2038999999999997,20.27,2,96,96,1.0
197760,0.2287999999999996,21.45,4,95,95,1.0
201048,0.19149999999999964,20.29,0,98,98,1.0
204470,0.19749999999999962,21.7,1,96,96,1.0
207668,0.19269999999999965,20.09,0,98,98,1.0
211027,0.18749999999999964,22.62,1,94,94,1.0
214515,0.21019999999999964,19.77,2,97,97,1.0
217874,0.19849999999999962,18.89,2,95,95,1.0
221174,0.20799999999999963,19.36,1,99,99,1.0
224402,0.20279999999999962,19.94,1,98,98,1.0
227594,0.20859999999999965,19.89,2,96,96,1.0
230977,0.2100999999999996,19.56,2,97,97,1.0
234239,0.21179999999999966,21.24,2,97,97,1.0
237769,0.2063999999999996,20.12,2,96,96,1.0
241335,0.19619999999999962,20.12,0,99,99,1.0
244391,0.18139999999999967,20.66,1,93,93,1.0
247651,0.22779999999999961,20.88,4,95,95,1.0
250959,0.19149999999999964,19.52,0,98,98,1.0
254197,0.18279999999999966,21.7,0,96,96,1.0
257717,0.19399999999999962,20.64,0,99,99,1.0
261033,0.21969999999999965,20.69,3,96,96,1.0
264439,0.2171999999999996,19.37,3,95,95,1.0
267678,0.20059999999999967,21.87,2,95,95,1.0
270992,0.18629999999999972,20.82,1,94,94,1.0
274376,0.22019999999999965,21.08,3,96,96,1.0
277516,0.19509999999999966,22.83,1,96,96,1.0
280872,0.19999999999999962,20.21,0,100,100,1.0
284210,0.21599999999999964,20.72,2,98,98,1.0
287496,0.2102999999999996,20.09,2,97,97,1.0
290596,0.20399999999999963,18.95,1,98,98,1.0
294054,0.18979999999999964,20.54,0,98,98,1.0
297170,0.20349999999999963,20.24,3,93,93,1.0
300630,0.20369999999999963,20.61,2,95,95,1.0
304046,0.2083999999999996,20.02,3,93,93,1.0
307360,0.20799999999999957,20.25,1,99,99,1.0
310688,0.19029999999999966,20.62,1,95,95,1.0
314212,0.19589999999999963,17.86,0,99,99,1.0
317778,0.2139999999999996,20.54,4,92,92,1.0
321252,0.19659999999999964,18.98,0,99,99,1.0
324386,0.21959999999999963,21.75,5,90,90,1.0
327869,0.1963999999999996,19.96,0,99,99,1.0
331037,0.19999999999999962,19.17,0,100,100,1.0
334302,0.19309999999999963,19.53,0,98,98,1.0
337742,0.21599999999999964,20.67,2,98,98,1.0
341016,0.19679999999999964,20.68,1,97,97,1.0
344024,0.2085999999999996,20.1,2,96,96,1.0
347248,0.2030999999999996,20.22,1,98,98,1.0
350553,0.21619999999999973,18.71,4,93,93,1.0
353627,0.21599999999999958,19.51,2,98,98,1.0
357045,0.21289999999999965,20.01,2,97,97,1.0
360327,0.2199999999999996,20.96,3,96,96,1.0
363625,0.20059999999999967,21.23,1,97,97,1.0
366937,0.2035999999999997,20.07,2,95,95,1.0
370409,0.2162999999999996,18.7,3,95,95,1.0
373695,0.21519999999999964,19.79,3,95,95,1.0
377133,0.21529999999999966,20.11,3,95,95,1.0
380453,0.21549999999999966,20.52,4,93,93,1.0
383799,0.18289999999999967,19.84,1,94,94,1.0
386905,0.20039999999999963,20.5,1,97,97,1.0
390291,0.20359999999999964,19.94,1,98,98,1.0
393547,0.18399999999999964,20.82,0,97,97,1.0
396832,0.23539999999999964,19.53,5,94,94,1.0
400060,0.18869999999999973,20.84,1,95,95,1.0
403306,0.19509999999999963,21.24,1,96,96,1.0
406630,0.20839999999999964,20.7,2,96,96,1.0
410072,0.20799999999999957,21.83,1,99,99,1.0
413470,0.19629999999999967,20.53,1,96,96,1.0
416620,0.18709999999999966,20.88,0,97,97,1.0
419822,0.2186999999999996,20.71,4,93,93,1.0
422908,0.18759999999999963,19.42,1,94,94,1.0
426092,0.19289999999999963,20.28,0,98,98,1.0
429508,0.19429999999999964,18.83,1,97,97,1.0
432824,0.20709999999999962,21.68,2,96,96,1.0
436280,0.18329999999999966,20.08,0,97,97,1.0
439527,0.19639999999999969,20.23,1,97,97,1.0
442725,0.20549999999999966,18.48,3,93,93,1.0
445783,0.19359999999999963,19.73,0,99,99,1.0
448907,0.1958999999999996,19.49,2,94,94,1.0
452043,0.19439999999999966,20.33,1,96,96,1.0
455470,0.2087999999999996,20.74,3,93,93,1.0
458696,0.18739999999999962,21.19,0,97,97,1.0
462032,0.19099999999999961,20.28,0,98,98,1.0
465248,0.19259999999999966,20.36,1,95,95,1.0
468426,0.18889999999999965,22.6,0,97,97,1.0
471600,0.22319999999999962,19.37,4,94,94,1.0
475052,0.2024999999999996,20.74,1,98,98,1.0
478362,0.20939999999999967,21.81,3,93,93,1.0
481942,0.20149999999999962,20.58,1,97,97,1.0
485312,0.18969999999999965,19.44,1,95,95,1.0
488676,0.20779999999999962,20.4,2,96,96,1.0
491914,0.2319999999999996,19.47,4,96,96,1.0
495350,0.19859999999999967,19.55,1,97,97,1.0
498320,0.20539999999999967,20.74,2,96,96,1.0
501310,0.20419999999999963,19.77,1,98,98,1.0
504724,0.2094999999999996,19.72,2,96,96,1.0
507958,0.20779999999999968,19.44,3,94,94,1.0
511476,0.1965999999999996,20.0,0,99,99,1.0
514462,0.19199999999999967,18.65,1,95,95,1.0
517622,0.18769999999999964,20.95,0,97,97,1.0
520994,0.19009999999999966,20.65,0,98,98,1.0
524232,0.19619999999999962,19.41,0,99,99,1.0
527706,0.19489999999999966,20.39,2,93,93,1.0
530988,0.23199999999999957,19.69,4,96,96,1.0
