timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.014800000000000013,14.52,1,51,51,1.0
3495,-0.015400000000000007,15.19,0,51,51,1.0
6993,-0.010800000000000008,14.93,2,50,50,1.0
10321,0.0097,14.84,3,51,51,1.0
13691,-0.016699999999999972,15.73,0,50,50,1.0
17026,-0.009599999999999997,14.37,1,50,50,1.0
20126,0.046700000000000054,15.7,3,58,58,1.0
23588,-0.007300000000000011,14.61,1,51,51,1.0
26926,-0.005500000000000005,13.25,1,52,52,1.0
30338,-0.005100000000000006,15.13,1,51,51,1.0
33594,-0.05729999999999993,14.72,0,44,44,1.0
36880,-0.024899999999999974,14.91,1,47,47,1.0
40069,-0.05489999999999997,15.16,0,43,43,1.0
43405,0.02619999999999999,14.76,2,55,55,1.0
46856,-0.008299999999999957,14.18,0,54,54,1.0
50164,-0.0282,14.41,1,45,45,1.0
53578,-0.04779999999999997,15.09,0,47,47,1.0
56798,-0.0051,14.9,1,51,51,1.0
60044,-0.017400000000000006,13.92,0,52,52,1.0
63346,-0.002200000000000003,14.67,2,48,48,1.0
66646,-0.030999999999999948,13.77,2,45,45,1.0
69886,-0.05750000000000001,14.94,0,43,43,1.0
73332,-0.005200000000000002,15.48,1,52,52,1.0
76594,0.009900000000000003,16.11,0,55,55,1.0
79880,-0.04349999999999999,14.09,1,44,44,1.0
83248,-0.013099999999999999,15.33,1,49,49,1.0
86408,-0.011399999999999999,14.93,0,52,52,1.0
89590,-0.07039999999999998,13.84,0,40,40,1.0
92734,-0.02749999999999997,14.13,1,46,46,1.0
96226,-0.012200000000000004,14.09,2,50,50,1.0
99539,0.01039999999999999,14.35,2,52,52,1.0
102689,-0.015500000000000014,14.61,1,49,49,1.0
106061,-0.02379999999999999,14.39,3,42,42,1.0
109287,-0.012400000000000008,14.16,0,53,53,1.0
112753,-0.03099999999999998,14.11,0,50,50,1.0
115707,-0.0006000000000000017,15.06,3,47,47,1.0
118927,-0.010300000000000007,13.55,1,52,52,1.0
121989,-0.04539999999999995,13.87,0,47,47,1.0
125311,-0.008200000000000002,13.86,0,54,54,1.0
128563,-0.03389999999999992,14.24,1,49,49,1.0
131791,-0.025599999999999935,15.28,1,48,48,1.0
135019,-0.06519999999999997,14.67,0,39,39,1.0
138343,-0.051999999999999984,14.96,1,40,40,1.0
141569,0.05350000000000004,15.45,1,64,64,1.0
144959,-0.014600000000000007,15.11,1,49,49,1.0
148495,-0.022699999999999977,14.41,0,49,49,1.0
151887,-0.06119999999999999,14.32,1,42,42,1.0
154911,-0.02619999999999994,14.82,2,45,45,1.0
158295,-0.02240000000000001,14.95,0,49,49,1.0
161665,0.022199999999999994,15.2,0,60,60,1.0
165225,0.003799999999999998,14.75,1,52,52,1.0
168469,-0.0002000000000000024,15.4,2,53,53,1.0
171581,-0.06299999999999997,14.48,0,43,43,1.0
174977,-0.0302,14.62,0,47,47,1.0
178325,-0.005700000000000007,13.75,0,57,57,1.0
181609,0.009399999999999997,14.92,3,49,49,1.0
184767,-0.01999999999999998,14.47,0,50,50,1.0
188177,-0.04219999999999999,13.94,0,49,49,1.0
191421,-0.04439999999999996,14.57,1,45,45,1.0
194560,-0.0008999999999999548,14.71,3,49,49,1.0
197760,-0.0165,13.86,1,50,50,1.0
201048,-0.004099999999999994,13.84,1,55,55,1.0
204470,-0.03469999999999998,14.15,1,49,49,1.0
207668,-0.01460000000000001,15.18,1,46,46,1.0
211027,-0.006900000000000004,14.96,3,47,47,1.0
214515,0.011300000000000034,15.39,1,55,55,1.0
217874,-0.035099999999999985,14.26,1,46,46,1.0
221174,-0.0199,14.48,0,50,50,1.0
224402,-0.07310000000000001,14.42,1,38,38,1.0
227594,-0.05229999999999995,14.11,0,47,47,1.0
230977,-0.027700000000000013,14.39,0,49,49,1.0
234239,0.0008999999999999964,15.0,2,49,49,1.0
237769,-0.017199999999999997,14.32,1,50,50,1.0
241335,-0.0313,14.65,0,48,48,1.0
244391,-0.0017999999999999978,14.63,0,55,55,1.0
247651,-0.03529999999999996,14.64,1,45,45,1.0
250959,-0.05049999999999997,14.56,0,45,45,1.0
254197,0.003400000000000008,15.22,2,54,54,1.0
257717,0.013300000000000001,14.66,1,54,54,1.0
261033,-0.0261,14.54,0,49,49,1.0
264439,0.002299999999999994,14.68,1,54,54,1.0
267678,-0.055399999999999984,14.9,0,47,47,1.0
270992,-0.021200000000000007,13.65,1,51,51,1.0
274376,-0.026299999999999987,14.95,1,46,46,1.0
277516,-0.022899999999999972,15.81,2,43,43,1.0
280872,-0.054499999999999986,14.45,0,48,48,1.0
284210,-0.01869999999999999,14.58,1,50,50,1.0
287496,0.002799999999999997,14.55,0,56,56,1.0
290596,-0.04319999999999999,14.64,1,42,42,1.0
294054,-0.016900000000000005,14.87,2,47,47,1.0
297170,0.02149999999999999,14.05,1,57,57,1.0
300630,0.006099999999999992,14.64,0,56,56,1.0
304046,0.024500000000000063,14.08,3,52,52,1.0
307360,0.009700000000000007,14.69,2,53,53,1.0
310688,-0.03359999999999999,14.73,1,46,46,1.0
314212,0.003399999999999994,14.85,0,55,55,1.0
317778,-0.0102,13.63,1,54,54,1.0
321252,0.009100000000000014,14.71,1,53,53,1.0
324386,0.0174,15.05,0,57,57,1.0
327869,-0.00040000000000000593,14.2,3,48,48,1.0
331037,-0.02889999999999999,15.29,0,48,48,1.0
334302,-0.031799999999999995,14.12,1,45,45,1.0
337742,-0.05159999999999995,13.35,0,47,47,1.0
341016,-0.017200000000000007,14.32,2,50,50,1.0
344024,-0.02939999999999996,15.26,1,47,47,1.0
347248,-0.02419999999999995,14.17,1,50,50,1.0
350553,-0.030499999999999954,14.06,0,47,47,1.0
353627,0.0005999999999999916,14.95,1,50,50,1.0
357045,-0.050499999999999955,14.97,0,44,44,1.0
360327,-0.05359999999999997,14.96,1,41,41,1.0
363625,0.02300000000000003,14.63,2,54,54,1.0
366937,-0.011199999999999998,13.92,4,43,43,1.0
370409,-0.004100000000000011,15.37,0,53,53,1.0
373695,-0.02059999999999997,14.45,1,47,47,1.0
377133,-0.05009999999999994,15.16,0,47,47,1.0
380453,0.008499999999999985,15.3,1,52,52,1.0
383799,0.012299999999999995,14.53,1,57,57,1.0
386905,-0.034499999999999996,15.1,0,46,46,1.0
390291,0.026900000000000052,14.62,0,59,59,1.0
393547,-0.03619999999999998,14.86,0,48,48,1.0
396832,-0.023299999999999984,14.68,1,48,48,1.0
400060,-0.007599999999999983,15.16,1,53,53,1.0
403306,-0.034699999999999946,14.13,1,44,44,1.0
406630,-0.01259999999999997,15.39,1,48,48,1.0
410072,-0.02359999999999997,15.57,1,48,48,1.0
413470,-0.06129999999999999,14.1,0,41,41,1.0
416620,0.01609999999999999,15.04,0,61,61,1.0
419822,-0.056799999999999996,13.95,0,42,42,1.0
422908,-0.00010000000000000314,14.62,1,50,50,1.0
426092,-0.0745,14.95,1,39,39,1.0
429508,-0.026799999999999994,14.87,0,51,51,1.0
432824,0.011800000000000024,13.87,2,53,53,1.0
436280,0.0133,14.78,2,51,51,1.0
439527,-0.025399999999999947,14.26,1,48,48,1.0
442725,-0.006400000000000005,13.95,0,55,55,1.0
445783,-0.013199999999999951,13.8,1,51,51,1.0
448907,-0.005999999999999919,13.4,1,56,56,1.0
452043,0.02810000000000006,14.82,1,60,60,1.0
455470,-0.013399999999999997,14.41,3,48,48,1.0
458696,-0.032099999999999976,13.93,1,44,44,1.0
462032,-0.003299999999999992,15.2,2,49,49,1.0
465248,-0.034199999999999994,14.37,0,47,47,1.0
468426,-0.03989999999999995,15.02,0,46,46,1.0
471600,0.014899999999999993,15.6,2,52,52,1.0
475052,-0.008000000000000002,14.44,2,50,50,1.0
478362,-0.002900000000000015,14.94,2,50,50,1.0
481942,-0.06939999999999996,14.3,0,44,44,1.0
485312,0.0023000000000000446,14.62,2,53,53,1.0
488676,0.03450000000000002,14.0,4,51,51,1.0
491914,-0.0039000000000000206,15.08,0,54,54,1.0
495350,-0.01259999999999999,15.34,2,46,46,1.0
498320,-0.04969999999999995,14.97,0,45,45,1.0
501310,-0.02269999999999999,14.78,2,45,45,1.0
504724,-0.04349999999999996,13.43,0,49,49,1.0
507958,-0.0016000000000000044,14.29,0,56,56,1.0
511476,-0.051300000000000005,14.59,0,46,46,1.0
514462,-0.07689999999999998,13.45,0,41,41,1.0
517622,0.005199999999999994,15.37,1,51,51,1.0
520994,-0.02329999999999996,14.7,0,51,51,1.0
524232,-0.034599999999999985,15.68,0,47,47,1.0
527706,0.0076,14.46,2,49,49,1.0
530988,-0.019600000000000003,14.45,0,50,50,1.0
534396,-0.03399999999999994,14.34,1,47,47,1.0
537822,-0.031099999999999968,14.19,1,48,48,1.0
541166,-0.005000000000000007,14.31,2,50,50,1.0
544480,-0.006599999999999962,14.05,1,52,52,1.0
547570,-0.046099999999999974,14.39,1,47,47,1.0
551020,-0.04169999999999995,14.26,0,46,46,1.0
554308,-0.04989999999999999,14.38,1,41,41,1.0
557609,-0.03409999999999996,14.59,0,44,44,1.0
561177,-0.024200000000000003,14.03,1,51,51,1.0
564297,0.0165,14.74,1,53,53,1.0
567559,0.03640000000000002,15.12,2,58,58,1.0
570925,0.0003999999999999934,15.12,0,58,58,1.0
574451,-0.03269999999999997,14.86,0,50,50,1.0
577615,-0.06099999999999998,14.47,1,36,36,1.0
580783,-0.04559999999999996,14.28,2,43,43,1.0
583961,0.027000000000000014,15.72,2,53,53,1.0
587600,0.020700000000000024,16.4,0,59,59,1.0
591205,0.034800000000000025,15.27,2,55,55,1.0
594845,-0.0166,14.09,3,44,44,1.0
597987,-0.0096,13.67,2,48,48,1.0
601147,-0.045199999999999976,15.37,1,43,43,1.0
604659,0.012099999999999993,14.45,1,58,58,1.0
607947,-0.017399999999999985,13.12,1,49,49,1.0
611073,-0.05099999999999994,14.21,0,43,43,1.0
614287,-0.03549999999999998,14.09,0,51,51,1.0
617469,-0.06569999999999997,14.54,0,42,42,1.0
620907,-0.07539999999999995,14.35,0,38,38,1.0
624347,-0.05979999999999996,14.84,0,42,42,1.0
627841,0.023499999999999997,14.72,0,61,61,1.0
