timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07639999999999997,13.42,0,45,45,1.0
3495,-0.022200000000000008,15.23,0,50,50,1.0
6993,-0.009399999999999997,14.92,2,48,48,1.0
10321,-0.04459999999999997,13.47,1,42,42,1.0
13691,-0.03629999999999994,14.76,0,43,43,1.0
17026,-0.034300000000000004,13.69,0,45,45,1.0
20126,0.026499999999999996,14.88,3,52,52,1.0
23588,-0.022599999999999985,14.48,1,48,48,1.0
26926,-0.0155,13.51,2,49,49,1.0
30338,-0.054200000000000005,14.16,0,44,44,1.0
33594,-0.06549999999999996,13.76,0,40,40,1.0
36880,-0.05439999999999996,13.47,1,40,40,1.0
40069,-0.07789999999999998,14.17,0,39,39,1.0
43405,-0.017899999999999985,14.83,2,44,44,1.0
46856,-0.029999999999999964,13.05,0,50,50,1.0
50164,0.020900000000000033,13.87,5,45,45,1.0
53578,-0.04879999999999999,14.68,0,46,46,1.0
56798,-0.046499999999999965,13.19,2,40,40,1.0
60044,-0.038899999999999955,13.87,1,48,48,1.0
63346,-0.023199999999999967,14.2,1,49,49,1.0
66646,-0.04079999999999999,13.88,1,46,46,1.0
69886,-0.08929999999999998,13.94,0,39,39,1.0
73332,-0.012899999999999976,14.54,1,52,52,1.0
76594,-0.06059999999999998,14.4,1,42,42,1.0
79880,-0.061699999999999984,13.21,0,43,43,1.0
83248,-0.050699999999999974,14.72,0,42,42,1.0
86408,-0.06289999999999993,13.91,1,41,41,1.0
89590,-0.06359999999999999,13.65,0,42,42,1.0
92734,-0.024799999999999954,13.71,2,46,46,1.0
96226,-0.025799999999999983,14.29,3,45,45,1.0
99539,-0.058499999999999976,13.71,1,39,39,1.0
102689,-0.014499999999999966,13.69,1,49,49,1.0
106061,-0.07669999999999995,13.6,3,31,31,1.0
109287,-0.007000000000000006,14.34,2,47,47,1.0
112753,-0.05429999999999999,13.63,0,43,43,1.0
115707,-0.0169,14.71,1,47,47,1.0
118927,-0.033400000000000006,13.41,0,49,49,1.0
121989,-0.046699999999999964,14.3,1,46,46,1.0
125311,-0.041399999999999965,13.52,0,48,48,1.0
128563,-0.04379999999999997,13.48,2,43,43,1.0
131791,-0.040099999999999955,14.25,1,43,43,1.0
135019,-0.09879999999999999,14.14,0,32,32,1.0
138343,-0.08249999999999998,14.03,1,37,37,1.0
141569,-0.01079999999999997,13.46,1,51,51,1.0
144959,-0.04099999999999993,14.61,0,46,46,1.0
148495,-0.016899999999999984,13.57,0,50,50,1.0
151887,-0.054699999999999964,14.01,0,45,45,1.0
154911,-0.05029999999999995,14.21,1,43,43,1.0
158295,-0.01829999999999998,14.22,1,49,49,1.0
161665,-0.04529999999999998,15.44,0,46,46,1.0
165225,-0.012299999999999998,14.65,1,47,47,1.0
168469,-0.02249999999999998,14.46,0,53,53,1.0
171581,-0.04809999999999997,13.44,2,44,44,1.0
174977,-0.06069999999999997,13.71,0,41,41,1.0
178325,-0.049,13.55,0,46,46,1.0
181609,-0.031399999999999983,14.08,1,45,45,1.0
184767,-0.023099999999999996,13.92,1,45,45,1.0
188177,-0.05689999999999999,13.27,0,47,47,1.0
191421,-0.06679999999999994,14.58,0,41,41,1.0
194560,-0.013399999999999933,14.2,3,46,46,1.0
197760,-0.02240000000000001,13.13,1,49,49,1.0
201048,-0.04569999999999997,13.51,0,48,48,1.0
204470,-0.05589999999999997,13.42,0,47,47,1.0
207668,-0.03399999999999999,14.41,0,44,44,1.0
211027,-0.03629999999999998,14.44,1,45,45,1.0
214515,0.024400000000000012,13.53,0,63,63,1.0
217874,-0.029399999999999933,13.75,1,48,48,1.0
221174,-0.03839999999999999,14.27,0,46,46,1.0
224402,-0.0958,13.96,0,38,38,1.0
227594,-0.07349999999999997,13.12,1,39,39,1.0
230977,-0.04029999999999992,13.86,0,46,46,1.0
234239,-0.014900000000000009,14.42,2,45,45,1.0
237769,-0.023299999999999998,13.8,2,45,45,1.0
241335,-0.03649999999999998,13.7,0,48,48,1.0
244391,0.00029999999999998973,13.59,2,51,51,1.0
247651,-0.05279999999999996,13.87,0,45,45,1.0
250959,-0.06979999999999997,13.98,0,40,40,1.0
254197,-0.04209999999999997,15.01,1,46,46,1.0
257717,0.04590000000000009,14.28,3,58,58,1.0
261033,-0.03879999999999999,14.62,0,48,48,1.0
264439,-0.012899999999999981,14.17,0,52,52,1.0
267678,-0.07329999999999996,14.24,0,43,43,1.0
270992,-0.044099999999999966,13.4,0,47,47,1.0
274376,-0.028999999999999995,13.97,1,48,48,1.0
277516,-0.02939999999999996,15.45,1,44,44,1.0
280872,-0.07659999999999999,14.18,1,39,39,1.0
284210,-0.07659999999999997,14.39,1,36,36,1.0
287496,0.005600000000000013,13.78,2,52,52,1.0
290596,-0.02049999999999999,14.47,0,48,48,1.0
294054,-0.05439999999999995,13.66,1,42,42,1.0
297170,0.02270000000000002,13.81,1,56,56,1.0
300630,-0.022600000000000006,14.2,0,50,50,1.0
304046,0.014300000000000024,13.87,1,54,54,1.0
307360,-0.026999999999999982,14.78,1,44,44,1.0
310688,-0.0219,13.47,2,44,44,1.0
314212,-0.03559999999999996,14.68,0,47,47,1.0
317778,-0.04099999999999999,13.11,0,48,48,1.0
321252,-0.007199999999999997,13.73,1,51,51,1.0
324386,-0.010200000000000004,14.07,0,51,51,1.0
327869,0.014099999999999994,14.03,2,53,53,1.0
331037,-0.013000000000000003,14.22,0,52,52,1.0
334302,-0.02469999999999999,14.02,0,49,49,1.0
337742,-0.06869999999999997,13.48,0,39,39,1.0
341016,-0.029199999999999976,13.91,0,52,52,1.0
344024,-0.03629999999999999,14.21,2,41,41,1.0
347248,-0.0507,13.83,2,41,41,1.0
350553,-0.04389999999999998,13.88,2,39,39,1.0
353627,0.0004999999999999932,14.8,0,54,54,1.0
357045,-0.0889,14.79,0,35,35,1.0
360327,-0.06179999999999997,13.53,0,44,44,1.0
363625,0.013999999999999995,14.08,2,53,53,1.0
366937,-0.024500000000000008,14.16,3,44,44,1.0
370409,-0.058199999999999974,13.98,0,39,39,1.0
373695,-0.035099999999999965,13.25,2,43,43,1.0
377133,-0.05089999999999995,13.39,1,46,46,1.0
380453,-0.011999999999999986,14.8,1,51,51,1.0
383799,-0.07319999999999993,13.42,0,42,42,1.0
386905,-0.05549999999999997,14.04,0,39,39,1.0
390291,-0.0272,15.07,0,47,47,1.0
393547,-0.034099999999999964,14.05,0,51,51,1.0
396832,-0.017499999999999967,13.57,3,45,45,1.0
400060,-0.07469999999999996,14.03,0,43,43,1.0
403306,-0.012400000000000005,13.76,3,42,42,1.0
406630,-0.023699999999999957,14.62,2,44,44,1.0
410072,-0.04669999999999996,15.04,0,46,46,1.0
413470,-0.06119999999999998,14.19,1,37,37,1.0
416620,-0.011699999999999999,14.68,0,54,54,1.0
419822,-0.06079999999999997,13.46,0,44,44,1.0
422908,-0.0007999999999999674,14.18,3,46,46,1.0
426092,-0.07959999999999998,13.74,0,40,40,1.0
429508,-0.0622,13.28,0,42,42,1.0
432824,-0.03459999999999997,14.03,0,50,50,1.0
436280,-0.0181,14.5,1,47,47,1.0
439527,-0.0626,14.67,1,36,36,1.0
442725,-0.013000000000000013,13.47,1,52,52,1.0
445783,0.006600000000000008,12.98,1,56,56,1.0
448907,-0.01759999999999996,13.8,2,48,48,1.0
452043,-0.034600000000000006,14.47,1,44,44,1.0
455470,-0.0109,13.18,3,47,47,1.0
458696,-0.03809999999999998,14.06,1,43,43,1.0
462032,0.014899999999999993,15.69,1,54,54,1.0
465248,-0.04349999999999994,14.66,0,46,46,1.0
468426,-0.07559999999999997,14.43,0,39,39,1.0
471600,-0.00319999999999998,14.87,3,47,47,1.0
475052,-0.029599999999999977,14.0,1,48,48,1.0
478362,-0.07379999999999995,14.72,0,37,37,1.0
481942,-0.03159999999999999,13.44,1,48,48,1.0
485312,0.021700000000000063,14.23,2,53,53,1.0
488676,-0.02999999999999996,13.32,2,43,43,1.0
491914,-0.02409999999999994,14.13,0,49,49,1.0
495350,-0.06119999999999998,14.22,1,38,38,1.0
498320,-0.012500000000000011,14.59,3,46,46,1.0
501310,-0.07879999999999998,14.63,2,33,33,1.0
504724,-0.07209999999999998,13.38,0,43,43,1.0
507958,-0.010200000000000002,13.99,2,48,48,1.0
511476,-0.04669999999999994,14.46,0,46,46,1.0
514462,-0.04619999999999995,13.08,1,42,42,1.0
517622,-0.05399999999999998,14.69,1,38,38,1.0
520994,-0.036699999999999976,14.01,0,51,51,1.0
524232,-0.029599999999999994,14.43,1,47,47,1.0
527706,-0.04929999999999996,13.88,1,40,40,1.0
530988,-0.04019999999999997,14.08,0,45,45,1.0
534396,-0.06819999999999997,13.9,0,41,41,1.0
537822,-0.06649999999999996,13.59,1,40,40,1.0
541166,-0.04039999999999996,14.87,1,46,46,1.0
544480,-0.0873000000000001,12.55,1,35,35,1.0
547570,-0.06509999999999998,14.03,1,42,42,1.0
551020,-0.049999999999999975,14.06,1,42,42,1.0
554308,-0.04969999999999995,13.78,2,39,39,1.0
557609,-0.06709999999999995,13.64,0,38,38,1.0
561177,-0.035699999999999996,13.83,1,46,46,1.0
564297,-0.060799999999999944,14.25,0,40,40,1.0
567559,0.035500000000000066,15.27,2,58,58,1.0
570925,-0.05949999999999992,13.64,0,44,44,1.0
574451,-0.06629999999999997,13.87,0,45,45,1.0
577615,-0.03949999999999999,14.37,0,46,46,1.0
580783,-0.02289999999999999,13.93,2,48,48,1.0
583961,-0.02029999999999998,15.0,1,47,47,1.0
587600,-0.029199999999999973,15.93,0,48,48,1.0
591205,-0.003200000000000001,14.14,2,47,47,1.0
594845,-0.036599999999999994,13.72,1,43,43,1.0
597987,-0.0253,13.05,1,46,46,1.0
601147,-0.06739999999999999,14.41,1,35,35,1.0
604659,-0.05809999999999996,13.71,1,41,41,1.0
607947,-0.010600000000000004,13.25,1,51,51,1.0
611073,-0.05639999999999998,13.61,0,41,41,1.0
614287,-0.07999999999999996,13.68,0,38,38,1.0
617469,-0.0676,13.93,0,39,39,1.0
620907,-0.07699999999999997,14.44,0,38,38,1.0
624347,-0.05069999999999999,13.93,0,45,45,1.0
627841,-0.034699999999999946,13.89,1,45,45,1.0
631105,-0.04609999999999994,13.41,0,44,44,1.0
634469,-0.03399999999999997,14.15,1,41,41,1.0
637807,-0.048699999999999966,14.1,1,43,43,1.0
641231,-0.06659999999999992,13.61,0,43,43,1.0
644535,-0.02619999999999999,14.49,1,44,44,1.0
647565,-0.06369999999999998,15.15,1,36,36,1.0
650765,-0.05769999999999997,13.98,2,36,36,1.0
654149,-0.07209999999999996,13.51,0,40,40,1.0
657327,-0.06659999999999998,13.68,1,44,44,1.0
