timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2055999999999996,23.48,4,89,159,0.559748427672956
3202,0.2400999999999996,21.65,6,92,161,0.5714285714285714
6570,0.25449999999999956,22.68,8,90,178,0.5056179775280899
9811,0.22289999999999957,23.33,4,94,161,0.5838509316770186
13131,0.1952999999999997,22.84,1,96,153,0.6274509803921569
16367,0.20079999999999967,21.23,3,92,153,0.6013071895424836
19245,0.20929999999999968,21.86,6,87,153,0.5686274509803921
22523,0.22849999999999962,22.0,5,92,171,0.5380116959064327
25515,0.20619999999999972,21.51,3,92,166,0.5542168674698795
28662,0.22449999999999964,22.32,5,91,171,0.5321637426900585
31638,0.2100999999999997,22.3,4,91,157,0.5796178343949044
34504,0.20379999999999965,22.79,4,90,168,0.5357142857142857
37594,0.2275999999999997,24.46,7,86,160,0.5375
40666,0.21079999999999965,22.71,4,91,164,0.5548780487804879
43560,0.24109999999999965,21.45,6,92,162,0.5679012345679012
46452,0.25849999999999956,21.03,8,90,169,0.5325443786982249
49418,0.20849999999999966,22.8,2,96,169,0.5680473372781065
52603,0.2879999999999996,21.11,11,89,156,0.5705128205128205
55556,0.2614999999999997,22.11,9,89,168,0.5297619047619048
58558,0.2393999999999996,21.77,7,89,141,0.6312056737588653
61554,0.20399999999999963,22.59,2,95,176,0.5397727272727273
64496,0.2303999999999996,22.9,6,91,162,0.5617283950617284
67405,0.20019999999999968,23.79,4,87,159,0.5471698113207547
70465,0.21759999999999963,24.01,4,92,172,0.5348837209302325
73673,0.25219999999999954,21.58,7,92,144,0.6388888888888888
76611,0.2147999999999996,20.9,3,95,142,0.6690140845070423
79513,0.19609999999999966,22.55,2,92,160,0.575
82589,0.24099999999999963,21.41,7,89,153,0.5816993464052288
85531,0.2048999999999997,21.79,5,87,143,0.6083916083916084
88405,0.2147999999999996,22.71,4,92,156,0.5897435897435898
91431,0.25499999999999956,21.93,9,87,159,0.5471698113207547
94445,0.2074999999999997,22.23,4,90,157,0.5732484076433121
97357,0.20369999999999963,23.28,3,93,157,0.5923566878980892
100139,0.2015999999999996,21.29,2,94,158,0.5949367088607594
103089,0.20499999999999965,21.61,2,96,185,0.518918918918919
106045,0.1963999999999998,24.32,4,88,168,0.5238095238095238
109193,0.22839999999999963,20.86,6,89,144,0.6180555555555556
112045,0.2509999999999996,21.12,7,92,163,0.5644171779141104
115043,0.19869999999999965,20.28,3,90,135,0.6666666666666666
117850,0.2007999999999997,23.0,3,90,173,0.5202312138728323
120759,0.21439999999999965,22.05,3,94,140,0.6714285714285714
123873,0.21709999999999968,23.1,3,95,166,0.572289156626506
126877,0.23709999999999962,22.66,6,91,150,0.6066666666666667
129755,0.22729999999999964,21.88,4,95,163,0.5828220858895705
132917,0.2263999999999996,21.83,6,90,182,0.4945054945054945
135960,0.20919999999999964,21.03,3,93,156,0.5961538461538461
139034,0.20139999999999958,23.21,3,92,149,0.6174496644295302
141936,0.23399999999999957,22.39,5,93,169,0.5502958579881657
144894,0.2561999999999996,22.09,8,90,173,0.5202312138728323
147954,0.23619999999999958,21.84,6,91,155,0.5870967741935483
151190,0.20749999999999966,22.03,3,94,150,0.6266666666666667
154391,0.2334999999999996,22.42,5,93,177,0.5254237288135594
157509,0.21709999999999965,23.07,6,87,148,0.5878378378378378
160579,0.23979999999999968,22.77,7,89,152,0.5855263157894737
163496,0.21599999999999964,20.95,2,98,165,0.593939393939394
166341,0.24159999999999962,22.74,7,89,175,0.5085714285714286
169449,0.22649999999999962,22.06,4,95,145,0.6551724137931034
172434,0.22929999999999964,22.41,4,95,168,0.5654761904761905
175265,0.25309999999999955,22.13,7,92,163,0.5644171779141104
178279,0.24199999999999963,22.57,8,87,164,0.5304878048780488
181157,0.19419999999999973,21.81,2,93,153,0.6078431372549019
184005,0.20309999999999964,21.67,3,92,149,0.6174496644295302
186959,0.2325999999999996,22.78,6,90,167,0.5389221556886228
189879,0.22679999999999964,21.17,4,95,167,0.5688622754491018
193055,0.23669999999999958,20.74,5,94,141,0.6666666666666666
196109,0.20109999999999972,22.73,5,85,177,0.480225988700565
199133,0.22049999999999964,22.39,3,96,174,0.5517241379310345
202009,0.23199999999999957,20.3,4,96,168,0.5714285714285714
205003,0.19119999999999965,21.59,1,95,150,0.6333333333333333
208028,0.20479999999999965,22.01,3,93,139,0.6690647482014388
210884,0.2560999999999996,20.62,8,90,140,0.6428571428571429
213778,0.23219999999999957,22.16,5,93,172,0.5406976744186046
216716,0.2269999999999996,21.48,5,92,162,0.5679012345679012
219666,0.20639999999999964,21.32,3,93,175,0.5314285714285715
222628,0.2514999999999996,21.17,8,89,178,0.5
225504,0.2169999999999996,21.96,3,95,165,0.5757575757575758
228406,0.2086999999999996,23.46,4,91,160,0.56875
231268,0.19189999999999977,21.61,3,90,137,0.656934306569343
234296,0.2245999999999996,21.56,4,94,169,0.5562130177514792
237248,0.21019999999999964,22.8,3,93,155,0.6
240287,0.26609999999999956,22.11,10,87,180,0.48333333333333334
243203,0.21959999999999966,23.81,6,87,153,0.5686274509803921
246279,0.19419999999999965,21.83,2,92,169,0.5443786982248521
249089,0.2227999999999996,22.92,5,91,157,0.5796178343949044
252073,0.18449999999999975,23.61,2,90,144,0.625
255433,0.2112999999999997,22.23,4,90,159,0.5660377358490566
258513,0.22019999999999976,23.16,6,87,169,0.514792899408284
261485,0.21879999999999966,20.01,4,93,152,0.6118421052631579
264416,0.2544999999999996,21.05,8,89,152,0.5855263157894737
267512,0.2399999999999996,21.82,5,95,170,0.5588235294117647
270553,0.23069999999999957,21.34,5,93,184,0.5054347826086957
273451,0.2267999999999996,21.39,5,92,146,0.6301369863013698
276451,0.21629999999999963,20.82,4,92,137,0.6715328467153284
279423,0.23789999999999956,21.95,6,92,164,0.5609756097560976
282631,0.2192999999999997,22.01,6,88,151,0.5827814569536424
285649,0.22519999999999965,22.17,6,88,151,0.5827814569536424
288676,0.19889999999999966,22.1,3,91,145,0.6275862068965518
291434,0.19929999999999976,23.25,3,91,150,0.6066666666666667
294594,0.21959999999999966,21.6,3,96,181,0.5303867403314917
297615,0.21179999999999968,22.52,5,88,166,0.5301204819277109
300603,0.22579999999999964,21.8,4,94,162,0.5802469135802469
303663,0.22219999999999962,22.15,6,89,159,0.559748427672956
306536,0.24889999999999965,23.67,7,92,189,0.48677248677248675
309450,0.2173999999999997,23.76,6,86,162,0.5308641975308642
312442,0.23289999999999966,21.16,5,93,169,0.5502958579881657
315425,0.2308999999999996,22.26,6,89,163,0.5460122699386503
318529,0.24519999999999956,22.57,7,90,160,0.5625
321416,0.2063999999999996,22.17,3,92,161,0.5714285714285714
324498,0.20249999999999965,23.91,2,95,161,0.5900621118012422
327763,0.22439999999999963,21.11,6,89,160,0.55625
330706,0.21579999999999963,23.37,4,92,184,0.5
333903,0.23539999999999964,22.39,6,91,160,0.56875
336755,0.23299999999999954,22.23,5,93,178,0.5224719101123596
339945,0.23249999999999965,22.21,8,85,135,0.6296296296296297
342961,0.23679999999999965,21.97,6,91,151,0.6026490066225165
345847,0.22299999999999962,21.9,5,91,161,0.5652173913043478
349096,0.19599999999999965,22.64,2,93,159,0.5849056603773585
352160,0.23329999999999956,22.48,6,90,156,0.5769230769230769
355018,0.22459999999999958,21.04,4,94,138,0.6811594202898551
358040,0.1985999999999996,23.69,3,91,147,0.6190476190476191
361086,0.20199999999999968,22.34,2,95,171,0.5555555555555556
363998,0.23979999999999957,21.24,6,92,140,0.6571428571428571
366906,0.21769999999999967,22.92,5,89,186,0.478494623655914
369900,0.18189999999999965,22.75,1,93,160,0.58125
372950,0.22779999999999961,21.95,6,89,164,0.5426829268292683
376144,0.2337999999999997,23.87,6,90,154,0.5844155844155844
379096,0.20629999999999962,22.51,2,95,156,0.6089743589743589
382203,0.22669999999999957,23.42,6,89,169,0.5266272189349113
385151,0.19289999999999963,23.54,3,90,153,0.5882352941176471
388187,0.2074999999999996,22.82,3,93,177,0.5254237288135594
391189,0.21019999999999964,22.85,3,93,168,0.5535714285714286
394073,0.2157999999999996,22.53,4,91,183,0.4972677595628415
397151,0.2481999999999996,20.74,8,89,148,0.6013513513513513
400131,0.2042999999999996,21.25,1,98,156,0.6282051282051282
403065,0.2371999999999996,21.42,5,94,171,0.5497076023391813
405903,0.23689999999999967,20.35,5,94,141,0.6666666666666666
408715,0.22789999999999971,21.94,6,90,150,0.6
411631,0.1736999999999997,23.21,1,91,168,0.5416666666666666
414637,0.22379999999999955,22.06,4,94,167,0.562874251497006
417531,0.23219999999999963,21.79,5,93,148,0.6283783783783784
420437,0.2309999999999996,21.47,5,93,171,0.543859649122807
423703,0.20029999999999973,24.32,5,85,153,0.5555555555555556
426645,0.21639999999999965,21.74,5,90,142,0.6338028169014085
429705,0.21569999999999964,19.12,5,90,155,0.5806451612903226
432771,0.1991999999999996,22.78,4,89,165,0.5393939393939394
435865,0.22529999999999967,22.85,4,94,158,0.5949367088607594
438896,0.2076999999999996,20.84,2,96,142,0.676056338028169
441732,0.2428999999999996,21.4,6,93,173,0.5375722543352601
444784,0.1989999999999997,22.29,2,94,159,0.5911949685534591
447624,0.22239999999999965,22.24,4,94,145,0.6482758620689655
450703,0.20529999999999962,22.33,2,95,159,0.5974842767295597
453726,0.22349999999999962,22.14,5,92,158,0.5822784810126582
456806,0.21019999999999966,23.04,4,91,157,0.5796178343949044
