timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07019999999999998,14.0,0,42,57,0.7368421052631579
3255,-0.0335,15.21,0,45,75,0.6
6471,-0.053099999999999994,15.2,2,37,56,0.6607142857142857
9935,-0.05529999999999999,14.67,1,40,64,0.625
13031,-0.0007000000000000112,15.18,3,39,62,0.6290322580645161
16133,-0.0805,13.91,0,33,54,0.6111111111111112
19103,-0.00039999999999999996,15.88,2,47,76,0.618421052631579
22251,-0.046699999999999985,14.12,0,43,63,0.6825396825396826
25353,-0.023700000000000006,14.01,4,39,55,0.7090909090909091
28389,-0.0627,14.22,1,38,55,0.6909090909090909
31482,-0.04959999999999996,14.1,2,38,56,0.6785714285714286
34352,-0.06849999999999996,14.49,1,36,65,0.5538461538461539
37306,-0.08000000000000002,15.97,2,31,51,0.6078431372549019
40425,-0.03709999999999997,14.59,3,37,64,0.578125
43327,-0.04589999999999998,13.65,1,41,62,0.6612903225806451
46119,-0.03799999999999997,14.47,2,39,51,0.7647058823529411
49065,-0.07289999999999995,14.68,0,40,61,0.6557377049180327
52181,-0.06079999999999996,13.85,2,38,50,0.76
55035,-0.08810000000000001,13.91,2,30,53,0.5660377358490566
58001,-0.0801,14.16,0,38,56,0.6785714285714286
61002,-0.06279999999999998,14.02,1,39,55,0.7090909090909091
63932,-0.06749999999999998,14.1,1,40,64,0.625
66856,-0.043800000000000006,15.32,2,40,58,0.6896551724137931
70076,-0.041399999999999965,15.44,1,40,67,0.5970149253731343
73104,-0.098,13.95,0,31,54,0.5740740740740741
75947,-0.0325,14.82,0,42,56,0.75
78911,-0.05349999999999995,14.67,2,40,64,0.625
81873,-0.07159999999999997,14.05,1,37,61,0.6065573770491803
84848,-0.07489999999999992,13.73,0,38,62,0.6129032258064516
87730,-0.052899999999999975,14.43,3,37,59,0.6271186440677966
90711,-0.042399999999999986,14.07,1,39,59,0.6610169491525424
93565,-0.04109999999999992,14.07,1,41,57,0.7192982456140351
96435,-0.06669999999999995,14.56,2,34,52,0.6538461538461539
99365,-0.054500000000000014,14.16,2,35,56,0.625
102307,-0.07099999999999994,14.07,0,40,52,0.7692307692307693
105115,-0.03839999999999999,14.73,3,38,60,0.6333333333333333
108043,-0.053,13.63,2,38,53,0.7169811320754716
110991,-0.07679999999999997,14.46,0,37,63,0.5873015873015873
113961,-0.05259999999999997,13.68,2,38,58,0.6551724137931034
116731,-0.07089999999999995,13.98,1,39,54,0.7222222222222222
119602,-0.058699999999999974,15.35,1,39,61,0.639344262295082
122604,-0.1184,13.96,0,27,39,0.6923076923076923
125418,-0.0786,14.77,3,32,50,0.64
128390,0.014499999999999999,14.16,3,49,69,0.7101449275362319
131330,-0.04219999999999996,14.95,1,42,75,0.56
134262,-0.06199999999999995,14.11,1,36,57,0.631578947368421
137206,-0.07019999999999998,14.31,3,32,60,0.5333333333333333
140134,-0.04959999999999995,14.55,1,41,63,0.6507936507936508
143128,-0.04689999999999997,14.54,1,41,64,0.640625
146180,-0.03609999999999995,16.22,2,39,68,0.5735294117647058
149429,-0.00019999999999999296,14.37,3,43,65,0.6615384615384615
152597,-0.04809999999999996,15.36,0,45,73,0.6164383561643836
155745,-0.0328,14.2,3,43,62,0.6935483870967742
158771,-0.040799999999999954,14.21,1,40,64,0.625
161599,0.009000000000000032,14.05,3,48,77,0.6233766233766234
164571,-0.06699999999999996,14.62,1,37,59,0.6271186440677966
167491,-0.05499999999999998,14.12,1,38,55,0.6909090909090909
170499,-0.1043,13.43,1,34,51,0.6666666666666666
173425,-0.10120000000000008,14.28,1,29,45,0.6444444444444445
176383,-0.051999999999999956,13.92,4,34,55,0.6181818181818182
179415,-0.07519999999999998,13.63,2,30,47,0.6382978723404256
182342,-0.024899999999999985,13.93,1,49,73,0.6712328767123288
185318,-0.09020000000000007,13.12,0,39,51,0.7647058823529411
188146,-0.0252,15.21,0,41,67,0.6119402985074627
