timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.011699999999999997,15.58,2,44,67,0.6567164179104478
3377,-0.004400000000000005,15.87,0,53,68,0.7794117647058824
6679,-0.0036000000000000125,15.65,2,49,66,0.7424242424242424
9773,0.025200000000000028,15.78,3,53,70,0.7571428571428571
12935,-0.008899999999999986,16.65,2,44,73,0.6027397260273972
16119,0.02550000000000002,15.65,3,51,78,0.6538461538461539
19226,0.03560000000000001,16.84,3,52,82,0.6341463414634146
22423,0.004599999999999999,15.75,1,52,71,0.7323943661971831
25611,0.002200000000000032,14.19,1,50,75,0.6666666666666666
28671,0.03150000000000006,16.29,2,55,77,0.7142857142857143
31695,-0.03719999999999997,15.36,0,45,59,0.7627118644067796
34688,-0.033999999999999975,15.62,1,42,69,0.6086956521739131
37726,-0.031300000000000015,16.1,1,45,67,0.6716417910447762
40906,0.05050000000000007,15.32,3,55,78,0.7051282051282052
43834,-0.022499999999999947,15.23,0,47,68,0.6911764705882353
46666,0.007299999999999996,15.49,1,52,68,0.7647058823529411
49668,-0.04579999999999998,15.99,0,45,62,0.7258064516129032
52902,0.01620000000000002,15.66,1,55,72,0.7638888888888888
55788,0.009900000000000003,14.52,3,50,73,0.684931506849315
58676,0.014999999999999998,15.99,3,46,66,0.696969696969697
61630,-0.014499999999999987,14.8,3,45,62,0.7258064516129032
64644,-0.06159999999999998,15.14,1,37,60,0.6166666666666667
67479,0.0127,16.2,1,55,73,0.7534246575342466
70631,0.019899999999999998,17.3,0,56,90,0.6222222222222222
73755,0.01080000000000003,14.97,3,48,63,0.7619047619047619
76719,-0.0077,15.91,1,46,65,0.7076923076923077
79679,0.006000000000000001,15.84,0,56,78,0.717948717948718
82767,-0.030300000000000004,15.08,3,38,62,0.6129032258064516
85768,-0.014800000000000013,14.81,1,48,63,0.7619047619047619
88772,0.013100000000000007,14.94,4,48,64,0.75
91738,0.030700000000000078,15.39,3,51,71,0.7183098591549296
94650,0.002599999999999994,15.72,2,48,68,0.7058823529411765
97610,-0.018599999999999995,15.24,3,43,54,0.7962962962962963
100565,0.016999999999999994,14.64,2,54,66,0.8181818181818182
103448,-0.03919999999999997,14.59,0,47,63,0.746031746031746
106302,0.003299999999999995,15.94,3,47,65,0.7230769230769231
109398,-0.006200000000000008,14.67,2,48,69,0.6956521739130435
112264,-0.048899999999999964,14.64,0,44,72,0.6111111111111112
115206,-0.007500000000000007,14.93,1,51,75,0.68
118070,-0.02029999999999994,15.45,1,48,66,0.7272727272727273
121103,0.012199999999999996,16.39,3,47,72,0.6527777777777778
124273,-0.04039999999999999,15.43,1,42,57,0.7368421052631579
127259,-0.04149999999999999,16.13,2,36,57,0.631578947368421
130257,0.05680000000000003,15.69,2,61,89,0.6853932584269663
133337,0.006199999999999999,16.45,2,48,78,0.6153846153846154
136503,0.013600000000000001,15.77,2,50,78,0.6410256410256411
139401,-0.01700000000000001,14.59,3,43,62,0.6935483870967742
142263,-0.008399999999999987,15.68,4,41,58,0.7068965517241379
145099,-0.004299999999999996,16.05,1,48,74,0.6486486486486487
148087,0.01960000000000001,16.34,1,52,90,0.5777777777777777
151292,0.025900000000000038,15.83,2,53,75,0.7066666666666667
154354,0.0028000000000000173,16.09,2,51,70,0.7285714285714285
157428,-0.015300000000000003,16.24,0,54,79,0.6835443037974683
160370,-0.00600000000000001,15.87,2,46,67,0.6865671641791045
163128,0.038300000000000084,15.07,1,61,91,0.6703296703296703
166068,0.018,15.61,6,41,66,0.6212121212121212
169104,-0.002899999999999997,15.46,0,53,74,0.7162162162162162
172156,-0.023499999999999993,15.0,0,52,72,0.7222222222222222
175065,-0.0144,15.83,2,46,72,0.6388888888888888
178155,0.01850000000000002,15.81,4,46,71,0.647887323943662
181051,0.00840000000000002,14.72,1,54,76,0.7105263157894737
183859,-0.007300000000000004,14.82,1,51,75,0.68
186667,-0.006000000000000008,15.61,2,50,75,0.6666666666666666
189555,-0.01370000000000001,15.84,2,40,73,0.547945205479452
192565,-0.01049999999999998,15.51,3,44,62,0.7096774193548387
195676,0.04160000000000004,16.55,2,57,84,0.6785714285714286
198785,-0.024,14.9,1,47,73,0.6438356164383562
201637,-0.01020000000000001,15.38,0,49,71,0.6901408450704225
204571,-0.042099999999999964,15.62,1,41,52,0.7884615384615384
207549,-0.02439999999999996,15.19,2,44,68,0.6470588235294118
210467,0.017900000000000017,15.77,4,46,74,0.6216216216216216
213295,-0.0008999999999999986,15.48,2,47,58,0.8103448275862069
216399,-0.007300000000000009,15.22,1,51,74,0.6891891891891891
219361,-0.017599999999999994,15.59,0,49,72,0.6805555555555556
222229,0.0101,15.35,1,51,66,0.7727272727272727
225253,0.010300000000000002,15.12,3,46,61,0.7540983606557377
228205,-0.04439999999999996,15.29,0,46,74,0.6216216216216216
231141,0.006099999999999989,15.98,2,55,84,0.6547619047619048
234323,0.03960000000000001,15.68,3,51,93,0.5483870967741935
237262,0.025700000000000056,15.56,3,52,87,0.5977011494252874
240323,0.03600000000000004,15.62,3,53,73,0.726027397260274
243381,-0.04650000000000001,16.12,0,44,68,0.6470588235294118
246493,-0.023200000000000012,14.69,1,47,67,0.7014925373134329
249275,0.0007000000000000206,16.21,2,48,72,0.6666666666666666
252233,-0.002200000000000005,16.61,2,46,65,0.7076923076923077
255503,-0.018399999999999993,15.39,1,49,67,0.7313432835820896
258455,-0.013500000000000012,15.24,1,49,74,0.6621621621621622
261493,-0.006100000000000006,15.44,0,52,70,0.7428571428571429
264483,-0.022399999999999993,15.53,1,46,67,0.6865671641791045
267507,0.023500000000000007,16.15,2,53,71,0.7464788732394366
270415,0.06890000000000007,15.07,4,58,84,0.6904761904761905
273454,0.010300000000000014,15.72,0,56,86,0.6511627906976745
276482,0.028900000000000068,14.76,4,49,69,0.7101449275362319
279561,0.02300000000000001,15.69,1,57,74,0.7702702702702703
282567,-0.01699999999999998,15.79,1,49,69,0.7101449275362319
285511,0.011999999999999993,15.65,0,52,76,0.6842105263157895
288385,-0.013700000000000006,14.71,2,46,69,0.6666666666666666
291309,0.005799999999999991,15.77,2,47,68,0.6911764705882353
294261,0.0304,15.73,3,50,78,0.6410256410256411
297387,0.019899999999999994,15.16,4,49,76,0.6447368421052632
300367,0.010100000000000022,16.54,1,52,67,0.7761194029850746
303347,-0.024999999999999988,14.81,1,45,67,0.6716417910447762
306225,-0.029399999999999968,14.41,2,41,75,0.5466666666666666
309207,0.007099999999999998,15.6,3,50,64,0.78125
312080,0.014899999999999995,16.59,3,49,70,0.7
315156,-0.011599999999999975,14.84,2,48,71,0.676056338028169
318239,-0.013300000000000005,15.88,1,46,95,0.4842105263157895
321151,-0.0065000000000000014,15.39,1,47,73,0.6438356164383562
324125,-0.04539999999999995,15.81,1,40,55,0.7272727272727273
327231,-0.05229999999999997,15.98,1,39,61,0.639344262295082
330103,0.03540000000000005,15.46,3,52,70,0.7428571428571429
333159,0.014700000000000012,14.86,4,47,62,0.7580645161290323
336085,0.02990000000000001,15.89,2,55,65,0.8461538461538461
339011,0.007400000000000002,15.0,3,46,71,0.647887323943662
342089,-0.02369999999999999,16.03,0,51,65,0.7846153846153846
344962,0.02420000000000001,16.46,3,48,76,0.631578947368421
348114,0.011500000000000031,15.59,1,52,83,0.6265060240963856
351022,-0.022399999999999996,15.76,1,45,64,0.703125
353979,0.03440000000000006,15.6,0,59,76,0.7763157894736842
357095,-0.017100000000000014,15.61,2,44,67,0.6567164179104478
360042,0.0189,15.91,3,49,68,0.7205882352941176
362928,0.000399999999999993,15.97,2,48,79,0.6075949367088608
365762,-0.016900000000000012,14.97,2,44,59,0.7457627118644068
368762,-0.011100000000000013,16.52,1,49,71,0.6901408450704225
371750,-0.014799999999999997,16.04,2,44,63,0.6984126984126984
374832,-0.045799999999999993,15.21,1,40,70,0.5714285714285714
377732,0.02700000000000002,15.81,2,55,83,0.6626506024096386
380764,-0.03309999999999999,15.06,2,42,59,0.711864406779661
383662,0.02750000000000002,15.46,2,53,70,0.7571428571428571
386692,-0.05689999999999998,16.49,1,39,66,0.5909090909090909
389670,-0.016999999999999994,15.58,0,51,79,0.6455696202531646
392613,0.02950000000000004,14.77,3,53,80,0.6625
395677,0.04090000000000003,15.92,4,51,71,0.7183098591549296
398695,-0.013399999999999978,15.38,1,48,66,0.7272727272727273
401707,-0.008900000000000012,14.73,0,52,66,0.7878787878787878
404539,0.015599999999999987,14.8,3,50,73,0.684931506849315
407517,0.01100000000000002,14.6,1,57,86,0.6627906976744186
410320,0.016300000000000047,16.12,1,56,89,0.6292134831460674
413360,-0.00019999999999999546,14.79,3,48,68,0.7058823529411765
416407,-0.014499999999999999,14.95,1,47,66,0.7121212121212122
419365,0.015199999999999997,15.94,3,47,67,0.7014925373134329
422544,-0.013399999999999994,15.43,2,45,67,0.6716417910447762
425643,-0.016799999999999992,15.48,2,45,61,0.7377049180327869
428643,0.05400000000000008,17.02,4,52,82,0.6341463414634146
431679,-0.006999999999999993,15.48,4,41,58,0.7068965517241379
434659,0.006799999999999997,15.52,2,51,68,0.75
437692,-0.03409999999999994,15.24,0,51,63,0.8095238095238095
440706,0.017300000000000062,15.52,2,55,78,0.7051282051282052
443676,0.04210000000000003,15.02,5,48,74,0.6486486486486487
446458,-0.01679999999999999,15.84,0,49,75,0.6533333333333333
449506,0.015700000000000006,16.4,2,53,67,0.7910447761194029
452566,-0.03059999999999998,15.77,1,43,60,0.7166666666666667
455692,-0.0199,15.22,2,45,55,0.8181818181818182
458816,0.009800000000000017,14.79,3,50,83,0.6024096385542169
461622,0.018500000000000003,15.15,1,56,70,0.8
464688,-0.010099999999999998,15.77,3,45,65,0.6923076923076923
467682,-0.05209999999999998,14.49,0,45,69,0.6521739130434783
470621,0.0013999999999999946,15.99,2,46,69,0.6666666666666666
473810,0.02229999999999999,15.62,2,55,74,0.7432432432432432
476730,-0.0030000000000000022,16.26,1,48,79,0.6075949367088608
479905,0.015200000000000002,15.62,3,45,67,0.6716417910447762
482929,-0.0138,15.57,0,49,71,0.6901408450704225
485963,-0.005100000000000016,15.22,3,47,65,0.7230769230769231
488871,-0.024099999999999983,15.35,2,43,80,0.5375
491799,0.01299999999999999,15.47,3,49,83,0.5903614457831325
494941,0.0108,14.65,2,51,70,0.7285714285714285
497689,-0.01749999999999999,15.25,3,46,61,0.7540983606557377
500683,-0.00870000000000001,15.66,1,49,79,0.620253164556962
503726,-0.016500000000000004,15.68,1,44,57,0.7719298245614035
506520,-0.009599999999999989,15.25,1,45,73,0.6164383561643836
509504,-0.011800000000000007,15.41,2,46,74,0.6216216216216216
512244,0.03650000000000006,15.88,3,50,79,0.6329113924050633
515270,0.03940000000000006,16.36,2,56,81,0.691358024691358
518364,-0.006000000000000001,15.72,0,51,73,0.6986301369863014
521304,0.002200000000000031,16.2,0,55,79,0.6962025316455697
524118,-0.006700000000000003,16.09,2,43,62,0.6935483870967742
527148,0.0208,14.96,3,52,68,0.7647058823529411
530008,0.03530000000000004,16.78,2,54,79,0.6835443037974683
533300,0.041900000000000076,17.2,1,58,89,0.651685393258427
536746,0.03380000000000003,15.81,2,54,69,0.782608695652174
539774,-0.0061999999999999954,14.89,3,45,66,0.6818181818181818
542844,0.028800000000000013,14.41,4,48,54,0.8888888888888888
545702,-0.010600000000000004,16.07,3,42,54,0.7777777777777778
548802,0.03550000000000007,15.55,3,54,79,0.6835443037974683
551664,0.007700000000000005,14.24,3,47,68,0.6911764705882353
554386,-0.04159999999999995,15.17,1,38,58,0.6551724137931034
557332,-0.023799999999999984,15.55,0,51,79,0.6455696202531646
560360,-0.04779999999999998,15.52,0,44,59,0.7457627118644068
563455,-0.055299999999999946,15.45,1,40,55,0.7272727272727273
566507,-0.027999999999999994,16.84,1,45,72,0.625
569411,0.03580000000000001,15.9,3,52,83,0.6265060240963856
572375,0.02430000000000001,16.1,1,57,91,0.6263736263736264
575429,0.022900000000000014,15.64,2,52,77,0.6753246753246753
578485,-0.007699999999999996,15.5,2,47,55,0.8545454545454545
581467,-0.0070999999999999674,15.55,2,45,78,0.5769230769230769
584378,-0.011099999999999997,15.73,1,48,67,0.7164179104477612
587292,0.026600000000000023,15.88,4,50,74,0.6756756756756757
590478,0.019899999999999987,16.68,3,48,74,0.6486486486486487
593559,-0.02670000000000001,14.86,1,44,80,0.55
596523,-0.006600000000000019,16.04,2,48,66,0.7272727272727273
