timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.41349999999999926,22.44,4,94,148,0.6351351351351351
3433,0.4241999999999993,22.73,6,92,179,0.5139664804469274
6694,0.3883999999999994,23.34,3,92,168,0.5476190476190477
9902,0.4216999999999993,22.72,8,88,158,0.5569620253164557
13196,0.37049999999999933,23.41,3,88,142,0.6197183098591549
16374,0.4056999999999993,20.76,2,97,161,0.6024844720496895
19306,0.38969999999999927,21.07,1,96,165,0.5818181818181818
22682,0.3754999999999994,23.32,5,86,168,0.5119047619047619
25730,0.40119999999999933,20.65,4,93,166,0.5602409638554217
28868,0.39879999999999927,21.12,5,90,161,0.5590062111801242
31933,0.38509999999999933,21.88,5,87,165,0.5272727272727272
34841,0.4034999999999993,23.76,6,89,170,0.5235294117647059
37957,0.37889999999999935,23.51,2,92,161,0.5714285714285714
41105,0.4059999999999995,23.33,8,85,163,0.5214723926380368
43989,0.3878999999999993,21.21,2,94,169,0.5562130177514792
46801,0.41639999999999927,21.71,5,93,156,0.5961538461538461
49777,0.39909999999999934,22.78,4,92,170,0.5411764705882353
52793,0.41699999999999926,21.39,6,91,171,0.5321637426900585
55725,0.38459999999999944,22.18,4,90,170,0.5294117647058824
58691,0.39689999999999925,21.18,3,94,156,0.6025641025641025
61669,0.40519999999999934,21.15,4,93,152,0.6118421052631579
64683,0.40699999999999925,20.89,5,91,151,0.6026490066225165
67718,0.37629999999999947,22.88,4,88,155,0.567741935483871
70734,0.3790999999999995,25.36,4,88,161,0.546583850931677
73886,0.3948999999999993,21.41,3,93,172,0.5406976744186046
76606,0.3775999999999993,21.5,2,92,169,0.5443786982248521
79578,0.39529999999999943,22.92,4,91,150,0.6066666666666667
82548,0.3988999999999992,22.8,5,90,163,0.5521472392638037
85594,0.42229999999999934,21.63,9,86,161,0.5341614906832298
88558,0.44169999999999926,22.91,10,87,159,0.5471698113207547
91584,0.3996999999999993,24.23,5,90,178,0.5056179775280899
94532,0.42379999999999923,22.81,8,88,182,0.4835164835164835
97532,0.3980999999999993,23.66,5,90,171,0.5263157894736842
100369,0.3895999999999994,24.14,5,89,203,0.43842364532019706
103363,0.3791999999999993,22.89,6,85,151,0.5629139072847682
106275,0.40859999999999935,24.22,7,87,167,0.5209580838323353
109347,0.4062999999999994,20.82,6,89,153,0.5816993464052288
112269,0.4180999999999993,22.18,6,91,176,0.5170454545454546
115261,0.41799999999999926,21.16,3,97,156,0.6217948717948718
118075,0.39889999999999937,23.12,5,90,165,0.5454545454545454
121073,0.43879999999999925,20.37,8,91,150,0.6066666666666667
124100,0.4073999999999993,23.7,4,93,174,0.5344827586206896
126948,0.40429999999999927,23.42,5,91,189,0.48148148148148145
130044,0.4133999999999993,22.65,4,94,180,0.5222222222222223
133106,0.4063999999999993,22.41,5,91,155,0.5870967741935483
136148,0.3928999999999994,21.64,5,89,164,0.5426829268292683
139135,0.4168999999999993,22.27,6,91,166,0.5481927710843374
142021,0.4006999999999994,21.67,4,92,144,0.6388888888888888
144973,0.3925999999999993,23.1,2,95,175,0.5428571428571428
147911,0.40189999999999926,22.48,2,96,186,0.5161290322580645
151067,0.3515999999999994,21.96,2,88,150,0.5866666666666667
154271,0.38759999999999933,22.86,7,84,171,0.49122807017543857
157263,0.3831999999999994,24.01,3,91,172,0.5290697674418605
160310,0.38299999999999934,20.85,2,93,168,0.5535714285714286
163167,0.4078999999999994,19.01,4,93,160,0.58125
166080,0.40349999999999936,24.58,7,86,169,0.5088757396449705
169120,0.4328999999999993,20.54,7,92,150,0.6133333333333333
172112,0.3917999999999994,23.98,3,93,161,0.577639751552795
174996,0.39409999999999934,23.92,5,89,173,0.5144508670520231
177954,0.4104999999999993,20.61,3,96,144,0.6666666666666666
180867,0.40469999999999934,23.35,4,93,177,0.5254237288135594
183717,0.3931999999999994,22.37,3,93,155,0.6
186623,0.4087999999999994,22.25,6,89,184,0.483695652173913
189483,0.39539999999999936,22.79,3,93,188,0.4946808510638298
192553,0.3867999999999993,22.72,3,92,164,0.5609756097560976
195575,0.4326999999999993,21.72,9,87,156,0.5576923076923077
198543,0.41269999999999935,21.77,7,88,182,0.4835164835164835
201450,0.3924999999999993,21.16,3,93,142,0.6549295774647887
204336,0.38019999999999937,23.91,3,90,199,0.45226130653266333
207404,0.4017999999999994,21.54,6,88,143,0.6153846153846154
210431,0.41219999999999934,22.48,7,88,151,0.5827814569536424
213449,0.40019999999999933,22.23,5,90,162,0.5555555555555556
216378,0.42179999999999934,21.19,7,90,156,0.5769230769230769
219322,0.4069999999999993,22.65,6,90,144,0.625
222168,0.4138999999999994,22.01,7,88,148,0.5945945945945946
225130,0.3941999999999992,21.58,5,90,143,0.6293706293706294
228050,0.45369999999999927,21.79,11,87,139,0.6258992805755396
230942,0.4127999999999994,24.3,8,87,150,0.58
233938,0.3616999999999995,22.99,4,85,191,0.44502617801047123
236926,0.4066999999999993,21.81,4,93,188,0.4946808510638298
239982,0.4105999999999993,20.94,4,94,164,0.573170731707317
243014,0.4012999999999994,24.41,9,83,141,0.5886524822695035
246107,0.3876999999999994,22.77,3,92,149,0.6174496644295302
249080,0.4077999999999992,21.97,4,94,163,0.5766871165644172
252056,0.4030999999999993,23.39,5,90,179,0.5027932960893855
255254,0.3894999999999994,23.39,4,90,172,0.5232558139534884
258313,0.4541999999999993,23.74,10,89,190,0.46842105263157896
261167,0.42629999999999924,21.93,7,91,161,0.5652173913043478
264027,0.3996999999999993,20.65,2,96,167,0.5748502994011976
267229,0.4295999999999993,21.72,6,93,174,0.5344827586206896
270125,0.38739999999999947,22.57,6,87,197,0.4416243654822335
273031,0.3905999999999994,22.68,4,91,160,0.56875
276075,0.38759999999999933,21.66,4,90,163,0.5521472392638037
278971,0.39049999999999935,22.49,3,93,143,0.6503496503496503
282093,0.3855999999999994,22.92,5,89,135,0.6592592592592592
285198,0.41399999999999926,21.16,5,92,163,0.5644171779141104
288193,0.4025999999999992,22.08,4,92,168,0.5476190476190477
291037,0.39929999999999927,21.26,5,90,157,0.5732484076433121
294119,0.40299999999999925,22.08,3,94,170,0.5529411764705883
297203,0.4150999999999994,22.86,8,86,193,0.44559585492227977
300169,0.35969999999999946,23.37,2,90,159,0.5660377358490566
303269,0.4190999999999993,22.45,7,89,137,0.6496350364963503
306167,0.3888999999999994,23.31,6,87,178,0.4887640449438202
309178,0.3734999999999994,22.22,2,91,163,0.558282208588957
312210,0.4303999999999993,22.98,7,91,173,0.5260115606936416
315199,0.4021999999999993,22.37,4,92,174,0.5287356321839081
318181,0.41049999999999925,21.36,6,90,167,0.5389221556886228
321109,0.36839999999999945,23.8,3,88,180,0.4888888888888889
324421,0.4480999999999992,22.27,12,84,149,0.5637583892617449
327663,0.40629999999999933,21.77,4,93,171,0.543859649122807
330717,0.41689999999999927,22.25,5,93,193,0.48186528497409326
333847,0.41549999999999926,22.71,8,87,143,0.6083916083916084
336815,0.4246999999999994,20.83,7,90,146,0.6164383561643836
339863,0.3946999999999993,22.51,6,87,153,0.5686274509803921
342865,0.4370999999999993,21.55,8,90,167,0.5389221556886228
345807,0.40009999999999935,22.19,4,92,205,0.44878048780487806
349023,0.3508999999999995,24.76,3,86,199,0.4321608040201005
351921,0.38909999999999934,21.97,2,94,189,0.4973544973544973
354842,0.3837999999999995,22.87,6,85,162,0.5246913580246914
357934,0.41619999999999924,22.92,7,89,190,0.46842105263157896
360816,0.3913999999999993,23.25,5,89,174,0.5114942528735632
363784,0.39149999999999935,23.46,3,92,188,0.48936170212765956
366716,0.38689999999999936,23.11,5,87,179,0.4860335195530726
369764,0.40769999999999934,22.78,5,91,171,0.5321637426900585
372900,0.4052999999999994,24.23,4,93,175,0.5314285714285715
376082,0.41009999999999924,23.23,7,88,160,0.55
379180,0.38809999999999933,22.31,3,92,181,0.5082872928176796
382154,0.42319999999999935,22.43,7,90,150,0.6
385074,0.40899999999999925,22.6,5,92,172,0.5348837209302325
388090,0.3958999999999993,23.05,5,89,186,0.478494623655914
391233,0.39329999999999926,22.62,5,89,168,0.5297619047619048
394071,0.3987999999999994,23.02,4,92,205,0.44878048780487806
397159,0.38069999999999937,21.78,2,92,145,0.6344827586206897
400211,0.40659999999999924,21.45,3,95,185,0.5135135135135135
403235,0.4131999999999993,21.33,6,90,146,0.6164383561643836
406043,0.37889999999999946,21.25,3,90,163,0.5521472392638037
408899,0.42429999999999934,21.11,7,90,150,0.6
411734,0.40329999999999944,23.32,5,91,161,0.5652173913043478
414813,0.4477999999999993,22.29,10,88,159,0.5534591194968553
417595,0.4248999999999992,22.42,6,92,163,0.5644171779141104
420551,0.39849999999999935,21.58,7,86,166,0.5180722891566265
423699,0.3873999999999993,23.42,4,91,178,0.5112359550561798
426714,0.41789999999999927,21.62,4,95,171,0.5555555555555556
429926,0.43539999999999934,21.88,10,86,174,0.4942528735632184
432968,0.3976999999999993,23.69,6,88,173,0.5086705202312138
436008,0.3763999999999993,22.85,2,92,175,0.5257142857142857
438991,0.3886999999999994,22.48,3,92,162,0.5679012345679012
441973,0.4286999999999992,20.28,6,93,173,0.5375722543352601
445091,0.3977999999999993,21.71,4,92,159,0.5786163522012578
447987,0.36829999999999935,22.43,1,93,171,0.543859649122807
450980,0.43699999999999933,22.33,10,86,149,0.5771812080536913
454012,0.4022999999999993,21.88,3,94,149,0.6308724832214765
456968,0.3858999999999994,22.65,6,86,160,0.5375
459884,0.39669999999999944,23.45,6,87,213,0.4084507042253521
462782,0.3886999999999993,23.24,5,88,172,0.5116279069767442
465827,0.4277999999999993,24.36,8,88,188,0.46808510638297873
468859,0.42179999999999934,21.18,6,92,149,0.6174496644295302
471664,0.3841999999999993,23.62,4,90,171,0.5263157894736842
474732,0.4099999999999993,21.73,6,90,171,0.5263157894736842
477774,0.3874999999999993,22.44,4,90,173,0.5202312138728323
480890,0.38509999999999933,22.88,3,91,167,0.5449101796407185
483832,0.4417999999999993,21.85,12,83,160,0.51875
486904,0.3937999999999993,22.98,3,93,193,0.48186528497409326
489807,0.4251999999999993,23.49,8,88,164,0.5365853658536586
492709,0.4312999999999993,23.67,10,85,180,0.4722222222222222
495877,0.40659999999999935,21.47,6,89,176,0.5056818181818182
498656,0.4195999999999993,22.51,7,89,182,0.489010989010989
501682,0.4294999999999993,22.59,8,89,196,0.45408163265306123
504578,0.4072999999999993,21.79,2,97,168,0.5773809523809523
507514,0.4213999999999993,21.93,6,91,168,0.5416666666666666
510514,0.3969999999999994,22.18,6,88,167,0.5269461077844312
513499,0.4123999999999993,22.07,7,88,153,0.5751633986928104
516488,0.40869999999999934,23.23,6,89,153,0.5816993464052288
519628,0.3856999999999994,20.77,3,92,180,0.5111111111111111
522640,0.3952999999999994,22.41,4,91,146,0.6232876712328768
525637,0.44469999999999926,22.92,9,89,186,0.478494623655914
528553,0.4023999999999993,22.45,5,91,144,0.6319444444444444
531433,0.4066999999999994,22.7,6,89,188,0.4734042553191489
534624,0.40439999999999926,23.87,6,89,162,0.5493827160493827
538056,0.39789999999999925,22.16,4,92,166,0.5542168674698795
541030,0.3765999999999993,22.58,3,90,161,0.5590062111801242
543970,0.4197999999999993,21.7,7,89,157,0.5668789808917197
546844,0.4041999999999992,22.1,5,91,156,0.5833333333333334
549922,0.3969999999999993,22.59,5,89,189,0.4708994708994709
552830,0.40299999999999936,20.71,3,95,148,0.6418918918918919
555603,0.41259999999999936,22.24,8,86,162,0.5308641975308642
558584,0.40179999999999944,22.21,5,90,164,0.5487804878048781
561692,0.39919999999999933,21.82,2,96,150,0.64
564644,0.38509999999999933,22.09,3,91,183,0.4972677595628415
567670,0.3729999999999994,22.76,1,94,167,0.562874251497006
570600,0.39649999999999935,22.83,3,93,179,0.5195530726256983
573706,0.39649999999999935,22.87,4,92,158,0.5822784810126582
576672,0.4381999999999993,23.75,8,90,197,0.45685279187817257
579760,0.40089999999999937,22.18,4,92,142,0.647887323943662
582704,0.40389999999999937,22.89,8,85,177,0.480225988700565
585588,0.3675999999999994,22.24,2,90,172,0.5232558139534884
588498,0.3797999999999994,24.23,3,90,183,0.4918032786885246
591542,0.4353999999999991,21.48,7,92,170,0.5411764705882353
594639,0.4189999999999994,22.45,5,93,165,0.5636363636363636
597555,0.3893999999999994,23.21,7,85,150,0.5666666666666667
