timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.07340000000000009,15.88,2,43,71,0.6056338028169014
3433,0.0839000000000001,15.99,0,50,75,0.6666666666666666
6694,0.1037000000000001,15.81,2,51,74,0.6891891891891891
9902,0.10460000000000004,15.92,2,50,74,0.6756756756756757
13196,0.10120000000000003,17.23,2,47,86,0.5465116279069767
16374,0.10860000000000015,15.47,3,48,79,0.6075949367088608
19306,0.15910000000000013,16.76,3,55,91,0.6043956043956044
22682,0.10860000000000011,15.67,1,52,72,0.7222222222222222
25730,0.11580000000000011,14.67,3,48,77,0.6233766233766234
28868,0.13470000000000013,16.41,2,54,82,0.6585365853658537
31933,0.0882000000000001,15.77,0,50,71,0.704225352112676
34841,0.0499,15.77,1,42,75,0.56
37957,0.05910000000000003,16.21,1,45,69,0.6521739130434783
41105,0.17860000000000004,15.45,5,54,84,0.6428571428571429
43989,0.06990000000000002,15.47,0,47,78,0.6025641025641025
46801,0.1253000000000001,15.76,1,54,75,0.72
49777,0.050400000000000056,16.15,0,46,72,0.6388888888888888
52793,0.13290000000000013,15.8,1,56,73,0.7671232876712328
55725,0.11030000000000013,14.57,2,51,77,0.6623376623376623
58691,0.10250000000000009,16.11,2,47,70,0.6714285714285714
61669,0.07480000000000006,15.09,3,45,59,0.7627118644067796
64683,-0.0014000000000000006,15.66,1,35,59,0.5932203389830508
67718,0.1469000000000001,16.07,1,59,85,0.6941176470588235
70734,0.12110000000000008,17.82,1,51,84,0.6071428571428571
73886,0.1110000000000001,15.43,2,50,70,0.7142857142857143
76606,0.08120000000000008,16.08,1,46,69,0.6666666666666666
79578,0.08190000000000008,16.46,0,50,80,0.625
82548,0.04580000000000001,14.67,2,40,58,0.6896551724137931
85594,0.07450000000000007,14.89,1,47,61,0.7704918032786885
88558,0.12880000000000014,15.31,4,50,75,0.6666666666666666
91584,0.13250000000000017,15.84,3,51,79,0.6455696202531646
94532,0.08690000000000005,15.8,1,48,68,0.7058823529411765
97532,0.04459999999999998,15.61,3,38,52,0.7307692307692307
100369,0.1369000000000001,14.51,3,54,67,0.8059701492537313
103363,0.06460000000000007,14.86,0,48,69,0.6956521739130435
106275,0.0905000000000001,16.04,3,45,62,0.7258064516129032
109347,0.10570000000000009,15.07,2,50,76,0.6578947368421053
112269,0.060400000000000065,14.71,0,47,79,0.5949367088607594
115261,0.09470000000000008,15.22,1,50,78,0.6410256410256411
118075,0.07650000000000003,15.58,1,47,66,0.7121212121212122
121073,0.09020000000000004,16.38,3,45,72,0.625
124100,0.0416,15.57,1,41,61,0.6721311475409836
126948,0.03839999999999998,16.11,2,38,60,0.6333333333333333
130044,0.18259999999999998,15.62,2,62,89,0.6966292134831461
133106,0.12610000000000013,16.83,2,52,84,0.6190476190476191
136148,0.10790000000000009,16.12,2,48,86,0.5581395348837209
139135,0.07260000000000004,14.86,4,41,62,0.6612903225806451
142021,0.10780000000000005,16.11,4,46,75,0.6133333333333333
144973,0.12020000000000007,16.25,1,53,85,0.6235294117647059
147911,0.11960000000000008,16.39,1,51,95,0.5368421052631579
151067,0.12970000000000012,16.42,3,51,75,0.68
154271,0.09380000000000009,16.29,0,51,84,0.6071428571428571
157263,0.08540000000000009,16.32,1,51,81,0.6296296296296297
160310,0.1090000000000001,16.0,2,49,76,0.6447368421052632
163167,0.14070000000000019,15.47,1,57,92,0.6195652173913043
166080,0.11430000000000005,15.62,5,45,75,0.6
169120,0.08400000000000012,16.23,0,49,83,0.5903614457831325
172112,0.06510000000000005,14.47,0,49,66,0.7424242424242424
174996,0.06490000000000004,16.31,1,46,76,0.6052631578947368
177954,0.11720000000000008,15.71,4,47,77,0.6103896103896104
180867,0.12020000000000014,15.19,1,54,82,0.6585365853658537
183717,0.1083000000000001,15.01,2,52,91,0.5714285714285714
186623,0.05790000000000002,15.61,1,45,70,0.6428571428571429
189483,0.07550000000000005,16.12,2,41,73,0.5616438356164384
192553,0.09600000000000004,15.29,3,46,67,0.6865671641791045
195575,0.13930000000000015,16.18,2,55,80,0.6875
198543,0.1019000000000001,15.17,2,50,85,0.5882352941176471
201450,0.0416,15.52,0,41,70,0.5857142857142857
204336,0.020099999999999986,16.02,1,38,58,0.6551724137931034
207404,0.07390000000000008,15.12,2,45,79,0.569620253164557
210431,0.11490000000000009,16.33,3,47,76,0.618421052631579
213449,0.10710000000000011,15.52,2,50,67,0.746268656716418
216378,0.1126000000000001,15.46,2,50,75,0.6666666666666666
219322,0.06300000000000008,15.98,0,46,74,0.6216216216216216
222168,0.10560000000000004,15.54,1,50,66,0.7575757575757576
225130,0.10310000000000008,15.06,3,48,68,0.7058823529411765
228050,0.024800000000000003,15.8,0,39,71,0.5492957746478874
230942,0.10030000000000007,15.91,1,54,87,0.6206896551724138
233938,0.1533000000000001,15.79,4,51,106,0.4811320754716981
236926,0.10170000000000012,15.37,2,50,83,0.6024096385542169
239982,0.12940000000000013,16.05,2,52,71,0.7323943661971831
243014,0.02420000000000001,16.28,0,41,77,0.5324675324675324
246107,0.10680000000000009,15.39,1,53,76,0.6973684210526315
249080,0.0949000000000001,16.24,2,49,71,0.6901408450704225
252056,0.10200000000000006,16.85,2,48,77,0.6233766233766234
255254,0.08510000000000012,15.25,1,49,71,0.6901408450704225
258313,0.06580000000000004,15.44,1,45,81,0.5555555555555556
261167,0.10940000000000011,15.74,0,53,77,0.6883116883116883
264027,0.06150000000000002,15.44,1,44,66,0.6666666666666666
267229,0.15430000000000013,17.31,3,55,82,0.6707317073170732
270125,0.15720000000000015,15.3,3,56,91,0.6153846153846154
273031,0.1562000000000001,15.37,1,59,86,0.686046511627907
276075,0.14240000000000008,15.04,5,49,77,0.6363636363636364
278971,0.1513000000000001,16.45,2,57,89,0.6404494382022472
282093,0.0992000000000001,15.77,1,52,71,0.7323943661971831
285198,0.1385000000000001,16.1,2,51,88,0.5795454545454546
288193,0.06530000000000002,14.89,0,47,71,0.6619718309859155
291037,0.07620000000000006,16.41,2,43,74,0.581081081081081
294119,0.14630000000000012,15.73,3,51,87,0.5862068965517241
297203,0.15030000000000013,15.33,5,52,88,0.5909090909090909
300169,0.14680000000000015,16.79,2,56,81,0.691358024691358
303269,0.04310000000000007,14.72,0,43,68,0.6323529411764706
306167,0.0719,14.69,4,39,79,0.4936708860759494
309178,0.09020000000000003,16.62,3,46,72,0.6388888888888888
312210,0.10150000000000009,17.04,2,49,79,0.620253164556962
315199,0.10250000000000004,15.14,2,50,90,0.5555555555555556
318181,0.10950000000000004,16.2,2,49,95,0.5157894736842106
321109,0.061100000000000036,15.73,0,45,78,0.5769230769230769
324421,0.04590000000000001,15.71,2,40,61,0.6557377049180327
327663,0.0332,16.31,1,40,79,0.5063291139240507
330717,0.13420000000000015,15.48,4,48,77,0.6233766233766234
333847,0.12110000000000008,15.49,4,49,76,0.6447368421052632
336815,0.13780000000000014,16.02,2,55,73,0.7534246575342466
339863,0.0947,15.08,3,44,74,0.5945945945945946
342865,0.0692000000000001,16.52,0,50,74,0.6756756756756757
345807,0.15620000000000012,17.02,3,53,93,0.5698924731182796
349023,0.08310000000000003,15.82,2,45,92,0.4891304347826087
351921,0.0937000000000001,16.04,1,48,79,0.6075949367088608
354842,0.16540000000000007,15.74,2,58,79,0.7341772151898734
357934,0.08360000000000006,15.98,1,47,70,0.6714285714285714
360816,0.1231000000000001,15.95,4,48,69,0.6956521739130435
363784,0.06470000000000006,15.65,2,44,79,0.5569620253164557
366716,0.09400000000000007,15.54,1,49,73,0.6712328767123288
369764,0.08030000000000002,16.32,3,44,69,0.6376811594202898
372900,0.06970000000000004,16.03,2,43,63,0.6825396825396826
376082,0.0799000000000001,16.06,2,45,94,0.4787234042553192
379180,0.1159000000000001,15.76,2,51,82,0.6219512195121951
382154,0.03369999999999996,15.18,2,39,65,0.6
385074,0.08980000000000009,15.65,2,45,62,0.7258064516129032
388090,0.061400000000000086,16.93,2,43,81,0.5308641975308642
391233,0.09120000000000009,15.81,1,49,84,0.5833333333333334
394071,0.12790000000000012,15.28,2,54,83,0.6506024096385542
397159,0.13130000000000006,16.1,5,47,71,0.6619718309859155
400211,0.07700000000000001,15.42,1,46,65,0.7076923076923077
403235,0.09400000000000004,14.78,0,51,76,0.6710526315789473
406043,0.10180000000000007,14.48,3,48,80,0.6
408899,0.1286000000000001,14.88,1,57,83,0.6867469879518072
411734,0.1208000000000001,16.13,1,55,82,0.6707317073170732
414813,0.12670000000000012,15.17,4,51,81,0.6296296296296297
417595,0.062400000000000067,14.6,1,46,66,0.696969696969697
420551,0.11310000000000008,16.21,5,44,67,0.6567164179104478
423699,0.09990000000000006,15.72,2,48,77,0.6233766233766234
426714,0.10550000000000004,15.53,4,46,68,0.6764705882352942
429926,0.13130000000000008,17.44,1,53,98,0.5408163265306123
432968,0.07610000000000007,15.65,4,41,57,0.7192982456140351
436008,0.10720000000000006,15.72,2,51,69,0.7391304347826086
438991,0.11000000000000007,15.3,0,57,79,0.7215189873417721
441973,0.14040000000000014,15.42,4,54,85,0.6352941176470588
445091,0.1356000000000001,15.29,3,51,85,0.6
447987,0.12390000000000014,16.65,0,55,80,0.6875
450980,0.08680000000000007,16.88,2,47,64,0.734375
454012,0.08720000000000006,16.23,1,48,73,0.6575342465753424
456968,0.06320000000000003,14.8,2,43,55,0.7818181818181819
459884,0.12730000000000008,15.58,3,52,96,0.5416666666666666
462782,0.09220000000000005,15.28,1,50,71,0.704225352112676
465827,0.09300000000000004,15.17,3,48,65,0.7384615384615385
468859,0.032499999999999994,15.16,1,40,71,0.5633802816901409
471664,0.05260000000000002,15.69,1,44,59,0.7457627118644068
474732,0.12030000000000016,15.97,1,53,80,0.6625
477774,0.13350000000000012,16.76,3,50,75,0.6666666666666666
480890,0.09810000000000008,15.43,1,48,74,0.6486486486486487
483832,0.10640000000000008,15.46,2,49,64,0.765625
486904,0.05970000000000005,14.38,3,43,62,0.6935483870967742
489807,0.062200000000000054,16.12,1,44,80,0.55
492709,0.09960000000000013,15.48,2,48,95,0.5052631578947369
495877,0.09470000000000008,14.53,2,49,67,0.7313432835820896
498656,0.12320000000000013,16.43,3,52,81,0.6419753086419753
501682,0.07010000000000004,15.87,1,45,77,0.5844155844155844
504578,0.06400000000000004,15.71,1,42,65,0.6461538461538462
507514,0.08729999999999999,15.1,3,43,73,0.589041095890411
510514,0.07240000000000008,15.85,0,48,77,0.6233766233766234
513499,0.1492000000000001,16.64,4,50,89,0.5617977528089888
516488,0.13590000000000013,16.46,2,52,82,0.6341463414634146
519628,0.0974000000000001,16.14,0,53,74,0.7162162162162162
522640,0.12290000000000008,16.05,1,53,88,0.6022727272727273
525637,0.0976000000000001,16.24,2,46,75,0.6133333333333333
528553,0.13150000000000006,15.81,4,51,68,0.75
531433,0.16750000000000015,16.71,3,56,81,0.691358024691358
534624,0.14880000000000015,16.99,0,57,90,0.6333333333333333
538056,0.1296000000000001,15.78,3,51,68,0.75
541030,0.10140000000000012,15.72,2,48,74,0.6486486486486487
543970,0.1432000000000002,14.95,5,49,63,0.7777777777777778
546844,0.10230000000000007,16.07,4,45,72,0.625
549922,0.1338000000000001,15.35,3,52,76,0.6842105263157895
552830,0.10540000000000012,14.74,2,49,75,0.6533333333333333
555603,-0.0005000000000000029,15.04,1,32,61,0.5245901639344263
558584,0.10230000000000011,15.52,0,55,90,0.6111111111111112
561692,0.03449999999999998,15.04,0,43,58,0.7413793103448276
564644,0.046600000000000016,16.15,1,43,70,0.6142857142857143
567670,0.09310000000000007,16.95,2,48,89,0.5393258426966292
570600,0.18240000000000006,15.48,2,61,91,0.6703296703296703
573706,0.09290000000000007,16.2,2,46,81,0.5679012345679012
576672,0.1288000000000001,15.83,2,54,82,0.6585365853658537
579760,0.059800000000000055,15.56,1,45,69,0.6521739130434783
582704,0.1011000000000001,16.1,2,46,84,0.5476190476190477
585588,0.09910000000000005,16.59,4,44,73,0.6027397260273972
588498,0.09720000000000008,15.85,2,50,88,0.5681818181818182
591542,0.12180000000000012,17.29,3,49,87,0.5632183908045977
594639,0.047800000000000044,14.73,1,42,71,0.5915492957746479
597555,0.09370000000000007,16.8,2,47,78,0.6025641025641025
