timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.003600000000000014,13.96,2,36,56,0.6428571428571429
3433,0.02989999999999998,15.19,0,41,70,0.5857142857142857
6694,0.04680000000000004,15.3,3,39,58,0.6724137931034483
9902,0.05100000000000002,14.21,1,43,61,0.7049180327868853
13196,0.03479999999999999,15.32,1,37,65,0.5692307692307692
16374,-0.022700000000000012,13.83,0,32,50,0.64
19306,0.10170000000000012,15.04,2,49,73,0.6712328767123288
22682,0.05990000000000004,15.1,0,47,68,0.6911764705882353
25730,0.06910000000000006,14.51,3,42,71,0.5915492957746479
28868,0.021099999999999994,14.7,1,38,52,0.7307692307692307
31933,0.012500000000000002,14.28,2,34,50,0.68
34841,0.010799999999999987,14.63,1,36,58,0.6206896551724138
37957,-0.04850000000000002,14.71,1,29,47,0.6170212765957447
41105,-0.003199999999999994,14.69,4,29,47,0.6170212765957447
43989,0.06630000000000003,13.75,2,43,64,0.671875
46801,0.017299999999999996,14.13,3,34,56,0.6071428571428571
49777,-0.01280000000000002,15.0,0,37,54,0.6851851851851852
52793,0.05000000000000002,13.67,2,43,55,0.7818181818181819
55725,-0.015300000000000003,14.37,2,32,58,0.5517241379310345
58691,0.05280000000000011,14.84,4,37,61,0.6065573770491803
61669,-0.016100000000000007,14.0,1,33,48,0.6875
64683,-0.0019000000000000067,14.24,2,34,51,0.6666666666666666
67718,0.03980000000000002,15.26,1,42,57,0.7368421052631579
70734,0.018499999999999982,15.4,1,38,54,0.7037037037037037
73886,-0.005500000000000021,13.95,2,32,52,0.6153846153846154
76606,0.03350000000000002,14.58,1,38,60,0.6333333333333333
79578,0.0641,14.49,4,43,60,0.7166666666666667
82548,0.009899999999999987,14.13,3,34,61,0.5573770491803278
85594,0.02829999999999999,13.91,3,34,64,0.53125
88558,0.0564,14.35,4,40,56,0.7142857142857143
91584,0.02569999999999999,14.53,2,38,61,0.6229508196721312
94532,0.03149999999999999,14.45,0,41,70,0.5857142857142857
97532,-0.009500000000000005,14.02,3,30,49,0.6122448979591837
100369,0.022399999999999993,14.0,3,35,57,0.6140350877192983
103363,-0.0146,14.01,1,33,49,0.673469387755102
106275,0.011000000000000001,15.11,2,36,59,0.6101694915254238
109347,0.05100000000000004,13.91,1,44,58,0.7586206896551724
112269,-0.014000000000000018,14.74,2,31,65,0.47692307692307695
115261,0.025599999999999987,13.66,2,38,59,0.6440677966101694
118075,0.03169999999999999,13.74,0,44,56,0.7857142857142857
121073,0.055400000000000026,14.99,1,45,67,0.6716417910447762
124100,-0.08380000000000001,13.9,0,25,42,0.5952380952380952
126948,0.003600000000000002,14.33,3,34,53,0.6415094339622641
130044,0.07360000000000001,14.32,2,45,68,0.6617647058823529
133106,0.034700000000000016,15.25,3,36,67,0.5373134328358209
136148,0.041999999999999996,14.41,1,40,70,0.5714285714285714
139135,0.03930000000000001,13.87,2,41,69,0.5942028985507246
142021,0.03380000000000001,14.35,1,41,57,0.7192982456140351
144973,0.040999999999999995,14.34,1,42,64,0.65625
147911,0.021599999999999994,16.1,1,38,69,0.5507246376811594
151067,0.03799999999999999,14.47,3,34,55,0.6181818181818182
154271,0.05830000000000008,14.48,0,49,73,0.6712328767123288
157263,0.006800000000000005,14.04,2,36,52,0.6923076923076923
160310,0.022499999999999992,13.81,2,37,48,0.7708333333333334
163167,0.05880000000000009,13.93,1,45,73,0.6164383561643836
166080,-0.030700000000000012,14.84,1,30,49,0.6122448979591837
169120,0.03410000000000001,14.06,2,38,60,0.6333333333333333
172112,-0.018200000000000004,13.23,0,37,63,0.5873015873015873
174996,-0.05009999999999994,14.92,0,29,51,0.5686274509803921
177954,0.005000000000000024,14.28,6,29,52,0.5576923076923077
180867,0.06650000000000005,13.47,2,44,63,0.6984126984126984
183717,0.01979999999999999,14.25,1,40,63,0.6349206349206349
186623,0.0005999999999999772,13.46,1,39,52,0.75
189483,0.07780000000000004,15.01,2,42,75,0.56
192553,0.04430000000000001,14.98,2,38,73,0.5205479452054794
195575,0.07700000000000008,14.15,1,48,75,0.64
198543,0.054600000000000024,13.77,2,43,69,0.6231884057971014
201450,0.058900000000000056,14.99,1,44,71,0.6197183098591549
204336,-0.0031999999999999793,14.68,1,36,58,0.6206896551724138
207404,0.019999999999999997,14.08,3,36,54,0.6666666666666666
210431,-0.01660000000000001,14.32,3,30,47,0.6382978723404256
213449,0.014299999999999988,14.3,3,33,53,0.6226415094339622
216378,0.01589999999999999,13.9,3,34,52,0.6538461538461539
219322,0.019699999999999968,14.52,1,37,65,0.5692307692307692
222168,0.0542,14.11,1,42,61,0.6885245901639344
225130,-0.02009999999999999,14.17,0,37,57,0.6491228070175439
228050,-0.026699999999999995,13.97,2,31,50,0.62
230942,0.033,14.37,0,46,66,0.696969696969697
233938,0.09050000000000011,14.47,2,46,70,0.6571428571428571
236926,0.06390000000000008,15.22,2,43,69,0.6231884057971014
239982,0.0226,14.74,1,38,57,0.6666666666666666
243014,-0.0088,15.35,0,38,63,0.6031746031746031
246107,0.014700000000000012,13.86,1,38,63,0.6031746031746031
249080,0.033500000000000016,14.68,2,41,52,0.7884615384615384
252056,0.03940000000000002,15.47,1,42,65,0.6461538461538462
255254,0.00839999999999998,14.49,1,39,54,0.7222222222222222
258313,-0.009600000000000008,14.3,3,30,54,0.5555555555555556
261167,0.07630000000000005,14.38,1,47,63,0.746031746031746
264027,0.039199999999999985,14.42,2,39,54,0.7222222222222222
267229,-0.012599999999999993,13.91,2,35,55,0.6363636363636364
270125,0.11960000000000014,14.08,2,51,76,0.6710526315789473
273031,0.0839000000000001,14.93,1,48,80,0.6
276075,0.09500000000000003,14.45,2,47,75,0.6266666666666667
278971,0.09730000000000005,14.93,3,45,73,0.6164383561643836
282093,0.025300000000000007,14.53,1,39,55,0.7090909090909091
285198,0.05580000000000003,14.49,1,44,61,0.7213114754098361
288193,0.0323,13.41,3,39,59,0.6610169491525424
291037,0.03940000000000003,14.27,3,37,60,0.6166666666666667
294119,0.13170000000000012,14.96,3,48,73,0.6575342465753424
297203,0.0870000000000001,14.19,2,49,80,0.6125
300169,0.06610000000000006,15.02,1,43,59,0.7288135593220338
303269,0.037599999999999995,14.91,1,40,59,0.6779661016949152
306167,-0.039400000000000025,14.11,1,29,62,0.46774193548387094
309178,0.020500000000000004,14.58,3,36,53,0.6792452830188679
312210,0.022399999999999996,14.33,5,31,47,0.6595744680851063
315199,-0.007700000000000002,14.63,1,34,58,0.5862068965517241
318181,-0.027800000000000012,13.92,0,32,58,0.5517241379310345
321109,0.06910000000000002,14.95,1,44,75,0.5866666666666667
324421,0.0098,14.49,1,37,57,0.6491228070175439
