timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,0.2254999999999996,22.44,4,94,148,0.6351351351351351
3433,0.24839999999999962,22.67,7,91,186,0.489247311827957
6896,0.2131999999999996,22.0,5,89,159,0.559748427672956
10274,0.15899999999999978,24.9,1,86,187,0.45989304812834225
13290,0.2172999999999996,22.54,4,92,166,0.5542168674698795
16645,0.2634999999999996,21.35,9,89,152,0.5855263157894737
19607,0.2399999999999996,21.12,5,95,149,0.6375838926174496
22873,0.23679999999999957,21.52,6,91,165,0.5515151515151515
26123,0.24639999999999962,20.57,7,91,146,0.6232876712328768
29218,0.21489999999999956,23.08,3,95,185,0.5135135135135135
32246,0.24869999999999964,20.32,7,91,150,0.6066666666666667
35310,0.2075999999999996,23.85,3,93,183,0.5081967213114754
38314,0.21819999999999973,23.5,5,90,178,0.5056179775280899
41542,0.21759999999999963,22.07,4,92,155,0.5935483870967742
44394,0.21199999999999963,21.39,4,91,165,0.5515151515151515
47238,0.2733999999999996,22.51,10,88,149,0.5906040268456376
50230,0.19199999999999967,23.85,5,83,163,0.50920245398773
53290,0.2561999999999996,21.67,8,90,161,0.5590062111801242
56251,0.19219999999999968,20.97,3,90,158,0.569620253164557
59186,0.2863999999999996,21.1,12,86,176,0.48863636363636365
62199,0.2209999999999996,21.12,4,93,151,0.6158940397350994
65137,0.3051999999999996,22.64,14,84,159,0.5283018867924528
68056,0.22279999999999966,23.84,5,91,171,0.5321637426900585
71090,0.24149999999999955,22.96,7,89,156,0.5705128205128205
74284,0.21449999999999958,21.01,3,95,170,0.5588235294117647
77200,0.22619999999999968,23.55,7,86,192,0.4479166666666667
80314,0.2150999999999996,22.83,5,90,160,0.5625
83266,0.23109999999999967,22.33,6,90,166,0.5421686746987951
86250,0.22989999999999952,21.85,5,92,192,0.4791666666666667
89281,0.2111999999999996,23.42,4,91,182,0.5
92221,0.2334999999999995,21.32,6,90,172,0.5232558139534884
95151,0.2324999999999997,21.71,7,87,181,0.48066298342541436
98239,0.20559999999999964,23.84,5,87,174,0.5
101257,0.20499999999999968,23.28,4,90,191,0.4712041884816754
104307,0.19079999999999966,23.63,3,90,185,0.4864864864864865
107276,0.21469999999999959,23.78,5,89,182,0.489010989010989
110370,0.2104999999999997,22.11,3,93,175,0.5314285714285715
113150,0.21899999999999964,22.42,5,91,176,0.5170454545454546
115974,0.22949999999999968,19.88,6,90,172,0.5232558139534884
118933,0.2234999999999997,24.24,6,87,181,0.48066298342541436
121907,0.23609999999999967,21.95,6,91,171,0.5321637426900585
125044,0.20829999999999974,23.1,6,84,173,0.48554913294797686
127964,0.21109999999999965,22.78,6,85,151,0.5629139072847682
130887,0.23249999999999965,21.86,6,90,172,0.5232558139534884
133937,0.21539999999999965,21.59,4,92,176,0.5227272727272727
137165,0.2455999999999997,22.37,9,84,198,0.42424242424242425
140176,0.2298999999999996,23.52,5,92,201,0.4577114427860697
143126,0.21639999999999962,22.1,4,91,160,0.56875
146133,0.21469999999999959,22.44,4,92,165,0.5575757575757576
149221,0.20359999999999967,23.35,3,92,194,0.4742268041237113
152449,0.21889999999999965,21.5,4,93,166,0.5602409638554217
155499,0.25579999999999964,24.21,11,81,186,0.43548387096774194
158577,0.22819999999999963,23.76,7,88,174,0.5057471264367817
161565,0.20209999999999964,22.32,3,91,181,0.5027624309392266
164452,0.2254999999999996,20.93,5,91,170,0.5352941176470588
167292,0.22379999999999964,23.17,8,82,186,0.44086021505376344
170476,0.21819999999999962,23.1,5,89,185,0.4810810810810811
173598,0.2358999999999996,22.39,5,94,178,0.5280898876404494
176470,0.23609999999999956,22.24,5,94,188,0.5
179402,0.23299999999999965,22.69,6,91,165,0.5515151515151515
182390,0.21669999999999962,21.11,5,90,183,0.4918032786885246
185270,0.2067999999999997,22.09,4,89,173,0.5144508670520231
188187,0.2117999999999996,22.18,4,92,205,0.44878048780487806
190966,0.24849999999999967,22.71,8,88,185,0.4756756756756757
194048,0.23089999999999963,22.9,6,90,163,0.5521472392638037
197126,0.2614999999999996,23.56,10,85,209,0.40669856459330145
200152,0.2799999999999996,22.57,10,90,184,0.4891304347826087
203058,0.2376999999999997,23.5,6,91,181,0.5027624309392266
206020,0.22239999999999963,23.3,5,91,196,0.4642857142857143
209089,0.23469999999999971,23.16,8,84,190,0.4421052631578947
212053,0.23659999999999967,21.58,6,91,153,0.5947712418300654
214907,0.20429999999999968,22.41,3,92,156,0.5897435897435898
217824,0.2159999999999997,22.59,4,92,167,0.5508982035928144
220818,0.2279999999999996,21.5,6,89,177,0.5028248587570622
223694,0.26139999999999963,23.11,9,88,178,0.4943820224719101
226642,0.2025999999999996,24.1,4,89,191,0.46596858638743455
229500,0.26089999999999963,23.78,9,88,181,0.4861878453038674
232330,0.20409999999999967,23.31,5,87,151,0.5761589403973509
235382,0.21079999999999965,22.26,6,86,165,0.5212121212121212
238393,0.2297999999999996,21.85,4,95,207,0.45893719806763283
241453,0.25169999999999965,21.42,8,89,177,0.5028248587570622
244570,0.2660999999999996,21.99,10,86,157,0.5477707006369427
247606,0.23179999999999967,21.75,5,93,180,0.5166666666666667
250470,0.21339999999999967,22.92,5,88,204,0.43137254901960786
253518,0.19619999999999965,25.07,2,92,220,0.41818181818181815
256988,0.20959999999999973,23.17,6,85,175,0.4857142857142857
260078,0.29809999999999964,22.37,14,82,205,0.4
263178,0.25929999999999964,23.16,11,82,202,0.40594059405940597
266187,0.2326999999999996,23.23,6,90,200,0.45
269271,0.2124999999999997,24.86,5,88,189,0.4656084656084656
272223,0.2139999999999997,21.94,6,87,210,0.4142857142857143
275358,0.19859999999999955,23.95,3,91,197,0.4619289340101523
278420,0.22199999999999967,23.6,6,88,187,0.47058823529411764
281416,0.22369999999999962,22.89,6,88,183,0.4808743169398907
284444,0.19669999999999965,23.86,3,90,195,0.46153846153846156
287516,0.23529999999999962,22.2,7,87,177,0.4915254237288136
290663,0.2655999999999995,23.1,9,89,199,0.4472361809045226
293549,0.24939999999999965,23.42,9,85,185,0.4594594594594595
296545,0.2805999999999997,21.92,12,84,205,0.4097560975609756
299703,0.20589999999999964,23.78,4,90,198,0.45454545454545453
302683,0.2766999999999996,21.57,12,83,182,0.45604395604395603
305933,0.19959999999999967,22.65,3,92,167,0.5508982035928144
308831,0.20849999999999969,23.2,6,86,177,0.4858757062146893
311867,0.22449999999999967,25.0,7,85,217,0.391705069124424
314861,0.2252999999999996,24.01,5,91,259,0.35135135135135137
317923,0.21819999999999976,23.9,5,89,194,0.4587628865979381
320979,0.2078999999999996,22.62,5,87,191,0.45549738219895286
324047,0.19619999999999962,23.21,2,93,170,0.5470588235294118
327163,0.2328999999999996,23.47,7,87,203,0.42857142857142855
330316,0.1987999999999997,24.25,6,82,196,0.41836734693877553
333379,0.28749999999999964,24.17,13,83,212,0.3915094339622642
336473,0.2087999999999997,24.47,4,89,222,0.4009009009009009
339493,0.26519999999999955,21.79,9,89,166,0.536144578313253
342587,0.29139999999999966,24.45,16,75,215,0.3488372093023256
345567,0.2511999999999996,24.35,8,88,214,0.411214953271028
348524,0.22069999999999965,23.9,4,93,226,0.41150442477876104
351758,0.21969999999999967,23.42,4,92,179,0.5139664804469274
354758,0.2591999999999997,23.02,10,85,198,0.4292929292929293
357516,0.2613999999999996,21.94,9,88,206,0.42718446601941745
360748,0.23509999999999961,23.92,8,85,195,0.4358974358974359
363810,0.23419999999999966,23.65,7,87,228,0.3815789473684211
366734,0.26399999999999957,23.86,8,92,225,0.4088888888888889
369728,0.24419999999999953,23.36,8,87,215,0.4046511627906977
372734,0.20329999999999973,25.34,5,86,211,0.4075829383886256
375714,0.21279999999999963,24.39,5,88,180,0.4888888888888889
378734,0.23679999999999965,25.18,7,88,231,0.38095238095238093
381686,0.20979999999999965,22.54,5,87,187,0.46524064171123
384674,0.26629999999999954,20.75,9,89,165,0.5393939393939394
387724,0.2520999999999996,24.04,10,82,224,0.36607142857142855
390711,0.23639999999999964,24.78,9,82,230,0.3565217391304348
393781,0.22389999999999954,22.37,5,91,201,0.4527363184079602
396687,0.2571999999999996,24.47,8,90,215,0.4186046511627907
399781,0.2165999999999996,23.48,6,86,212,0.4056603773584906
402833,0.2578999999999996,23.81,9,87,195,0.4461538461538462
405961,0.2565999999999996,22.36,9,87,211,0.41232227488151657
408895,0.24999999999999958,23.01,8,88,205,0.4292682926829268
411838,0.21429999999999963,23.11,5,88,175,0.5028571428571429
414812,0.24489999999999962,24.3,8,87,211,0.41232227488151657
417950,0.22419999999999973,23.7,6,87,220,0.39545454545454545
420992,0.2718999999999996,23.63,11,85,203,0.4187192118226601
424110,0.22879999999999964,24.77,7,86,233,0.36909871244635195
427158,0.21579999999999963,25.75,6,86,179,0.48044692737430167
430236,0.2539999999999996,23.74,10,85,201,0.4228855721393035
433346,0.2597999999999996,24.55,12,78,226,0.34513274336283184
436514,0.2095999999999996,23.38,5,88,206,0.42718446601941745
439592,0.24139999999999964,24.25,9,84,203,0.41379310344827586
442724,0.2595999999999996,23.8,9,88,201,0.43781094527363185
445655,0.21759999999999963,23.69,7,83,197,0.4213197969543147
448673,0.21479999999999969,23.92,6,86,214,0.40186915887850466
451489,0.1850999999999997,23.23,2,90,200,0.45
454613,0.1955999999999997,23.17,2,93,196,0.4744897959183674
457737,0.2209999999999996,22.95,6,87,190,0.45789473684210524
460691,0.20879999999999974,23.8,4,90,218,0.41284403669724773
463761,0.21759999999999965,21.97,4,92,211,0.43601895734597157
466632,0.23319999999999966,22.9,7,87,213,0.4084507042253521
469628,0.22599999999999962,23.75,7,85,204,0.4166666666666667
472636,0.22239999999999974,23.47,7,85,218,0.38990825688073394
475465,0.19159999999999983,24.45,5,83,202,0.41089108910891087
478606,0.20789999999999967,24.07,5,87,170,0.5117647058823529
481634,0.23859999999999965,22.87,6,91,206,0.441747572815534
484941,0.21309999999999968,23.68,5,88,213,0.4131455399061033
488049,0.2235999999999997,23.31,8,82,189,0.43386243386243384
491093,0.2491999999999996,22.28,8,88,201,0.43781094527363185
493894,0.2812999999999996,24.39,11,87,248,0.35080645161290325
496810,0.20059999999999967,23.6,4,87,222,0.3918918918918919
499900,0.2216999999999996,21.39,5,90,215,0.4186046511627907
502544,0.22469999999999968,23.36,8,82,184,0.44565217391304346
505513,0.24549999999999966,23.47,8,87,228,0.3815789473684211
508661,0.24349999999999955,24.43,7,90,205,0.43902439024390244
511479,0.22719999999999962,22.71,5,91,195,0.4666666666666667
514497,0.2371999999999996,24.01,6,91,217,0.41935483870967744
517405,0.25229999999999964,22.4,9,86,205,0.4195121951219512
520355,0.24049999999999958,23.09,7,89,215,0.413953488372093
523406,0.23719999999999966,22.85,8,85,189,0.4497354497354497
526284,0.25499999999999967,23.59,8,90,198,0.45454545454545453
529246,0.25309999999999966,22.94,9,86,168,0.5119047619047619
532219,0.20679999999999968,23.99,6,84,217,0.3870967741935484
535201,0.24349999999999966,24.3,9,84,194,0.4329896907216495
538289,0.20589999999999967,24.06,6,82,229,0.35807860262008734
541652,0.20169999999999974,23.01,4,87,212,0.41037735849056606
544756,0.28209999999999963,23.81,13,81,205,0.3951219512195122
547772,0.25199999999999967,22.37,10,84,183,0.45901639344262296
550670,0.24019999999999964,24.05,9,83,207,0.40096618357487923
553710,0.2297999999999996,22.38,6,89,214,0.4158878504672897
556742,0.20389999999999975,24.13,5,86,214,0.40186915887850466
559570,0.2395999999999997,22.99,8,85,207,0.4106280193236715
562525,0.2110999999999997,26.72,7,82,243,0.3374485596707819
565597,0.2244999999999997,25.08,6,88,249,0.3534136546184739
568694,0.25359999999999966,23.17,10,83,207,0.40096618357487923
571704,0.25119999999999965,24.58,9,86,233,0.36909871244635195
574638,0.20869999999999966,24.97,7,82,246,0.3333333333333333
577643,0.24499999999999963,22.03,8,87,224,0.38839285714285715
580869,0.24079999999999965,23.29,7,89,224,0.39732142857142855
584005,0.19739999999999966,25.35,3,90,225,0.4
587023,0.23349999999999974,25.08,10,80,204,0.39215686274509803
589927,0.23309999999999959,22.74,6,90,200,0.45
592966,0.2579999999999997,26.03,9,87,220,0.39545454545454545
596102,0.22619999999999968,22.26,7,86,201,0.42786069651741293
599167,0.27919999999999956,24.64,13,80,252,0.31746031746031744
602091,0.2333999999999996,25.03,10,80,220,0.36363636363636365
