timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.012600000000000014,15.88,2,43,71,0.6056338028169014
3433,-0.023600000000000006,16.09,0,48,73,0.6575342465753424
6896,-0.002100000000000002,16.09,2,50,72,0.6944444444444444
10274,0.007300000000000005,16.02,2,51,73,0.6986301369863014
13290,0.010399999999999994,17.3,2,48,90,0.5333333333333333
16645,0.011400000000000006,15.26,3,48,79,0.6075949367088608
19607,0.05060000000000005,16.55,3,56,92,0.6086956521739131
22873,0.007199999999999997,15.99,1,53,78,0.6794871794871795
26123,0.010000000000000007,14.78,3,45,73,0.6164383561643836
29218,0.027700000000000048,16.24,2,54,82,0.6585365853658537
32246,-0.03119999999999999,16.18,0,44,78,0.5641025641025641
35310,-0.018599999999999978,16.05,1,46,83,0.5542168674698795
38314,-0.02619999999999999,16.42,2,44,74,0.5945945945945946
41542,0.06870000000000007,15.28,5,54,78,0.6923076923076923
44394,-0.0015999999999999947,15.88,0,52,84,0.6190476190476191
47238,0.005999999999999992,15.75,1,51,78,0.6538461538461539
50230,-0.032499999999999994,16.45,0,47,68,0.6911764705882353
53290,0.014400000000000013,16.02,1,55,78,0.7051282051282052
56251,0.0105,14.58,2,51,81,0.6296296296296297
59186,0.0083,16.23,2,47,73,0.6438356164383562
62199,-0.022799999999999945,15.17,3,43,58,0.7413793103448276
65137,-0.04780000000000001,15.92,1,39,71,0.5492957746478874
68056,0.015699999999999995,16.4,1,56,77,0.7272727272727273
71090,0.019899999999999994,17.78,1,51,97,0.5257731958762887
74284,0.0173,15.49,3,48,77,0.6233766233766234
77200,-0.016600000000000007,16.11,1,45,69,0.6521739130434783
80314,-0.015099999999999995,16.38,0,50,80,0.625
83266,-0.0395,14.96,2,38,62,0.6129032258064516
86250,-0.005200000000000009,14.81,1,51,67,0.7611940298507462
89281,0.013199999999999991,15.2,3,49,74,0.6621621621621622
92221,0.032900000000000054,16.16,3,52,92,0.5652173913043478
95151,-0.013000000000000003,15.38,2,44,79,0.5569620253164557
98239,-0.04219999999999996,15.87,3,35,59,0.5932203389830508
101257,0.037200000000000066,14.91,4,53,79,0.6708860759493671
104307,-0.040499999999999974,15.3,0,44,76,0.5789473684210527
107276,0.012199999999999983,16.26,3,49,72,0.6805555555555556
110370,0.005299999999999996,15.59,2,49,85,0.5764705882352941
113150,-0.03709999999999998,14.95,0,45,78,0.5769230769230769
115974,-0.013600000000000006,15.24,1,48,78,0.6153846153846154
118933,-0.02819999999999996,15.88,1,44,66,0.6666666666666666
121907,-0.0013999999999999985,16.55,3,42,78,0.5384615384615384
125044,-0.0154,15.77,2,43,67,0.6417910447761194
127964,-0.028999999999999984,16.2,2,40,62,0.6451612903225806
130887,0.05370000000000004,16.23,2,60,102,0.5882352941176471
133937,0.024800000000000023,17.17,2,52,97,0.5360824742268041
137165,0.018300000000000007,16.5,2,48,94,0.5106382978723404
140176,-0.016500000000000008,14.98,3,41,65,0.6307692307692307
143126,0.013100000000000006,16.35,4,45,78,0.5769230769230769
146133,0.015300000000000029,17.17,1,52,92,0.5652173913043478
149221,0.019500000000000003,16.96,2,49,103,0.47572815533980584
152449,0.047800000000000044,16.59,4,51,86,0.5930232558139535
155499,0.008899999999999996,16.62,1,53,88,0.6022727272727273
158577,-0.001799999999999993,16.16,3,48,91,0.5274725274725275
161565,0.021100000000000004,16.18,2,51,89,0.5730337078651685
164452,0.023600000000000083,15.72,1,55,92,0.5978260869565217
167292,0.03730000000000001,15.82,5,47,80,0.5875
170476,-0.03469999999999998,15.83,0,45,76,0.5921052631578947
173598,-0.009800000000000007,15.01,0,50,69,0.7246376811594203
176470,-0.045899999999999955,15.93,0,47,75,0.6266666666666667
179402,0.024700000000000027,15.93,4,47,86,0.5465116279069767
182390,0.017800000000000014,15.19,1,54,85,0.6352941176470588
185270,0.004499999999999995,15.6,2,51,102,0.5
188187,-0.030899999999999987,15.99,3,39,77,0.5064935064935064
190966,-0.006899999999999997,16.14,1,44,81,0.5432098765432098
194048,0.009199999999999984,15.87,4,43,84,0.5119047619047619
197126,0.04810000000000004,16.39,4,53,85,0.6235294117647059
200152,-0.022199999999999998,15.41,2,43,85,0.5058823529411764
203058,0.019299999999999994,16.39,3,48,85,0.5647058823529412
206020,-0.07339999999999998,15.64,0,38,61,0.6229508196721312
209089,-0.008099999999999994,15.45,2,47,95,0.49473684210526314
212053,0.032900000000000054,16.59,3,48,82,0.5853658536585366
214907,-0.008,16.08,1,46,70,0.6571428571428571
217824,0.005099999999999993,15.29,2,48,77,0.6233766233766234
220818,0.0147,16.86,2,50,86,0.5813953488372093
223694,0.022400000000000007,15.66,1,54,78,0.6923076923076923
226642,0.015000000000000024,15.22,3,50,71,0.704225352112676
229500,-0.05339999999999998,16.52,0,39,81,0.48148148148148145
232330,0.017499999999999995,16.38,2,56,95,0.5894736842105263
235382,0.05650000000000003,16.34,5,48,102,0.47058823529411764
238393,0.026900000000000025,16.08,3,52,102,0.5098039215686274
241453,0.03790000000000007,16.81,2,54,84,0.6428571428571429
244570,-0.04629999999999997,16.71,0,40,94,0.425531914893617
247606,0.0048000000000000135,15.08,2,51,74,0.6891891891891891
250470,0.024000000000000042,16.79,3,51,79,0.6455696202531646
253518,0.0088,17.49,2,48,94,0.5106382978723404
256988,-0.008999999999999954,15.66,1,50,90,0.5555555555555556
260078,-0.007799999999999989,15.92,1,50,76,0.6578947368421053
263178,-0.006199999999999999,16.37,0,51,87,0.5862068965517241
266187,-0.0033000000000000048,15.9,2,46,68,0.6764705882352942
269271,0.03240000000000001,17.02,3,51,98,0.5204081632653061
272223,0.042800000000000046,15.75,4,49,100,0.49
275358,0.06650000000000007,15.77,3,60,98,0.6122448979591837
278420,0.026800000000000036,15.68,3,49,95,0.5157894736842106
281416,0.045300000000000035,17.18,3,56,98,0.5714285714285714
284444,-0.008800000000000004,16.01,1,51,71,0.7183098591549296
287516,0.04430000000000003,16.58,2,53,109,0.48623853211009177
290663,-0.011800000000000007,16.14,1,48,79,0.6075949367088608
293549,0.002400000000000003,16.43,3,42,80,0.525
296545,0.06590000000000003,15.77,6,47,94,0.5
299703,0.031300000000000015,15.92,5,48,95,0.5052631578947369
302683,0.02370000000000002,17.04,1,55,90,0.6111111111111112
305933,0.0024,15.4,2,48,79,0.6075949367088608
308831,-0.0079,15.02,4,37,79,0.46835443037974683
311867,0.0401,17.2,5,49,87,0.5632183908045977
314861,0.03210000000000001,17.03,4,49,94,0.5212765957446809
317923,-0.005299999999999984,15.94,2,46,113,0.40707964601769914
320979,0.0333,16.77,2,53,113,0.4690265486725664
324047,-0.06059999999999995,15.84,0,38,72,0.5277777777777778
327163,-0.0167,17.26,1,45,79,0.569620253164557
330316,-0.0207,16.51,2,41,84,0.4880952380952381
333379,0.04710000000000004,16.27,4,49,85,0.5764705882352941
336473,0.023899999999999998,16.82,3,50,98,0.5102040816326531
339493,0.06220000000000003,17.03,2,61,97,0.6288659793814433
342587,0.04090000000000004,16.49,5,47,94,0.5
345567,-0.016500000000000008,16.66,0,53,99,0.5353535353535354
348524,0.04750000000000008,17.78,4,47,108,0.4351851851851852
351758,-0.0204,16.83,1,41,100,0.41
354758,-0.004600000000000012,16.18,1,45,80,0.5625
357516,0.054700000000000054,16.31,2,57,96,0.59375
360748,0.005299999999999999,16.74,2,47,88,0.5340909090909091
363810,0.0018999999999999918,16.28,4,43,78,0.5512820512820513
366734,0.03310000000000003,16.37,4,51,103,0.49514563106796117
369728,0.0031999999999999963,16.13,1,48,92,0.5217391304347826
372734,-0.007399999999999955,17.22,3,42,88,0.4772727272727273
375714,0.008199999999999995,16.47,3,46,71,0.647887323943662
378734,0.017600000000000015,17.69,3,45,117,0.38461538461538464
381686,0.053000000000000026,16.61,4,54,106,0.5094339622641509
384674,-0.027699999999999978,16.08,2,40,76,0.5263157894736842
387724,-0.002900000000000007,16.78,2,45,75,0.6
390711,-0.03039999999999997,16.36,1,42,95,0.4421052631578947
393781,0.009199999999999995,16.4,3,47,100,0.47
396687,0.010600000000000007,15.55,3,48,80,0.6
399781,0.046000000000000034,16.61,3,53,103,0.5145631067961165
402833,-0.025999999999999954,15.81,2,41,76,0.5394736842105263
405961,0.00439999999999998,15.95,2,47,103,0.4563106796116505
408895,0.018900000000000017,15.42,3,52,98,0.5306122448979592
411838,0.031300000000000036,15.29,2,56,94,0.5957446808510638
414812,0.014200000000000025,16.19,3,48,92,0.5217391304347826
417950,0.02530000000000002,17.1,3,49,97,0.5051546391752577
420992,-0.02549999999999994,15.98,2,42,91,0.46153846153846156
424110,-0.0021999999999999893,16.35,3,44,71,0.6197183098591549
427158,-0.032100000000000004,16.19,2,39,80,0.4875
430236,0.027900000000000008,17.18,3,49,95,0.5157894736842106
433346,0.040900000000000054,17.53,4,47,112,0.41964285714285715
436514,-0.0009000000000000014,16.26,3,43,69,0.6231884057971014
439592,0.02160000000000002,16.26,3,51,98,0.5204081632653061
442724,0.0408,16.69,2,59,93,0.6344086021505376
445655,0.03530000000000004,16.02,4,51,90,0.5666666666666667
448673,0.0194,16.43,3,47,99,0.47474747474747475
451489,0.04300000000000003,17.2,2,54,84,0.6428571428571429
454613,0.008000000000000002,17.72,3,45,84,0.5357142857142857
457737,0.04400000000000003,17.42,3,55,105,0.5238095238095238
460691,0.006699999999999995,15.19,4,45,78,0.5769230769230769
463761,0.020400000000000015,16.06,2,53,116,0.45689655172413796
466632,0.021799999999999996,15.56,2,52,97,0.5360824742268041
469628,0.002700000000000004,16.88,4,44,87,0.5057471264367817
472636,-0.02809999999999998,16.06,2,39,80,0.4875
475465,-0.010200000000000011,16.78,0,51,84,0.6071428571428571
478606,0.03110000000000002,17.35,2,51,119,0.42857142857142855
481634,0.024699999999999996,16.85,2,49,94,0.5212765957446809
484941,0.008900000000000002,16.82,1,48,96,0.5
488049,-0.022900000000000004,15.85,1,44,80,0.55
491093,0.020100000000000035,15.95,5,46,89,0.5168539325842697
493894,0.03270000000000004,18.11,4,46,133,0.3458646616541353
496810,-0.006499999999999999,15.89,2,45,97,0.4639175257731959
499900,0.020300000000000033,15.33,3,50,87,0.5747126436781609
502544,0.03690000000000002,17.08,4,49,98,0.5
505513,-0.010199999999999985,16.88,2,43,92,0.4673913043478261
508661,-0.050299999999999984,15.87,2,35,75,0.4666666666666667
511479,0.011999999999999997,15.65,5,39,94,0.4148936170212766
514497,0.023400000000000004,17.15,3,46,94,0.48936170212765956
517405,0.039400000000000074,16.59,1,56,100,0.56
520355,0.016099999999999993,16.96,2,48,105,0.45714285714285713
523406,1.1102230246251566e-17,16.91,1,49,87,0.5632183908045977
526284,0.04520000000000003,16.54,3,53,108,0.49074074074074076
529246,0.015100000000000011,16.72,2,49,96,0.5104166666666666
532219,0.0246,16.94,4,49,82,0.5975609756097561
535201,0.07570000000000006,18.37,5,53,116,0.45689655172413796
538289,0.04040000000000003,17.54,2,52,112,0.4642857142857143
