timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
23,-0.07559999999999997,13.96,2,36,56,0.6428571428571429
3433,-0.056900000000000006,15.11,0,41,75,0.5466666666666666
6896,0.01430000000000001,15.32,5,44,65,0.676923076923077
10274,-0.06419999999999998,14.59,1,38,61,0.6229508196721312
13290,-0.02449999999999997,15.3,2,39,63,0.6190476190476191
16645,-0.10590000000000002,13.29,0,29,45,0.6444444444444445
19607,-0.022699999999999984,15.5,2,42,80,0.525
22873,-0.041099999999999956,15.0,2,38,64,0.59375
26123,0.016500000000000004,14.63,4,47,73,0.6438356164383562
29218,-0.06459999999999998,14.54,0,40,58,0.6896551724137931
32246,-0.0689,14.0,3,30,51,0.5882352941176471
35310,-0.0869000000000001,14.11,2,28,45,0.6222222222222222
38314,-0.07149999999999998,14.97,4,27,52,0.5192307692307693
41542,-0.03649999999999998,13.93,3,38,58,0.6551724137931034
44394,0.0006999999999999972,14.07,1,51,72,0.7083333333333334
47238,-0.03709999999999997,14.27,3,37,54,0.6851851851851852
50230,-0.09460000000000006,14.48,0,35,55,0.6363636363636364
53290,-0.023300000000000005,14.09,3,43,67,0.6417910447761194
56251,-0.10279999999999997,13.91,2,29,50,0.58
59186,-0.030599999999999964,14.44,0,48,76,0.631578947368421
62199,-0.06399999999999996,13.54,1,39,55,0.7090909090909091
65137,-0.07899999999999999,13.78,1,35,52,0.6730769230769231
68056,-0.04559999999999999,15.26,1,40,51,0.7843137254901961
71090,-0.025799999999999993,15.56,1,45,67,0.6716417910447762
74284,-0.0417,14.01,3,34,56,0.6071428571428571
77200,-0.038200000000000005,14.84,1,41,64,0.640625
80314,-0.03179999999999997,15.13,3,40,65,0.6153846153846154
83266,-0.08350000000000002,13.93,0,36,56,0.6428571428571429
86250,-0.03869999999999999,14.11,1,43,70,0.6142857142857143
89281,-0.04609999999999996,14.13,4,35,57,0.6140350877192983
92221,-0.03179999999999997,14.13,3,37,55,0.6727272727272727
95151,-0.05279999999999993,14.35,1,39,59,0.6610169491525424
98239,-0.10469999999999997,14.2,3,22,44,0.5
101257,-0.03449999999999999,14.92,2,40,77,0.5194805194805194
104307,-0.07249999999999995,14.17,0,40,61,0.6557377049180327
107276,-0.08930000000000002,14.73,1,31,62,0.5
110370,-0.04059999999999999,14.13,2,38,57,0.6666666666666666
113150,-0.06799999999999996,14.56,0,39,64,0.609375
115974,-0.04469999999999998,14.16,2,41,66,0.6212121212121212
118933,-0.05999999999999995,13.38,1,39,55,0.7090909090909091
121907,-0.056199999999999944,14.97,1,38,63,0.6031746031746031
125044,-0.10290000000000003,13.64,1,27,41,0.6585365853658537
127964,-0.11640000000000005,14.47,2,26,50,0.52
130887,-0.02039999999999999,14.18,2,42,77,0.5454545454545454
133937,-0.05499999999999993,15.37,1,40,81,0.49382716049382713
137165,-0.055599999999999934,14.23,1,37,76,0.4868421052631579
140176,-0.054399999999999976,14.59,3,34,63,0.5396825396825397
143126,-0.04609999999999999,14.47,2,39,57,0.6842105263157895
146133,-0.07269999999999997,14.84,1,35,58,0.603448275862069
149221,-0.05689999999999998,16.2,2,33,66,0.5
152449,-0.05089999999999999,14.62,2,36,61,0.5901639344262295
155499,-0.030799999999999987,14.4,0,51,77,0.6623376623376623
158577,-0.06550000000000002,14.28,3,35,74,0.47297297297297297
161565,-0.044199999999999955,14.02,2,36,62,0.5806451612903226
164452,-0.009199999999999982,14.11,3,45,88,0.5113636363636364
167292,-0.06749999999999999,15.51,0,38,69,0.5507246376811594
170476,-0.04319999999999997,14.21,2,36,60,0.6
173598,-0.10949999999999997,13.63,0,35,56,0.625
176470,-0.07279999999999996,14.8,1,35,51,0.6862745098039216
179402,-0.061299999999999945,14.21,4,34,62,0.5483870967741935
182390,-0.09359999999999997,13.46,0,31,44,0.7045454545454546
185270,-0.039599999999999996,14.11,1,44,70,0.6285714285714286
188187,-0.09850000000000009,14.12,0,37,66,0.5606060606060606
190966,-0.05669999999999995,14.67,1,33,70,0.4714285714285714
194048,-0.0815,14.69,2,28,61,0.45901639344262296
197126,0.007999999999999998,15.12,3,46,89,0.5168539325842697
200152,-0.0072,14.03,4,43,82,0.524390243902439
203058,-0.07049999999999998,14.71,0,36,58,0.6206896551724138
206020,-0.07689999999999998,14.31,1,35,55,0.6363636363636364
209089,-0.09820000000000002,13.93,1,33,55,0.6
212053,-0.046799999999999974,14.31,3,37,62,0.5967741935483871
214907,-0.06529999999999997,14.05,2,30,48,0.625
217824,-0.04119999999999999,13.94,3,38,61,0.6229508196721312
220818,-0.06599999999999998,14.31,2,33,68,0.4852941176470588
223694,-0.030299999999999983,14.29,3,36,67,0.5373134328358209
226642,-0.09050000000000004,14.2,0,35,59,0.5932203389830508
229500,-0.10480000000000005,14.38,2,25,46,0.5434782608695652
232330,-0.07199999999999998,15.11,3,33,65,0.5076923076923077
235382,0.01689999999999999,15.1,4,45,84,0.5357142857142857
238393,-0.04830000000000001,14.94,2,35,66,0.5303030303030303
241453,-0.05599999999999996,14.45,1,37,51,0.7254901960784313
244570,-0.11720000000000001,14.63,1,25,56,0.44642857142857145
247606,-0.03359999999999999,14.29,2,42,69,0.6086956521739131
250470,-0.0626,14.47,2,37,63,0.5873015873015873
253518,-0.06159999999999996,15.94,1,34,60,0.5666666666666667
256988,-0.10049999999999999,14.5,2,29,54,0.5370370370370371
260078,-0.06659999999999995,15.27,3,29,51,0.5686274509803921
263178,-0.07769999999999996,14.33,0,36,67,0.5373134328358209
266187,-0.043100000000000006,14.99,0,39,70,0.5571428571428572
269271,-0.05739999999999995,14.43,1,43,70,0.6142857142857143
272223,-0.0141,14.52,0,47,85,0.5529411764705883
275358,-0.04059999999999999,14.71,0,46,84,0.5476190476190477
278420,0.015699999999999995,14.54,3,46,92,0.5
281416,-0.03469999999999996,14.97,2,39,64,0.609375
284444,-0.06679999999999997,15.02,1,36,69,0.5217391304347826
287516,-0.08389999999999999,14.88,0,38,61,0.6229508196721312
290663,-0.07559999999999995,13.76,1,33,62,0.532258064516129
293549,-0.037899999999999996,14.44,3,35,64,0.546875
296545,0.017800000000000003,15.2,2,46,86,0.5348837209302325
299703,-0.038099999999999974,13.61,3,40,67,0.5970149253731343
302683,-0.019300000000000015,15.14,2,42,64,0.65625
305933,-0.07429999999999995,14.98,0,36,60,0.6
308831,-0.1044,14.5,1,23,68,0.3382352941176471
311867,-0.03519999999999998,14.66,3,41,67,0.6119402985074627
314861,-0.0452,14.79,4,31,52,0.5961538461538461
